offset,token
5036,fdo0
5092,s040
5109,fdi0
5168,s041
5242,s042
5303,tla0ov
5332,tla1
5382,tlb0+
5405,tlb1+
5448,tla0+
5471,tla1f#
5516,s047
5594,s043
5677,s044
5694,tlk0+
5740,thk1
5793,s037
5859,sdo0+
5917,s045
6018,s038
6046,ksk0+
6067,ksk0'd
6107,s039
6131,tlc0+
6154,tlc1f#
6200,tlb0+
6223,tlb1'
6298,fdo1
6326,fdi1
6343,qstc
6458,fdo0
6501,s017
6518,fdi0
6543,s018
6590,tlb0y
6615,tlb0+
6653,tlb0y
6701,tlk0+
6732,tlk1S
6760,tlc0+
6803,tlb0+
6826,tlb1'
6854,wav0y
6882,tlb0+
6920,s019
6960,tlk0+
6983,tlk1E
6998,fdo1
7018,s019F
7035,fdi1
7067,fdo0
7108,s022
7125,fdi0
7191,tlb0+
7229,tlb0+
7282,s023
7357,tlk0+
7380,tlk1y
7441,s024
7458,ikr0+9
7505,tlb0+
7564,ikr1+9
7591,ikr1'
7631,s025
7663,pas0+
7686,fdo1
7706,fdi1
7725,qstc
7775,fdo0
7826,s026
7846,fdi0
7922,dis0+
7945,tlk0+
7973,dis0f
7988,pas0+
8011,fdo1
8031,s026F
8048,fdi1
8065,qstc
8096,c05i
8165,c05i
8234,c05i
8303,c01i
8343,c00i
8360,fdo2
8395,fdo0
8429,s050
8446,fdi1
8490,fdo1
8530,s027
8568,fdi1
8642,s028
8722,tlk0+'
8775,s028K'
8797,s029
8843,dis0+'
8919,tlk0+'
8951,fdo2
9000,s025
9017,fdi1
9034,tla0+
9057,tla1+
9085,fdo1
9115,fdi1
9190,s002
9227,dis0+
9256,s002E
9271,s003
9296,thk1+
9327,s003E
9342,s004
9359,thk2+
9382,tlk0+
9435,s004
9486,s005
9546,dis0+
9569,s005E
9584,s006
9637,tlk0+l
9669,tlk0+
9721,thk1
9739,s006E
9754,s007
9782,thk2+l
9833,s007E
9848,s006
9865,ang0+
9897,tlk0+l
9920,s006E
9935,s008
9974,thk1+
10017,s008E
10032,s009
10077,s009
10123,s003
10160,thk1+
10227,who1
10244,who1R
10259,s003E
10274,s010
10313,whi1
10359,tlk0+m
10391,s010E
10406,s011
10423,tlb0+n
10461,thk1+m
10484,pas0+n
10507,thk2+m
10530,s011E
10545,s012
10562,tlk0+n
10594,thk1EK
10609,who1
10626,who1R
10641,s012E
10656,s013
10674,whi1
10699,thk2+
10722,tlk0+
10772,s013
10853,s014
10960,s014E
10975,s015
10992,tlb0+
11015,tlb1+
11038,s015E
11053,s016
11070,thk2y
11103,tlk0+
11126,tlk1Jo
11158,thk1+
11204,thk1+o
11250,tlb0R
11265,s016E
11280,s017
11328,tlk0+o
11364,tlk1So
11377,tlk1'
11399,s017E
11414,s018
11434,thk1+
11470,thk2+
11496,s018F
11549,s002
11586,thk1+
11607,thk1f#
11622,thk2+
11645,s002E
11660,s004
11685,tlk0+
11708,kud0+
11731,s004E
11746,s005
11769,kud0f#
11784,tlk0+
11941,fdo0
11958,fdo0
11974,fdo1
11991,fdo1
12007,fdo2
12024,fdo2
12040,fdi0
12058,fdi1
12076,fdi2
12139,s000
12159,blon
12201,s000EK
12216,who1
12233,blof
12250,who1EK
12265,whi0
12282,s001
