offset,token
5322,s027
5381,s027E
5396,s018
5480,s018'
5548,s019
5571,tlk0+
5647,s019E
5662,s020
5807,tlk0+
5830,thk2y
5870,s021
5929,s021E
5944,s022
6028,thk1+
6051,thk2y
6089,tlk0+
6145,thk1+
6168,s022ED
6183,ovl2
6200,s023
6261,s023F
6283,qstc
6337,s100
6360,s024
6429,s024E
6444,s025
6519,s025E
6534,s026
6588,s026F
6610,fdo0
6627,fdo0
6643,fdo0
6660,fdo0
6676,fdi0
6694,fdo1
6711,fdo1
6727,fdi1
6745,fdo2
6762,fdo2
6778,fdi2
6864,s042
6900,s042Ee
6915,s043
6932,sdo0+q
6958,sdo1'
7011,sdo0+q
7045,sdo1
7074,tlk0
7108,ten0
7126,s043F
7171,s046
7202,thk1+r
7236,thk2Re
7251,s046Ee
7266,s045
7286,tlk0+r
7341,ikr0
7378,ikr1+r
7404,s045F
7449,s047
7489,ikr0+r
7515,ikr1+r
7541,s047Ee
7556,s045
7594,thk2+r
7625,tlk0
7722,thk2+r
7761,tlk0+r
7787,s048
7823,thk1+q
7854,thk2+q
7888,who0
7908,s050
7925,whi0
7964,who0
7984,s050Ee
7999,s051
8016,whi0
8076,sdo0+q
8099,who1
8119,s051Ee
8134,s052
8151,whi1
8182,sdo1+q
8213,thk1+q
8244,thk2Ee
8259,s054
8298,sdo0+q
8332,sdo1Re
8347,s054Ee
8362,s055
8393,s055Ee
8408,s056
8441,tlk0+q
8487,thk0+r
8510,tlk1Jq
8553,thk1+r
8579,thk2+q
8602,ikr0+r
8636,ikr1
8654,s056
8685,s059
8702,s059Ee
8717,s061
8734,s061
8764,s058Ee
8779,s057
8834,pas0
8889,s057F
8906,qstc
8970,sj16
9001,thk1
9019,sj16E
9034,sj17
9088,thk1+B
9111,sj17E
9126,sj19
9173,ovl1
9190,sj19E
9205,sj18
9244,tlk0+B
9267,sj18N
9288,sj17
9313,tlb0+B
9342,sj17F
9388,fdo1
9405,fdo1F
9442,s068
9462,fdi1
9530,ovl2
9547,s068E
9562,s069
9595,ovl1
9612,s069E
9627,s070
9695,fdo1
9712,fdo1R
9755,s000
9772,fdi1
9792,pre0
9810,pre1
9840,fdo1
9857,fdo1R
9872,s000E
9887,s001
9914,fdi2
9947,pas0
9999,ovl2
10016,s001E
10031,s002
10059,tlb0
10092,fdo2
10109,fdo2f
10124,tlb1R
10139,s002w
10182,s003
10199,fdi1
10241,fdo1
10258,fdo1R
10273,s003'
10298,s004
10315,fdi1
10360,fdo1
10377,fdo1R
10392,s004'
10417,s005
10434,fdi1
10462,fdo2
10482,s005UD
10497,fdo2xE
10513,s002
10533,fdi1
10569,ovl2
10586,s002E
10601,s006
10629,tlb0+
10652,ovl2
10669,s006E
10684,s007
10720,tlb1+
10760,s008
10798,tlb0
10832,fdo2
10849,fdo2f
10864,tlb1R
10907,fdi1
10996,s044
11071,ovl2
11088,s044E
11103,s043
11123,tlk0+
11149,tlk1R
11164,s043E
11179,s045
11204,s045E
11219,s027
11255,tlk0+
11278,ika0+
11301,ika1'
11337,pas0
11355,ovl2
11372,s027E
11387,s046
11443,ski0
11472,s0466
11504,s047
11521,har0+
11562,s047E
11577,s051
11622,s051
11645,s005
11673,s005
11701,s002
11729,s002
11757,s005
11777,s024
11859,tlk0+
11890,tlk1n
11928,s005
11954,s005
11980,s002
12006,s002
12032,s005
12050,s024E
12065,s026
12098,s026
12121,s007
12149,s007
12169,s049
12186,thk1+
12209,thk2'
12290,s007
12316,s007
12334,s049E
12349,s048
12366,ski0+
12389,s0487
12413,s050
12451,s050
12483,s003
12520,s003
12540,s052
12566,thk1+
12589,thk2'
12647,tlk0+
12670,tlk1
12693,s003
12719,s003
12737,s052E
12752,s053
12801,ovl2
12818,s053
12843,s054
12904,s054
12927,s004
12955,s004
12975,s055
12992,thk1+
13054,who1
13071,who1
13094,s004
13120,s004
13258,s030
13293,whi1
13316,who1
13333,who1R
13444,s004
13472,s004
13492,s055
13536,whi1
13568,thk2+
13599,s004
13625,s004
13643,s055E
13658,s074
13675,tlk0+
13716,war0+
13739,war1R
13754,s074
13777,s006
13805,s006
13833,s006
13853,s075
13870,tlk0+
13893,tlk1
13929,s006
13955,s006
13981,s006
13999,s075E
14014,s000
14057,thk1+
14080,thk2J
14117,s000E
14132,s001
14149,tlk0+
14172,tlk1R
14187,s001
14276,s023
14325,tlb0
14369,s023E
14384,s056
14429,s056E
14444,s057
14506,ovl2
14523,s057E
14538,s058
14663,s058E
14678,s059
14755,ovl2
14789,s060
14841,s060E
14856,s061
14897,tlb1R
14993,s062
15041,s0626Y
15080,s063
15201,s063E
15216,s064
15289,who1
15306,who1R
15448,s065
15476,whi1
15493,whi1
15511,who1
15528,who1R
15638,s064
15655,whi1
15687,thk1+
15710,s008
15743,thk2+
15772,s008F
15890,s021
15967,s021E
15982,s022
16027,s022E
16042,s023
16155,s0236m
16185,s033
16213,s033
16241,s027
16269,s027
16297,s033
16317,s024
16386,s033
16412,s033
16438,s027
16464,s027
16490,s033
16508,s024E
16523,s025
16608,s026
16633,thk1+
16664,thk2+
16697,ovl2
16714,s026
16737,s051
16765,s051
16793,s051
16813,s028
16945,ovl2
16970,s051
16996,s051
17022,s051
17040,s028E
17055,s029
17110,s029'
17132,s030
17402,war0
17420,s030E
17435,s031
17461,war1+
17507,s031E
17522,s032
17581,s032E
17596,s074
18068,s074F
18088,qstc
18226,s021
18299,s021E
18314,s022
18396,s022E
18411,s023
18560,s033
18588,s033
18616,s027
18644,s027
18672,s033
18692,s024
18765,s033
18791,s033
18817,s027
18843,s027
18869,s033
18910,s025
19001,s026
19026,thk1+
19057,thk2+
19090,ovl2
19107,s026
19133,s051
19161,s051
19189,s051
19209,s028
19293,ovl2
19321,s051
19347,s051
19373,s051
19391,s028E
19406,s029
19475,s029E
19490,s048
19765,war0
19798,war1'
19833,s031
19881,s031E
19896,s032
19955,s032E
19970,s074
20443,s074F
20463,qstc
20738,ovl2
20755,s030E
20770,s031
20826,s031E
20841,s032
20882,s032ED
20897,ovl1
20914,s028
20950,s028E
20965,s033
21001,s033E
21016,s034
21072,ovl1
21089,s034E
21104,s028
21147,ovl1
21164,s028E
21179,s030
21214,who1
21231,who1R
21271,whi1
21288,s035
21305,whi1+
21347,s035ED
21362,ovl2
21379,s033
21457,s065E
21472,s036
21505,s036E
21520,s041
21545,ovl2
21562,s041E
21577,s037
21648,ovl1
21665,s037E
21680,s038
21729,s038E
21744,s039
21777,s039E
21792,s040
21830,ovl1
21847,s040E
21862,s041
21887,s041E
21902,s029
21940,s029E
21955,s042
22012,fdo1
22029,fdo1
22045,fdo2
22062,fdo2
22098,Feliz
22129,Ferdinand
22160,Gunnar
22191,Massimo
22222,Oldrich
22253,Siegward
22284,Theobald
22315,Zenji
22357,Amerita
22388,Beatrice
22419,Henrietta
22450,Jesimae
22481,Karyn
22512,Nanako
22543,Sharlene
22574,Sieghilde
22616,Chanandit
22647,Deulmaeux
22678,Demresinaux
22709,Ephealgaux
22740,Gauldeval
22771,Grauffemart
22802,Migaifongut
22833,Romidiant
22875,Armittie
22906,Cadepure
22937,Clearite
22968,Epilleve
22999,Liabelle
23030,Nauthima
23061,Radille
23092,Vimechue
23134,Balu-Falu
23165,Burg-Ladarg
23196,Ehgo-Ryuhgo
23227,Kolui-Pelui
23258,Nokum-Akkum
23289,Savul-Kivul
23320,Vinja-Kanja
23351,Yarga-Umiga
23393,Cupapa
23424,Jajuju
23455,Kalokoko
23486,Mahoyaya
23517,Pakurara
23548,Ripokeke
23579,Yawawa
23610,Yufafa
23652,Fhig
23683,Khuma
23714,Pimy
23745,Raka
23776,Sahyu
23807,Sufhi
23838,Tsuim
23869,Yoli
23911,Durib
23942,Dzapiwa
23973,Jugowa
24004,Mugido
24035,Voldai
24066,Wagwei
24097,Zayag
24128,Zoldof
24194,Feliz
24225,Ferdinand
24256,Gunnar
24287,Massimo
24318,Oldrich
24349,Siegward
