index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Argus,49153,270,00 00 00 00 00 00 00 00 00 00 00 00 01 c0 0e 01
2,64,OpeningTest,49154,270,00 00 00 00 00 00 00 00 00 00 00 00 02 c0 0e 01
3,96,Nicadio,49155,270,00 00 00 00 00 00 00 00 00 00 00 00 03 c0 0e 01
4,128,Cornelia,49156,270,00 00 00 00 00 00 00 00 00 00 00 00 04 c0 0e 01
5,160,"Flying Axe, I.M.",49157,270,00 00 00 00 00 00 00 00 00 00 00 00 05 c0 0e 01
6,192,Tiger Tooth,49158,270,00 00 00 00 00 00 00 00 00 00 00 00 06 c0 0e 01
7,224,Kagetora,49159,270,00 00 00 00 00 00 00 00 00 00 00 00 07 c0 0e 01
8,256,Talib,49160,270,00 00 00 00 00 00 00 00 00 00 00 00 08 c0 0e 01
9,288,Paujean,49161,270,00 00 00 00 00 00 00 00 00 00 00 00 09 c0 0e 01
10,320,Jabbar,49162,270,00 00 00 00 00 00 00 00 00 00 00 00 0a c0 0e 01
11,352,Silver Owl,49163,270,00 00 00 00 00 00 00 00 00 00 00 00 0b c0 0e 01
12,384,Carmelo,49164,270,00 00 00 00 00 00 00 00 00 00 00 00 0c c0 0e 01
13,416,Otto,49165,270,00 00 00 00 00 00 00 00 00 00 00 00 0d c0 0e 01
14,448,Powhatan,49166,270,00 00 00 00 00 00 00 00 00 00 00 00 0e c0 0e 01
15,480,Sawyer,49167,270,00 00 00 00 00 00 00 00 00 00 00 00 0f c0 0e 01
16,512,Melloa,49168,270,00 00 00 00 00 00 00 00 00 00 00 00 10 c0 0e 01
17,544,Trilok,49169,270,00 00 00 00 00 00 00 00 00 00 00 00 11 c0 0e 01
18,576,Mustafa,49170,270,00 00 00 00 00 00 00 00 00 00 00 00 12 c0 0e 01
19,608,Bartolomeo,49171,270,00 00 00 00 00 00 00 00 00 00 00 00 13 c0 0e 01
20,640,Carey,49172,270,00 00 00 00 00 00 00 00 00 00 00 00 14 c0 0e 01
21,672,Klaus,49173,270,00 00 00 00 00 00 00 00 00 00 00 00 15 c0 0e 01
22,704,Evrain,49174,270,00 00 00 00 00 00 00 00 00 00 00 00 16 c0 0e 01
23,736,Bodaway,49175,270,00 00 00 00 00 00 00 00 00 00 00 00 17 c0 0e 01
24,768,Bruno,49176,270,00 00 00 00 00 00 00 00 00 00 00 00 18 c0 0e 01
25,800,Latifah,49177,270,00 00 00 00 00 00 00 00 00 00 00 00 19 c0 0e 01
26,832,Evelyn,49178,270,00 00 00 00 00 00 00 00 00 00 00 00 1a c0 0e 01
27,864,Rex,49179,270,00 00 00 00 00 00 00 00 00 00 00 00 1b c0 0e 01
28,896,Ihsan,49180,270,00 00 00 00 00 00 00 00 00 00 00 00 1c c0 0e 01
29,928,Johanna,49181,270,00 00 00 00 00 00 00 00 00 00 00 00 1d c0 0e 01
30,960,Agapito,49182,270,00 00 00 00 00 00 00 00 00 00 00 00 1e c0 0e 01
31,992,Evi,49183,270,00 00 00 00 00 00 00 00 00 00 00 00 1f c0 0e 01
32,1024,Rafaela,49184,270,00 00 00 00 00 00 00 00 00 00 00 00 20 c0 0e 01
33,1056,Kurando,49185,270,00 00 00 00 00 00 00 00 00 00 00 00 21 c0 0e 01
34,1088,Galvin,49186,270,00 00 00 00 00 00 00 00 00 00 00 00 22 c0 0e 01
35,1120,Numa,49187,270,00 00 00 00 00 00 00 00 00 00 00 00 23 c0 0e 01
36,1152,Belka,49188,270,00 00 00 00 00 00 00 00 00 00 00 00 24 c0 0e 01
37,1184,Ensetsu,49189,270,00 00 00 00 00 00 00 00 00 00 00 00 25 c0 0e 01
38,1216,Kaede,49190,270,00 00 00 00 00 00 00 00 00 00 00 00 26 c0 0e 01
39,1248,Kaede,49191,270,00 00 00 00 00 00 00 00 00 00 00 00 27 c0 0e 01
40,1280,Steel Bones,49192,270,00 00 00 00 00 00 00 00 00 00 00 00 28 c0 0e 01
