offset,token
9277,s000
9323,tlk0'
9353,s001
9428,kei0+-
9451,tlk0+
9479,kei0'
9504,s088
9529,thk1+
9552,tlk0+-
9575,ten0f
9590,thk2+
9621,kei0+-
9745,qstc
9785,s014
9830,tlk0++
9860,s015
9936,s016
9990,tlk0
10081,kak0++
10125,kak1++
10171,pas0++
10202,tlk0++
10251,fdo0
10268,fdo08
10295,s017
10312,fdi0
10386,s018
10490,kng1E
10505,s079
10545,tef0++
10587,s079E
10602,s019
10644,s089
10705,tlk0++
10724,kidl0.
10772,not0+.
10795,tef0++
10828,s019
10872,fdo1
10889,fdo1F
10909,fdi1
10926,qstc
10964,fdo0
11024,s002
11041,fdi1
11061,tlk0'
11108,war0+
11137,tlk0+0
11160,war1E3
11175,fdo0
11192,fdo0E
11207,s003
11224,fdi0
11274,thk1+0
11310,yub0+
11333,thk2+0
11357,thk2'
11379,yub1
11397,fdo2
11439,s004
11456,fdi2
11570,tlk0+0
11638,fdo1
11683,fdi1
11700,qstc
11731,fdo0
11748,fdo08
11777,s000
11794,fdi1
11828,tlk0+-
11867,fdo1
11884,fdo1
11902,s025
11919,fdi1
12086,fdo1
12103,fdo18
12135,s033
12152,fdi1
12318,s034
12543,nay0
12572,nay1
12648,s035
12688,fdo1
12705,fdo1E
12720,s034
12740,thk1N
12761,fdi1
12789,thk2+
12812,pas0+
12841,fdo1
12858,fdo1F
12878,fdi1
12895,qstc
12979,fdo0
12996,fdo08
13032,s047
13076,fdi1
13093,tlb0+.
13116,ev00fV
13131,tlk0+0
13161,thk1+.
13192,s047'
13238,s048
13339,s048E
13354,s049
13406,tlk0++
13450,s049'
13492,rou1E
13507,s050
13532,tlc0+2
13564,s050'
13586,s051
13629,tlk0
13684,s051E
13699,s083
13739,tlk0++
13769,s083E
13784,s086
13801,tlk0+
13844,thk1+.
13877,s086E
13892,s052
14005,ikr0+2
14051,ikr1+2
14084,s052E
14099,s087
14116,tlk0+
14148,tla0+.
14171,tla1y
14242,tlb0+.
14265,ev00y
14318,s053
14377,ib01J.
14455,tlk0y
14561,tlk1E3
14576,fdo2
14593,fdo2E
14608,s054
14637,fdi1
14678,fdo1
14695,fdo1F
14712,fdi2
14780,fdo1
14797,fdo18
14817,s054
14852,fdi1
14931,s055
14967,tlk1+
15000,tlk0+
15031,ten0+
15054,s055E
15069,s084
15086,tlk1+
15174,tlk2+
15218,tla0+.
15241,tlb3R
