index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Vicious Eye,53249,270,00 00 00 00 00 00 00 00 00 00 00 00 01 d0 0e 01
2,64,Amulya,53250,270,00 00 00 00 00 00 00 00 00 00 00 00 02 d0 0e 01
3,96,Ghemp,53251,270,00 00 00 00 00 00 00 00 00 00 00 00 03 d0 0e 01
4,128,Wise Owl,53252,270,00 00 00 00 00 00 00 00 00 00 00 00 04 d0 0e 01
5,160,Hugues,53253,270,00 00 00 00 00 00 00 00 00 00 00 00 05 d0 0e 01
6,192,Romero,53254,270,00 00 00 00 00 00 00 00 00 00 00 00 06 d0 0e 01
7,224,Dark Clouds,53255,270,00 00 00 00 00 00 00 00 00 00 00 00 07 d0 0e 01
8,256,Olaf,53256,270,00 00 00 00 00 00 00 00 00 00 00 00 08 d0 0e 01
9,288,Nogga,53257,270,00 00 00 00 00 00 00 00 00 00 00 00 09 d0 0e 01
10,320,Veit,53258,270,00 00 00 00 00 00 00 00 00 00 00 00 0a d0 0e 01
11,352,Striking Snake,53259,270,00 00 00 00 00 00 00 00 00 00 00 00 0b d0 0e 01
12,384,Savae E Paleade,53260,270,00 00 00 00 00 00 00 00 00 00 00 00 0c d0 0e 01
13,416,Riault,53261,270,00 00 00 00 00 00 00 00 00 00 00 00 0d d0 0e 01
14,448,Lutia,53262,270,00 00 00 00 00 00 00 00 00 00 00 00 0e d0 0e 01
15,480,Chantain,53263,270,00 00 00 00 00 00 00 00 00 00 00 00 0f d0 0e 01
16,512,Patt-Pott,53264,270,00 00 00 00 00 00 00 00 00 00 00 00 10 d0 0e 01
17,544,Topuru-Kuperu,53265,270,00 00 00 00 00 00 00 00 00 00 00 00 11 d0 0e 01
18,576,Moyoyo,53266,270,00 00 00 00 00 00 00 00 00 00 00 00 12 d0 0e 01
19,608,Mih Ketto,53267,270,00 00 00 00 00 00 00 00 00 00 00 00 13 d0 0e 01
20,640,Zenobia,53268,270,00 00 00 00 00 00 00 00 00 00 00 00 14 d0 0e 01
21,672,Dietrich,53269,270,00 00 00 00 00 00 00 00 00 00 00 00 15 d0 0e 01
22,704,Hadelind,53270,270,00 00 00 00 00 00 00 00 00 00 00 00 16 d0 0e 01
23,736,Cerberus,53271,270,00 00 00 00 00 00 00 00 00 00 00 00 17 d0 0e 01
24,768,Lucius,53272,270,00 00 00 00 00 00 00 00 00 00 00 00 18 d0 0e 01
25,800,Hans,53273,270,00 00 00 00 00 00 00 00 00 00 00 00 19 d0 0e 01
26,832,Pius,53274,270,00 00 00 00 00 00 00 00 00 00 00 00 1a d0 0e 01
27,864,Kachina,53275,270,00 00 00 00 00 00 00 00 00 00 00 00 1b d0 0e 01
28,896,Mythily,53276,270,00 00 00 00 00 00 00 00 00 00 00 00 1c d0 0e 01
29,928,Alois,53277,270,00 00 00 00 00 00 00 00 00 00 00 00 1d d0 0e 01
30,960,Mukunda,53278,270,00 00 00 00 00 00 00 00 00 00 00 00 1e d0 0e 01
31,992,Salim,53279,270,00 00 00 00 00 00 00 00 00 00 00 00 1f d0 0e 01
32,1024,Manilam,53280,270,00 00 00 00 00 00 00 00 00 00 00 00 20 d0 0e 01
33,1056,Remus,53281,270,00 00 00 00 00 00 00 00 00 00 00 00 21 d0 0e 01
34,1088,Helmut,53282,270,00 00 00 00 00 00 00 00 00 00 00 00 22 d0 0e 01
35,1120,Folzen,53283,270,00 00 00 00 00 00 00 00 00 00 00 00 23 d0 0e 01
36,1152,Franziska,53284,270,00 00 00 00 00 00 00 00 00 00 00 00 24 d0 0e 01
37,1184,Tomasa,53285,270,00 00 00 00 00 00 00 00 00 00 00 00 25 d0 0e 01
38,1216,Ferghus,53286,270,00 00 00 00 00 00 00 00 00 00 00 00 26 d0 0e 01
39,1248,Hungry Wolf,53287,270,00 00 00 00 00 00 00 00 00 00 00 00 27 d0 0e 01
40,1280,Grohm,53288,270,00 00 00 00 00 00 00 00 00 00 00 00 28 d0 0e 01
41,1312,Galina,53289,270,00 00 00 00 00 00 00 00 00 00 00 00 29 d0 0e 01
