npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,PRODUCER,61441,270,260,5656,5844,79.76,0.08,0.07,30,7976,8,7,7976 7 8 9 10 7977 6699 11
2,DIRECTOR,61442,270,27,9580,9760,67.21,0.08,0.07,30,6721,8,7,6721 7 8 9 10 7981 63 7982
3,warp01,61443,270,1,13440,13456,0.05,0.0,67.21,15,5,0,6721,5 6721 0 1 2 3 76 -2147474432
4,warp02,61444,270,1,13560,13576,0.05,0.0,67.21,15,5,0,6721,5 6721 0 1 2 3 76 -2147474432
5,warp03,61445,270,1,13680,13696,0.05,0.0,67.21,15,5,0,6721,5 6721 0 1 2 3 76 -2147474432
6,warp04,61446,270,1,13800,13816,0.05,0.0,67.21,15,5,0,6721,5 6721 0 1 2 3 76 -2147474432
7,warp05,61447,270,1,13920,13936,0.05,0.0,67.21,15,5,0,6721,5 6721 0 1 2 3 76 -2147474432
8,warp06,61448,270,1,14040,14056,0.05,0.0,67.21,15,5,0,6721,5 6721 0 1 2 3 76 -2147474432
9,warp07,61449,270,1,14160,14176,0.05,0.0,67.21,15,5,0,6721,5 6721 0 1 2 3 76 -2147474432
10,warp08,61450,270,1,14280,14296,0.05,0.0,67.21,15,5,0,6721,5 6721 0 1 2 3 76 -2147474432
14,Chawo Shipeynyo,61454,270,44,27943,28131,0.0,48.64,153.6,65,0,4864,15360,0 15360 4864 3072 529152 31488 25600 35584
15,Door:House of th,61455,270,2,28060,28172,78.09,78.1,0.3,45,7809,7810,30,7809 30 7810 2000 50 7813 7820 1000
26,Shantotto,61466,270,1560,273531,273707,12.8,48.64,74.24,30,1280,4864,7424,1280 7424 4864 0 256 10240 3840 711168
28,Yoran-Oran,61468,270,789,72596,72756,0.3,79.23,79.22,70,30,7923,7922,30 7922 7923 81 -2147457536 2147483640 2147483640 812346484
29,Ekamama,61469,270,3,72720,72756,0.3,79.23,79.22,70,30,7923,7922,30 7922 7923 81 -2147457536 2147483640 2147483640 812346484
33,Koru-Moru,61473,270,478,403967,404111,-2.54,0.0,12.79,70,-254,0,1279,-254 1279 0 256 32768 15360 6400 1811939328
34,Luuh Koplehn,61474,270,8,85088,85168,376.65,-25.0,-588.74,120,37665,-2500,-58874,37665 -58874 -2500 3011 7552 7553 7593 175
35,Maan-Pokuun,61475,270,10,85376,85468,75.95,76.28,76.27,70,7595,7628,7627,7595 7627 7628 191 -2147457536 2147483640 2147483640 812346484
36,Bonchacha,61476,270,9,85676,85748,75.92,76.26,76.25,70,7592,7626,7625,7592 7625 7626 201 -2147457536 2147483640 2147483640 812346484
37,Ambrosius,61477,270,38,86056,86204,201.85,-25.13,-597.78,90,20185,-2513,-59778,20185 -59778 -2513 4072 10 65175 -63231 -2499
38,Orudoba-Sondeba,61478,270,7,87204,87264,823.04,-24.99,-1062.44,95,82304,-2499,-106244,82304 -106244 -2499 3112 13 81217 -98568 78620
39,Tsuaora-Tsuora,61479,270,5,87500,87556,849.96,-25.0,-1092.06,95,84996,-2500,-109206,84996 -109206 -2500 3068 13 84824 -103067 83473
41,Kenono,61481,270,1,87808,87976,77.14,77.16,77.15,45,7714,7716,7715,7714 7715 7716 114 -2147457536 2147483640 2147483640 812346484
42,Auction Counter,61482,270,1,87832,87976,77.14,77.16,77.15,45,7714,7716,7715,7714 7715 7716 114 -2147457536 2147483640 2147483640 812346484
43,Auction Counter,61483,270,1,87856,87976,77.14,77.16,77.15,45,7714,7716,7715,7714 7715 7716 114 -2147457536 2147483640 2147483640 812346484
44,Auction Counter,61484,270,1,87880,87976,77.14,77.16,77.15,45,7714,7716,7715,7714 7715 7716 114 -2147457536 2147483640 2147483640 812346484
45,Auction Counter,61485,270,1,87904,87976,77.14,77.16,77.15,45,7714,7716,7715,7714 7715 7716 114 -2147457536 2147483640 2147483640 812346484
46,Esmeralda,61486,270,5,87928,87976,77.14,77.16,77.15,45,7714,7716,7715,7714 7715 7716 114 -2147457536 2147483640 2147483640 812346484
47,Keir,61487,270,5,88108,88156,77.18,77.2,77.19,45,7718,7720,7719,7718 7719 7720 114 -2147457536 2147483640 2147483640 812346484
48,Ran,61488,270,5,88288,88336,77.22,77.24,77.23,45,7722,7724,7723,7722 7723 7724 114 -2147457536 2147483640 2147483640 812346484
49,Ignaz,61489,270,5,88600,88776,72.66,72.73,72.67,70,7266,7273,7267,7266 7267 7273 351 -2147457536 2147483640 2147483640 812346484
50,Zayhi-Bauhi,61490,270,18,88640,88776,72.66,72.73,72.67,70,7266,7273,7267,7266 7267 7273 351 -2147457536 2147483640 2147483640 812346484
51,Rutango-Botango,61491,270,19,89144,89236,-800.78,-96.39,1109.88,95,-80078,-9639,110988,-80078 110988 -9639 2687 7 -83920 117575 -6895
52,Kalupa-Tawalupa,61492,270,17,89532,89632,72.63,72.72,72.68,70,7263,7272,7268,7263 7268 7272 226 -2147457536 2147483640 2147483640 812346484
53,Raamimi,61493,270,11,90084,90192,0.3,77.02,77.01,120,30,7702,7701,30 7701 7702 2484 -130 -9409 1283 32893
54,Kohpo-Akuupo,61494,270,7,90140,90192,0.3,77.02,77.01,120,30,7702,7701,30 7701 7702 2484 -130 -9409 1283 32893
55,Nozaza,61495,270,7,90428,90512,-826.47,-81.3,1147.37,110,-82647,-8130,114737,-82647 114737 -8130 2881 7696 7697 100 -2147457536
56,Yanakiki,61496,270,7,90824,90904,-300.23,-159.99,1384.99,110,-30023,-15999,138499,-30023 138499 -15999 1760 -38192 133289 13 -68720
57,Augu-Maugu,61497,270,5,90844,90904,-300.23,-159.99,1384.99,110,-30023,-15999,138499,-30023 138499 -15999 1760 -38192 133289 13 -68720
58,Ten of Diamonds,61498,270,1,91068,91088,0.02,77.04,77.03,70,2,7704,7703,2 7703 7704 27 -1040896 1886355455 595591197 595591453
59,Nine of Diamonds,61499,270,1,91132,91228,88.34,0.0,88.35,15,8834,0,8835,8834 8835 0 1 200 120 2 133
60,Seven of Diamond,61500,270,1,91188,91228,88.34,0.0,88.35,15,8834,0,8835,8834 8835 0 1 200 120 2 133
61,Six of Diamonds,61501,270,2,91396,91420,77.07,77.08,6.0,70,7707,7708,600,7707 600 7708 34 -1040896 1886355455 595591197 250625355
62,Five of Diamonds,61502,270,1,91472,91592,77.11,77.12,14.6,70,7711,7712,1460,7711 1460 7712 34 -1040896 1886355455 595591197 250625867
63,Four of Diamonds,61503,270,2,91568,91592,77.11,77.12,14.6,70,7711,7712,1460,7711 1460 7712 34 -1040896 1886355455 595591197 250625867
64,Jack of Diamonds,61504,270,1,91644,91700,69.87,69.88,0.0,35,6987,6988,0,6987 0 6988 1 -2 2 3 4
65,Komomo,61505,270,3,101036,101212,-1004.53,-52.55,1464.28,110,-100453,-5255,146428,-100453 146428 -5255 735 -88367 128202 -5243 7887
66,Suhie-Kaihie,61506,270,5,101160,101212,-1004.53,-52.55,1464.28,110,-100453,-5255,146428,-100453 146428 -5255 735 -88367 128202 -5243 7887
67,Pakeke,61507,270,5,101352,101404,-899.89,-50.0,1397.3,110,-89989,-5000,139730,-89989 139730 -5000 915 -86864 127971 -5170 7889
68,Aromu-Oromu,61508,270,3,101536,101704,0.3,79.1,79.09,120,30,7910,7909,30 7909 7910 885 -1267 -9172 3710 7560
69,Polink-Moink,61509,270,5,101660,101704,0.3,79.1,79.09,120,30,7910,7909,30 7909 7910 885 -1267 -9172 3710 7560
70,Moan-Maon,61510,270,3,101860,101912,96.13,96.18,96.17,70,9613,9618,9617,9613 9617 9618 118 -2147457536 2147483640 2147483640 812346484
71,Finene,61511,270,3,102048,102084,0.3,79.25,79.24,70,30,7925,7924,30 7924 7925 66 -2147457536 2147483640 2147483640 812346484
72,Purere,61512,270,4,102168,102208,79.26,79.27,17.0,70,7926,7927,1700,7926 1700 7927 73 -2147457536 2147483640 2147483640 812346484
