index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,DIRECTOR,1,271,00 00 00 00 00 00 00 00 00 00 00 00 01 00 0f 01
2,64,warp01,2,271,00 00 00 00 00 00 00 00 00 00 00 00 02 00 0f 01
3,96,warp02,3,271,00 00 00 00 00 00 00 00 00 00 00 00 03 00 0f 01
4,128,warp03,4,271,00 00 00 00 00 00 00 00 00 00 00 00 04 00 0f 01
5,160,warp04,5,271,00 00 00 00 00 00 00 00 00 00 00 00 05 00 0f 01
6,192,warp05,6,271,00 00 00 00 00 00 00 00 00 00 00 00 06 00 0f 01
7,224,warp06,7,271,00 00 00 00 00 00 00 00 00 00 00 00 07 00 0f 01
8,256,warp07,8,271,00 00 00 00 00 00 00 00 00 00 00 00 08 00 0f 01
9,288,PRODUCER,9,271,00 00 00 00 00 00 00 00 00 00 00 00 09 00 0f 01
10,320,Hakkuru-Rinkuru,10,271,00 00 00 00 00 00 00 00 00 00 00 00 0a 00 0f 01
11,352,Kuroido-Moido,11,271,00 00 00 00 00 00 00 00 00 00 00 00 0b 00 0f 01
12,384,Semih Lafihna,12,271,00 00 00 00 00 00 00 00 00 00 00 00 0c 00 0f 01
13,416,Janshura-Rashura,13,271,00 00 00 00 00 00 00 00 00 00 00 00 0d 00 0f 01
14,448,Puo Rhen,14,271,00 00 00 00 00 00 00 00 00 00 00 00 0e 00 0f 01
15,480,Ten of Clubs,15,271,00 00 00 00 00 00 00 00 00 00 00 00 0f 00 0f 01
16,512,Nine of Clubs,16,271,00 00 00 00 00 00 00 00 00 00 00 00 10 00 0f 01
17,544,Hakkuru-Rinkuru,17,271,00 00 00 00 00 00 00 00 00 00 00 00 11 00 0f 01
18,576,Kuroido-Moido,18,271,00 00 00 00 00 00 00 00 00 00 00 00 12 00 0f 01
19,608,Maabu-Sonbu,19,271,00 00 00 00 00 00 00 00 00 00 00 00 13 00 0f 01
20,640,Kunchichi,20,271,00 00 00 00 00 00 00 00 00 00 00 00 14 00 0f 01
21,672,Mojo-Pojo,21,271,00 00 00 00 00 00 00 00 00 00 00 00 15 00 0f 01
22,704,Yaman-Hachuman,22,271,00 00 00 00 00 00 00 00 00 00 00 00 16 00 0f 01
23,736,Goltata,23,271,00 00 00 00 00 00 00 00 00 00 00 00 17 00 0f 01
24,768,Ohruru,24,271,00 00 00 00 00 00 00 00 00 00 00 00 18 00 0f 01
25,800,Ajido-Marujido,25,271,00 00 00 00 00 00 00 00 00 00 00 00 19 00 0f 01
26,832,Shantotto,26,271,00 00 00 00 00 00 00 00 00 00 00 00 1a 00 0f 01
27,864,Apururu,27,271,00 00 00 00 00 00 00 00 00 00 00 00 1b 00 0f 01
28,896,Satata,28,271,00 00 00 00 00 00 00 00 00 00 00 00 1c 00 0f 01
29,928,Noragu-Meragu,29,271,00 00 00 00 00 00 00 00 00 00 00 00 1d 00 0f 01
30,960,Rachuchu,30,271,00 00 00 00 00 00 00 00 00 00 00 00 1e 00 0f 01
31,992,Yuhito-Kubhito,31,271,00 00 00 00 00 00 00 00 00 00 00 00 1f 00 0f 01
32,1024,Blank Card,32,271,00 00 00 00 00 00 00 00 00 00 00 00 20 00 0f 01
33,1056,Blank Card,33,271,00 00 00 00 00 00 00 00 00 00 00 00 21 00 0f 01
34,1088,Blank Card,34,271,00 00 00 00 00 00 00 00 00 00 00 00 22 00 0f 01
35,1120,Blank Card,35,271,00 00 00 00 00 00 00 00 00 00 00 00 23 00 0f 01
36,1152,Blank Card,36,271,00 00 00 00 00 00 00 00 00 00 00 00 24 00 0f 01
37,1184,Blank Card,37,271,00 00 00 00 00 00 00 00 00 00 00 00 25 00 0f 01
38,1216,Blank Card,38,271,00 00 00 00 00 00 00 00 00 00 00 00 26 00 0f 01
39,1248,Blank Card,39,271,00 00 00 00 00 00 00 00 00 00 00 00 27 00 0f 01
40,1280,Blank Card,40,271,00 00 00 00 00 00 00 00 00 00 00 00 28 00 0f 01
41,1312,Melek,41,271,00 00 00 00 00 00 00 00 00 00 00 00 29 00 0f 01
42,1344,Gold Skull,42,271,00 00 00 00 00 00 00 00 00 00 00 00 2a 00 0f 01
43,1376,Ada,43,271,00 00 00 00 00 00 00 00 00 00 00 00 2b 00 0f 01
44,1408,Josef,44,271,00 00 00 00 00 00 00 00 00 00 00 00 2c 00 0f 01
45,1440,Calixte,45,271,00 00 00 00 00 00 00 00 00 00 00 00 2d 00 0f 01
46,1472,Thubu Parohren,46,271,00 00 00 00 00 00 00 00 00 00 00 00 2e 00 0f 01
47,1504,Panja-Nanja,47,271,00 00 00 00 00 00 00 00 00 00 00 00 2f 00 0f 01
48,1536,Erabu-Fumulubu,48,271,00 00 00 00 00 00 00 00 00 00 00 00 30 00 0f 01
49,1568,Degong,49,271,00 00 00 00 00 00 00 00 00 00 00 00 31 00 0f 01
50,1600,Babubu,50,271,00 00 00 00 00 00 00 00 00 00 00 00 32 00 0f 01
51,1632,Mhe Quryobhi,51,271,00 00 00 00 00 00 00 00 00 00 00 00 33 00 0f 01
52,1664,Tokaka,52,271,00 00 00 00 00 00 00 00 00 00 00 00 34 00 0f 01
53,1696,Chipmy-Popmy,53,271,00 00 00 00 00 00 00 00 00 00 00 00 35 00 0f 01
54,1728,Pattel-Bacchel,54,271,00 00 00 00 00 00 00 00 00 00 00 00 36 00 0f 01
55,1760,Kususu,55,271,00 00 00 00 00 00 00 00 00 00 00 00 37 00 0f 01
56,1792,Aroro,56,271,00 00 00 00 00 00 00 00 00 00 00 00 38 00 0f 01
57,1824,Hohbiba-Mubiba,57,271,00 00 00 00 00 00 00 00 00 00 00 00 39 00 0f 01
58,1856,Taniko-Maniko,58,271,00 00 00 00 00 00 00 00 00 00 00 00 3a 00 0f 01
59,1888,Guruna-Maguruna,59,271,00 00 00 00 00 00 00 00 00 00 00 00 3b 00 0f 01
60,1920,Kumama,60,271,00 00 00 00 00 00 00 00 00 00 00 00 3c 00 0f 01
