npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,DIRECTOR,1,271,2,4960,5148,129.47,2.01,129.48,65,12947,201,12948,12947 12948 201 2144 1107369984 6095174 1166016896 -491518
2,warp01,2,271,3,7308,7328,111.45,0.01,0.0,50,11145,1,0,11145 0 1 55 142336 131343 1633878287 2386786
3,warp02,3,271,3,7400,7420,111.45,0.01,0.0,50,11145,1,0,11145 0 1 55 207872 196879 1633878287 2386786
4,warp03,4,271,3,7492,7512,111.45,0.01,0.0,50,11145,1,0,11145 0 1 55 273408 262415 1633878287 2386786
5,warp04,5,271,3,7584,7604,111.45,0.01,0.0,50,11145,1,0,11145 0 1 55 338944 327951 1633878287 2386786
6,warp05,6,271,3,7676,7696,111.45,0.01,0.0,50,11145,1,0,11145 0 1 55 404480 393487 1633878287 2386786
7,warp06,7,271,3,7768,7788,111.45,0.01,0.0,50,11145,1,0,11145 0 1 55 470016 459023 1633878287 2386786
8,warp07,8,271,3,7860,7880,111.45,0.01,0.0,50,11145,1,0,11145 0 1 55 535552 524559 1633878287 2386786
9,PRODUCER,9,271,739,7952,8116,2.12,0.0,44.01,15,212,0,4401,212 4401 0 1 2 3 103 4
10,Hakkuru-Rinkuru,10,271,31,19756,19940,-1236.96,-60.0,1640.23,80,-123696,-6000,164023,-123696 164023 -6000 473 13 -123936 163897 -125904
11,Kuroido-Moido,11,271,23,20640,20808,-1247.18,-60.0,1655.64,95,-124718,-6000,165564,-124718 165564 -6000 758 13 -123199 172373 -5500
14,Puo Rhen,14,271,156,34936,35100,0.58,33.06,33.05,45,58,3306,3305,58 3305 3306 3307 3314 3315 3326 3339
15,Ten of Clubs,15,271,4,34964,35100,0.58,33.06,33.05,45,58,3306,3305,58 3305 3306 3307 3314 3315 3326 3339
16,Nine of Clubs,16,271,7,35884,36028,1.81,33.04,33.03,45,181,3304,3303,181 3303 3304 3325 3338 3352 3353 3389
17,Hakkuru-Rinkuru,17,271,329,58308,58424,9.0,36.67,36.66,50,900,3667,3666,900 3666 3667 73 1342267136 2147483640 2147483640 1801609571
19,Maabu-Sonbu,19,271,53,50916,51064,0.3,36.51,36.5,30,30,3651,3650,30 3650 3651 192 3942 3943 3944 3945
20,Kunchichi,20,271,16,51952,52032,0.17,36.52,30.36,30,17,3652,3036,17 3036 3652 3653 3707 3708 3753 3754
21,Mojo-Pojo,21,271,19,52408,52488,0.12,36.54,30.36,30,12,3654,3036,12 3036 3654 3655 3709 3710 3755 3756
22,Yaman-Hachuman,22,271,1,52772,52908,130.94,131.05,131.04,70,13094,13105,13104,13094 13104 13105 204 -2147457536 2147483640 2147483640 812346484
23,Goltata,23,271,14,53128,53264,123.11,126.22,126.21,70,12311,12622,12621,12311 12621 12622 296 -2147457536 2147483640 2147483640 812346484
24,Ohruru,24,271,161,450927,451083,10.23,0.0,1536.0,75,1023,0,153600,1023 153600 0 1280 12288 -1275068416 58720266 -2147479474
25,Ajido-Marujido,25,271,76,55891,56043,76.8,104.96,878.08,85,7680,10496,87808,7680 87808 10496 3328 -28653312 25372159 -1087744 -28625153
27,Apururu,27,271,113,58264,58424,9.0,36.67,36.66,50,900,3667,3666,900 3666 3667 73 1342267136 2147483640 2147483640 1801609571
