offset,token
3643,s084
3679,s084E
3694,s085
3730,s085
3749,s086
3785,s086E
3800,s087
3836,s087
3855,s088
3891,s088E
3906,s089
3942,s089
3970,s090
4000,s090E#
4015,c00i
4032,fdo1
4509,s025
4529,s025E
4544,s026
4616,ovl1
4633,blon
4650,s096
4670,blof
4687,s096
4888,fdo1
4905,fdo1F
4956,s110
4976,fdi1
5004,s110E
5019,s111
5036,tlk0+C
5059,fdo1
5076,fdo1R
5091,s111F
5111,fdi1
5708,sha0S
5721,sha0
5745,sha1S
5758,sha1
5994,tlk0
6018,tlk1
6042,tlk0
6060,tlk1
6086,tlk0
6104,tlk1
6130,tlk0
6148,tlk1
6174,tlk0
6192,tlk1
6218,tlk0
6236,tlk1
6262,tlk0
6280,tlk1
6306,tlk0
6324,tlk1
6350,tlk0
6368,tlk1
6464,pas0
6488,sha0S
6501,sha0
6525,sha1S
6538,sha1
6594,sha0
6623,run0
6647,mab0
6671,orz0
6695,tlk0
6713,tlk1
6727,res0S
6740,res0
6754,res2S
6767,res2
15793,s001
15813,fdi2
15845,fdo1
15862,s001E
15877,s002
15897,fdi1
15938,fdo1
15955,s002
15973,s000
15990,fdi1
16031,fdo1
16048,s000
16066,s005
16083,fdi1
16132,fdo2
16149,fdo2U
16164,s005E
16179,fao1
16207,fai1
16227,fao1
16256,fai1
16276,fao1
16302,s003
16319,fdi2
16336,fdi2x5
16394,s013
16444,s003
16468,fai1
16485,s003E
16500,s000
16536,s000E
16551,s001
16591,s001J
16631,s002
16738,s013
16930,s080
16950,s067
17011,s019
17127,s004
17258,s004E
17273,s022
17297,s020
17343,s080
17363,s067
17442,s003'
17482,s023
17550,s023E
17565,s025
17604,s024
17668,s024E
17683,s066
17737,fdo1
17796,fdi1
17817,s014
17862,s013
17921,s026
17975,s026E
17990,fdo0
18010,s028
18027,fdi0
18051,s028E
18066,fdo0
18103,s080
18123,s067
18140,fdi0
18179,s014
18245,s016
18276,s016E
18291,s021
18344,s021E
18359,fdo0
18379,s014
18396,fdi0
18421,s014
18577,s032
18615,s032E
18630,s014
18673,s017
18732,fdo0
18752,s031
18769,fdi0
18793,s031E
18808,fdo0
18836,s080
18856,s067
18873,fdi0
18891,s017
18915,fdo0
18935,s029
18952,fdi0
18976,s029E
18991,fdo0
19034,s080
19054,s067
19071,fdi0
19089,s017
19113,s026
19160,s026E
19175,fdo0
19195,s028
19212,fdi0
19236,s028E
19251,fdo0
19286,s014
19303,fdi0
19337,s014
19382,s016
19413,s016E
19428,fdo0
19448,s031
19465,fdi0
19489,s031E
19504,fdo0
19524,s029
19541,fdi0
19565,s029E
19580,fdo0
19600,s032
19617,fdi0
19648,s032E
19663,fdo0
19683,s033
19700,fdi0
19731,s033E
19746,fdo0
19789,s080
19809,s067
19826,fdi0
19992,tlk0
20008,jmp0
20022,jmp0
20038,ang0
20052,ang0
20068,thk1
20084,thk2
20432,tlk0
20446,tlk0
20462,jmp0
20481,thk1
20497,thk2
20513,pas0
20527,pas0
20549,sur0
20686,Jack_of_Spades
20736,s024E
20751,s150
20776,s150E
20791,s024
20964,tlk0
20980,jmp0
21692,tlk0
21706,tlk0
21722,tlk1
21736,tlk1
21757,nto0
21771,nto0
21787,nto1
21801,nto1
21817,itt0
21831,itt0
21847,itt1
21861,itt1
21877,yko0
21891,yko0
21907,yko1
21921,yko1
21937,thk1
21951,thk1
21967,thk1S
21980,thk1
21996,thk2
22010,thk2
22026,poi0S
22039,thk2
22055,poi0
22069,poi0
22085,poi1S
22098,poi0
22152,yko0S
22165,yko0
23632,tlk1
23661,tlk2S
23674,tlk2
23690,tlb0
23704,tlb0
23720,tlb1
23734,tlb1
23750,kwi0
23764,kwi0
23786,thk1
23800,thk1
23816,thk2
23830,thk2
23852,sis0
23866,sis0
23882,poi0
23896,poi0
23912,poi1
23926,poi1
23942,poi3
23956,poi3
23981,fdo1
24019,fdi1
24718,fdo1
24754,s005
24793,fdi1
24817,s006
24847,s006N
24868,s005
24994,s005
25065,s005
25105,s063
25214,s064
25256,s068
25288,s083
25308,s065
25390,s005
25436,s005
25474,s007
25558,s081
25615,s005
25938,fdo1
25967,s005
26006,fdi1
26210,fdo1
26239,s005
26278,fdi1
26302,s006
26347,s063
26377,s005
26602,fdo1
26631,s005
26670,fdi1
26694,s063
26739,s005
26760,fdo1
26780,s063K
26810,fdi1
26827,qstc
26902,fdo1
26931,s005
26970,fdi1
27010,s072
27203,fdo1
27232,s005
27271,fdi1
27311,s006
27341,s006
27473,fdo1
27502,s005
27541,fdi1
27672,fdo1
27701,s005
27740,fdi1
27871,fdo1
27900,s005
27939,fdi1
28034,fdo1
28063,s005
28102,fdi1
28167,fdo1
28196,s005
28235,fdi1
28406,fdo1
28435,s005
28474,fdi1
28509,s006
28621,fdo1
28644,s005
28683,fdi1
28781,fdo1
28804,s143
28857,fdi1
28907,s144
28942,fdo1
28962,s144N
28988,fdi1
29064,fdo1
29087,s143
29126,fdi1
29176,s144
29204,fdo1
29257,fdi1
29333,fdo1
29392,s143
29409,fdi1
29445,s144
29480,s144E
29495,ovl1
29512,s005
29547,fdo1
29578,fdi1
29640,fdo1
29663,s143
29702,fdi1
29752,s144
29787,s144E
29802,ovl1
29819,s005
29854,fdo1
29892,fdi1
29982,fdo1
30005,s143
30044,fdi1
30083,s143E
30098,ovl1
30115,s144
30150,fdo1
30203,fdi1
30270,fdo1
30293,s143
30332,fdi1
30382,s144
30417,s144E
30432,ovl1
30449,s005
30489,fdo1
30532,fdi1
30620,fdo1
30643,s143
30682,fdi1
30728,fdo1
30766,fdi1
30828,fdo1
30851,s143
30890,fdi1
30944,s144
30976,fdo1
31003,s144N
31029,fdi1
31632,tlk0
31655,thk1
31669,thk1
31685,thk2
31699,thk2
33252,tlk0
33266,tlk0f
33281,tlk2S
33294,tlk2
33310,ure0
33324,ure0
33346,thk1
33360,thk1
33376,thk2
33390,thk2
35076,tlk0
35120,moj0
38488,tlk0
38526,thk1
38540,thk1
38556,thk2
38570,thk2
38586,poi0
38600,poi0
38616,pas0
38630,pas0
38646,iro0
38660,iro0
38676,gmn0
38714,shk0
38728,shk0
38744,bik0
38782,gkr0
38829,mgi0
38843,mgi0
38859,mgi1
38873,mgi1
39038,fdo1
39096,s069
39113,fdi1
39137,s061
39167,s061N
39188,s069
39212,s070
39249,s070E
39264,fdo1
39284,s071
39307,fdi1
39337,s069
39361,fdo1
39389,fdi1
39628,fdo1
39686,s069
39703,fdi1
39733,s061
39757,s061E
39772,s070
39796,s070N
39817,s069
39841,fdo1
39869,fdi1
39886,qstc
40062,fdo1
40120,s069
40137,fdi1
40190,s061
40214,s061E
40229,s070
40253,s070N
40274,s069
40298,fdo1
40326,fdi1
40343,qstc
40845,fdo1
40923,s044
40947,fdi1
41007,s045
41040,s047
41094,s048
41127,s048E
41142,s050
41204,s050E
41219,s046
41293,s091
41313,s051
41346,s052
41410,fdo1
41454,fdi1
41761,fdo1
41834,s058
41851,fdi1
41938,s059
42007,s059E
42022,fdo1
42102,s044
42119,fdi1
42159,s044E
42174,fdo1
42235,s060
42252,fdi1
42313,s061
42344,s061E
42359,s062
42383,fdo1
42419,fdi1
42666,fdo1
42745,s037
42762,fdi1
42779,s037
42808,s054
42839,s055
42894,fdo1
42921,s056
42938,fdi1
42962,main
42986,s057
43040,fdo1
43087,fdi1
43104,qstc
43302,fdo1
43374,s069
43391,fdi1
43432,s061
43483,s061E
43498,ovl1
43515,s022
43536,s022
43559,s000
43587,s000
43607,s023
43666,s000
43692,s000
43710,s023E
43725,s069
43799,fdo1
43897,hor1
43914,fdi1
43948,fdo1
44010,fdi1
44043,s026E
44058,s027
44088,mai1
44162,s028
44225,s028E
44240,s029
44279,s029E
44294,s030
44322,s030E
44337,s031
44382,s031E
44397,s032
44450,s032E
44465,ovl1
44482,s027
44515,s027E
44530,s033
44590,s033E
44605,s039
44661,s039E
44676,s035
44749,s035E
44764,s036
44835,s036E
44850,ovl1
44867,s034
44898,s034E
44913,s037
44977,s037E
44992,s038
45061,s038E
45076,ovl1
45093,s031
45153,fdo1
45180,s0315
45246,s024
45263,fdi1
45298,s024E
45313,s069
45376,fdo1
45427,fdi1
45720,fdo1
45794,s069
45811,fdi1
45852,s061
45884,s061E
45899,ovl1
45916,s070
45958,s070E
45973,s069
46010,fdo1
46061,fdi1
46125,fdo1
46183,s069
46200,fdi1
46250,fdo1
46285,fdi1
46401,fdo1
46472,s060
46489,fdi1
46524,s060E
46539,s061
46574,s061E
46589,ovl1
46606,s069
46659,s069E
46674,s146
46732,fdo1
46752,s146N
46791,fdi1
46811,qstc
46876,fdo1
46955,s060
46972,fdi1
46993,s060E
47008,s061
47054,s061E
47069,ovl1
47086,s069
47119,s069E
47134,s070
47162,s070E
47177,s145
47211,fdo1
47231,s145E
47246,s146
47263,fdi1
47315,s146E
47330,s147
47365,s147E
47380,s061
47413,fdo1
47440,s061F
47473,fdi1
47504,fdo1
47570,s069
47587,fdi1
47618,fdo1
47645,s069u
47753,s000
47770,fdi1
47790,s000E
47805,ovl1
47822,s001
47886,s001E
47901,s002
47931,s002E
47946,s003
48019,s003E
48034,ovl1
48051,s004
48090,s004E
48105,ovl1
48122,s005
48189,s005E
48204,s006
48280,s006E
48295,s007
48343,s007E
48358,s008
48396,s008E
48411,s009
48440,fdo1
48466,s009'
48488,s010
48505,fdi1
48544,fdo1
48604,fdi1
48701,fdo1
48791,s069
48808,fdi1
48842,s052
48909,s053
48969,s053E
48984,s059
49045,fdo1
49076,opov
49099,s059E
49114,s054
49131,fdi1
49166,s054E
49181,s055
49242,s055E
49257,s056
49319,s056E
49334,s059
49373,s059E
49388,ovl1
49405,s054
49445,s054
49468,s103
49496,s103
49524,s103
49544,s057
49608,s103
49634,s103
49660,s103
49678,s057E
49693,s058
49737,s058E
49752,s058
49789,s058E
49804,s059
49872,s059E
49887,s060
49938,s060E
49953,s061
50058,fdo1
50086,s061F
50103,fdi1
50250,fdo1
50338,s052
50355,fdi1
50379,s052E
50394,s085
50422,fdo1
50453,s085E
50468,s086
50485,fdi1
50512,s086E
50527,ovl1
50544,s087
50579,s087J
50603,s053
50647,s053E
50662,s088
50720,s088E
50735,s089
50785,fdo1
50842,s090
50859,fdi1
50884,s090E
50899,s091
