index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,DIRECTOR,4097,271,00 00 00 00 00 00 00 00 00 00 00 00 01 10 0f 01
2,64,warp01,4098,271,00 00 00 00 00 00 00 00 00 00 00 00 02 10 0f 01
3,96,warp02,4099,271,00 00 00 00 00 00 00 00 00 00 00 00 03 10 0f 01
4,128,warp03,4100,271,00 00 00 00 00 00 00 00 00 00 00 00 04 10 0f 01
5,160,warp04,4101,271,00 00 00 00 00 00 00 00 00 00 00 00 05 10 0f 01
6,192,warp05,4102,271,00 00 00 00 00 00 00 00 00 00 00 00 06 10 0f 01
7,224,warp06,4103,271,00 00 00 00 00 00 00 00 00 00 00 00 07 10 0f 01
8,256,warp07,4104,271,00 00 00 00 00 00 00 00 00 00 00 00 08 10 0f 01
9,288,warp08,4105,271,00 00 00 00 00 00 00 00 00 00 00 00 09 10 0f 01
10,320,warp09,4106,271,00 00 00 00 00 00 00 00 00 00 00 00 0a 10 0f 01
11,352,PRODUCER,4107,271,00 00 00 00 00 00 00 00 00 00 00 00 0b 10 0f 01
12,384,Kohlo-Lakolo,4108,271,00 00 00 00 00 00 00 00 00 00 00 00 0c 10 0f 01
13,416,Papo-Hopo,4109,271,00 00 00 00 00 00 00 00 00 00 00 00 0d 10 0f 01
14,448,Gomada-Vulmada,4110,271,00 00 00 00 00 00 00 00 00 00 00 00 0e 10 0f 01
15,480,Nanaa Mihgo,4111,271,00 00 00 00 00 00 00 00 00 00 00 00 0f 10 0f 01
16,512,Rakoh Buuma,4112,271,00 00 00 00 00 00 00 00 00 00 00 00 10 10 0f 01
17,544,Tih Pikeh,4113,271,00 00 00 00 00 00 00 00 00 00 00 00 11 10 0f 01
18,576,Sola Jaab,4114,271,00 00 00 00 00 00 00 00 00 00 00 00 12 10 0f 01
19,608,Miiri-Wohri,4115,271,00 00 00 00 00 00 00 00 00 00 00 00 13 10 0f 01
20,640,Apururu,4116,271,00 00 00 00 00 00 00 00 00 00 00 00 14 10 0f 01
21,672,Boizo-Naizo,4117,271,00 00 00 00 00 00 00 00 00 00 00 00 15 10 0f 01
22,704,Kopuro-Popuro,4118,271,00 00 00 00 00 00 00 00 00 00 00 00 16 10 0f 01
23,736,Kororo,4119,271,00 00 00 00 00 00 00 00 00 00 00 00 17 10 0f 01
