index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,DIRECTOR,8193,271,00 00 00 00 00 00 00 00 00 00 00 00 01 20 0f 01
2,64,warp01,8194,271,00 00 00 00 00 00 00 00 00 00 00 00 02 20 0f 01
3,96,warp02,8195,271,00 00 00 00 00 00 00 00 00 00 00 00 03 20 0f 01
4,128,warp03,8196,271,00 00 00 00 00 00 00 00 00 00 00 00 04 20 0f 01
5,160,warp04,8197,271,00 00 00 00 00 00 00 00 00 00 00 00 05 20 0f 01
6,192,warp05,8198,271,00 00 00 00 00 00 00 00 00 00 00 00 06 20 0f 01
7,224,warp06,8199,271,00 00 00 00 00 00 00 00 00 00 00 00 07 20 0f 01
8,256,warp07,8200,271,00 00 00 00 00 00 00 00 00 00 00 00 08 20 0f 01
9,288,PRODUCER,8201,271,00 00 00 00 00 00 00 00 00 00 00 00 09 20 0f 01
10,320,,8202,271,00 00 00 00 00 00 00 00 00 00 00 00 0a 20 0f 01
11,352,,8203,271,00 00 00 00 00 00 00 00 00 00 00 00 0b 20 0f 01
12,384,,8204,271,00 00 00 00 00 00 00 00 00 00 00 00 0c 20 0f 01
13,416,,8205,271,00 00 00 00 00 00 00 00 00 00 00 00 0d 20 0f 01
14,448,Pompi-Rompi,8206,271,00 00 00 00 00 00 00 00 00 00 00 00 0e 20 0f 01
15,480,Mhabi Molkot,8207,271,00 00 00 00 00 00 00 00 00 00 00 00 0f 20 0f 01
16,512,Matrimonial Coff,8208,271,65 72 00 00 00 00 00 00 00 00 00 00 10 20 0f 01
17,544,Celebratory Ches,8209,271,74 00 00 00 00 00 00 00 00 00 00 00 11 20 0f 01
18,576,Kupipi,8210,271,00 00 00 00 00 00 00 00 00 00 00 00 12 20 0f 01
19,608,Kupipi,8211,271,00 00 00 00 00 00 00 00 00 00 00 00 13 20 0f 01
20,640,Tayaya,8212,271,00 00 00 00 00 00 00 00 00 00 00 00 14 20 0f 01
21,672,Urubero-Mohbero,8213,271,00 00 00 00 00 00 00 00 00 00 00 00 15 20 0f 01
22,704,Semih Lafihna,8214,271,00 00 00 00 00 00 00 00 00 00 00 00 16 20 0f 01
23,736,Ajido-Marujido,8215,271,00 00 00 00 00 00 00 00 00 00 00 00 17 20 0f 01
24,768,Lion,8216,271,00 00 00 00 00 00 00 00 00 00 00 00 18 20 0f 01
25,800,Gamimi,8217,271,00 00 00 00 00 00 00 00 00 00 00 00 19 20 0f 01
