index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Nelcabrit,12289,271,00 00 00 00 00 00 00 00 00 00 00 00 01 30 0f 01
2,64,Jima,12290,271,00 00 00 00 00 00 00 00 00 00 00 00 02 30 0f 01
3,96,Goggehn,12291,271,00 00 00 00 00 00 00 00 00 00 00 00 03 30 0f 01
4,128,Altair,12292,271,00 00 00 00 00 00 00 00 00 00 00 00 04 30 0f 01
5,160,Pakh Jatalfih,12293,271,00 00 00 00 00 00 00 00 00 00 00 00 05 30 0f 01
6,192,Heimji-Keimji,12294,271,00 00 00 00 00 00 00 00 00 00 00 00 06 30 0f 01
7,224,Wolfgang,12295,271,00 00 00 00 00 00 00 00 00 00 00 00 07 30 0f 01
8,256,Monberaux,12296,271,00 00 00 00 00 00 00 00 00 00 00 00 08 30 0f 01
9,288,Kam'lanaut,12297,271,00 00 00 00 00 00 00 00 00 00 00 00 09 30 0f 01
10,320,Eald'narche,12298,271,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 0f 01
11,352,Mawl'gofaur,12299,271,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 0f 01
12,384,Kareh'ayollio,12300,271,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 0f 01
13,416,High Wind,12301,271,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 0f 01
14,448,Rainhard,12302,271,00 00 00 00 00 00 00 00 00 00 00 00 0e 30 0f 01
15,480,Pherimociel,12303,271,00 00 00 00 00 00 00 00 00 00 00 00 0f 30 0f 01
16,512,Neraf-Najiruf,12304,271,00 00 00 00 00 00 00 00 00 00 00 00 10 30 0f 01
17,544,Adolie,12305,271,00 00 00 00 00 00 00 00 00 00 00 00 11 30 0f 01
18,576,Auchefort,12306,271,00 00 00 00 00 00 00 00 00 00 00 00 12 30 0f 01
19,608,Chapi Galepilai,12307,271,00 00 00 00 00 00 00 00 00 00 00 00 13 30 0f 01
20,640,Crooked Arrow,12308,271,00 00 00 00 00 00 00 00 00 00 00 00 14 30 0f 01
21,672,Morlepiche,12309,271,00 00 00 00 00 00 00 00 00 00 00 00 15 30 0f 01
22,704,Baran,12310,271,00 00 00 00 00 00 00 00 00 00 00 00 16 30 0f 01
23,736,Petva,12311,271,00 00 00 00 00 00 00 00 00 00 00 00 17 30 0f 01
24,768,Muhoho,12312,271,00 00 00 00 00 00 00 00 00 00 00 00 18 30 0f 01
25,800,Colti,12313,271,00 00 00 00 00 00 00 00 00 00 00 00 19 30 0f 01
26,832,Anoop,12314,271,00 00 00 00 00 00 00 00 00 00 00 00 1a 30 0f 01
27,864,Albiona,12315,271,00 00 00 00 00 00 00 00 00 00 00 00 1b 30 0f 01
28,896,Main-Harmain,12316,271,00 00 00 00 00 00 00 00 00 00 00 00 1c 30 0f 01
29,928,Yavoraile,12317,271,00 00 00 00 00 00 00 00 00 00 00 00 1d 30 0f 01
30,960,Leis,12318,271,00 00 00 00 00 00 00 00 00 00 00 00 1e 30 0f 01
31,992,Arenuel,12319,271,00 00 00 00 00 00 00 00 00 00 00 00 1f 30 0f 01
32,1024,Falreze,12320,271,00 00 00 00 00 00 00 00 00 00 00 00 20 30 0f 01
33,1056,Radeivepart,12321,271,00 00 00 00 00 00 00 00 00 00 00 00 21 30 0f 01
34,1088,Kayle,12322,271,00 00 00 00 00 00 00 00 00 00 00 00 22 30 0f 01
35,1120,Dugga,12323,271,00 00 00 00 00 00 00 00 00 00 00 00 23 30 0f 01
36,1152,Ghye Dachanthu,12324,271,00 00 00 00 00 00 00 00 00 00 00 00 24 30 0f 01
37,1184,Auction Counter,12325,271,00 00 00 00 00 00 00 00 00 00 00 00 25 30 0f 01
38,1216,Auction Counter,12326,271,00 00 00 00 00 00 00 00 00 00 00 00 26 30 0f 01
39,1248,Auction Counter,12327,271,00 00 00 00 00 00 00 00 00 00 00 00 27 30 0f 01
40,1280,Auction Counter,12328,271,00 00 00 00 00 00 00 00 00 00 00 00 28 30 0f 01
41,1312,Elevator Button,12329,271,00 00 00 00 00 00 00 00 00 00 00 00 29 30 0f 01
42,1344,Perisa-Neburusa,12330,271,00 00 00 00 00 00 00 00 00 00 00 00 2a 30 0f 01
