npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,Nelcabrit,12289,271,49,208456,208612,101.44,101.79,101.45,15,10144,10179,10145,10144 10145 10179 21 90 35 201 0
2,Jima,12290,271,37,208080,208192,-322.95,89.99,-741.42,105,-32295,8999,-74142,-32295 -74142 8999 2978 60 -34783 -74196 -34829
3,Goggehn,12291,271,48,211024,211208,101.86,101.88,101.87,60,10186,10188,10187,10186 10187 10188 270 20517 -75086 8999 4041
4,Altair,12292,271,34,210624,210728,-762.35,20.72,89.99,105,-76235,2072,8999,-76235 8999 2072 13 28105 -76130 2048 28325
5,Pakh Jatalfih,12293,271,48,213212,213308,330.31,84.99,-120.81,120,33031,8499,-12081,33031 -12081 8499 1072 33152 -11960 1065 60
6,Heimji-Keimji,12294,271,38,213256,213308,330.31,84.99,-120.81,120,33031,8499,-12081,33031 -12081 8499 1072 33152 -11960 1065 60
7,Wolfgang,12295,271,399,277808,277924,29.99,0.01,0.0,90,2999,1,0,2999 0 1 123 -134114816 -1803550721 -2047 3604607
8,Monberaux,12296,271,104,31196,31356,-246.76,89.98,-500.76,120,-24676,8998,-50076,-24676 -50076 8998 2035 -28421 -50678 8999 15
9,Kam'lanaut,12297,271,155,31996,32112,0.5,-76.32,951.0,85,50,-7632,95100,50 95100 -7632 1024 0 106 105 30
10,Eald'narche,12298,271,43,32496,32572,-51.73,-69.96,986.66,105,-5173,-6996,98666,-5173 98666 -6996 1033 30 -5469 94980 -2781
11,Mawl'gofaur,12299,271,117,33068,33228,-63.94,0.13,12.91,120,-6394,13,1291,-6394 1291 13 2273 92368 -6996 143 0
12,Kareh'ayollio,12300,271,66,33876,34012,-25.61,-63.94,901.6,105,-2561,-6394,90160,-2561 90160 -6394 635 233 60 234 0
13,High Wind,12301,271,78,37352,37532,14.25,-49.99,613.88,120,1425,-4999,61388,1425 61388 -4999 1000 68975 -5000 3057 56
14,Rainhard,12302,271,40,38088,38260,-10.0,-50.0,689.75,120,-1000,-5000,68975,-1000 68975 -5000 3057 56 10197 1 10198
16,Neraf-Najiruf,12304,271,32,51148,51316,138.49,2.39,138.5,70,13849,239,13850,13849 13850 239 0 -1040896 1886355455 -125829018 -125829121
17,Adolie,12305,271,55,51176,51316,138.49,2.39,138.5,70,13849,239,13850,13849 13850 239 0 -1040896 1886355455 -125829018 -125829121
