offset,token
1418,B'G'
1424,I'J'K'M'O'
1444,R'X'
6299,fdo1
6316,fdo1
6336,t000
6353,t0008
6475,fdi1
6502,fdi1+
6558,t001
6654,t002
6671,t002'
6783,t010
6811,t010
6839,t010
6859,t00g
6893,t010
6919,t010
6945,t010
6963,t010N
7028,blon
7045,t004
7095,t00h
7151,t005
7168,t005E
7183,ovl1
7200,t00e
7217,t00eE
7232,ovl1
7257,t00a
7285,t00a
7313,t00c
7341,t00c
7369,t00c
7389,t003
7419,blon
7436,ovl1
7453,t00f
7492,main
7512,who1
7529,who1
7550,t00fE
7565,blof
7617,fdo1
7634,fdo1E5
7649,whi1
7666,whi1F
7683,fdi2
7729,who1
7746,who1E
7761,fdi1
7778,fdi18
7817,str0
7834,main
7851,sin0
7868,whi1
7885,whi1
7903,who1
7920,who1
7938,kill
7955,kill
7972,blof
7989,sin0
8048,fdo1
8065,fdo1E5
8080,whi1
8097,whi1F
8114,fdi2
8160,who1
8177,who1E
8192,fdi1
8209,fdi18
8286,t006
8356,sha0S
8369,sha0E5
8384,whi1
8401,whi1
8419,sha1S
8432,sha1
8450,t007
8481,t007
8499,fdo1
8611,r000
8628,fdi1
8675,r000E
8690,r001
8821,r002
8902,r003
8949,r003
8970,ovl1
8987,bash
9004,r004
9021,r004
9063,blon
9089,r00d
9121,pash
9154,bash
9171,r00e
9188,blof
9205,r00eE
9220,r005
9388,r005E
9403,r006
9437,r006E
9452,r007
9527,r008
9574,r008E
9589,r009
9636,r009+
9669,r00a
9723,r00aE
9738,r00b
9799,r00bE
9814,r00c
9873,fdo2
9890,fdo2R
9905,r00c'
9957,fdi2
9987,fdo1
10004,fdo18
10068,y000
10085,y000y
10117,fdi1
10134,fdi1+
10173,y001
10221,y00b
10238,y00b
10284,y002
10319,fdo1
10336,fdo1Rb
10351,y002N
10397,y003
10414,fdi1
10513,y00cEb
10528,z000
10545,z000kidl0
10632,z001
10649,z001N
10702,z002
10851,z002Eb
10866,z003
10906,z004
10959,blon
10976,z005
10993,bash
11037,z005E
11052,blof
11069,ovl1
11086,z006
11118,z006Eb
11133,s091
11153,z00a
