index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Monberaux,16385,271,00 00 00 00 00 00 00 00 00 00 00 00 01 40 0f 01
2,64,Rosaline,16386,271,00 00 00 00 00 00 00 00 00 00 00 00 02 40 0f 01
3,96,Souren,16387,271,00 00 00 00 00 00 00 00 00 00 00 00 03 40 0f 01
4,128,Constance,16388,271,00 00 00 00 00 00 00 00 00 00 00 00 04 40 0f 01
5,160,Two of Swords,16389,271,00 00 00 00 00 00 00 00 00 00 00 00 05 40 0f 01
6,192,Panta-Putta,16390,271,00 00 00 00 00 00 00 00 00 00 00 00 06 40 0f 01
7,224,Tsiket-Lukit,16391,271,00 00 00 00 00 00 00 00 00 00 00 00 07 40 0f 01
8,256,Wolfgang,16392,271,00 00 00 00 00 00 00 00 00 00 00 00 08 40 0f 01
9,288,Chocobo,16393,271,00 00 00 00 00 00 00 00 00 00 00 00 09 40 0f 01
10,320,Chocobo,16394,271,00 00 00 00 00 00 00 00 00 00 00 00 0a 40 0f 01
11,352,Chocobo,16395,271,00 00 00 00 00 00 00 00 00 00 00 00 0b 40 0f 01
12,384,Brutus,16396,271,00 00 00 00 00 00 00 00 00 00 00 00 0c 40 0f 01
13,416,Osker,16397,271,00 00 00 00 00 00 00 00 00 00 00 00 0d 40 0f 01
14,448,Shalott,16398,271,00 00 00 00 00 00 00 00 00 00 00 00 0e 40 0f 01
15,480,Dietmund,16399,271,00 00 00 00 00 00 00 00 00 00 00 00 0f 40 0f 01
16,512,Collet,16400,271,00 00 00 00 00 00 00 00 00 00 00 00 10 40 0f 01
17,544,Galmut,16401,271,00 00 00 00 00 00 00 00 00 00 00 00 11 40 0f 01
18,576,Narihira,16402,271,00 00 00 00 00 00 00 00 00 00 00 00 12 40 0f 01
19,608,Baudin,16403,271,00 00 00 00 00 00 00 00 00 00 00 00 13 40 0f 01
20,640,Audia,16404,271,00 00 00 00 00 00 00 00 00 00 00 00 14 40 0f 01
21,672,Mailloquetat,16405,271,00 00 00 00 00 00 00 00 00 00 00 00 15 40 0f 01
22,704,Rouliette,16406,271,00 00 00 00 00 00 00 00 00 00 00 00 16 40 0f 01
23,736,Chiphraix,16407,271,00 00 00 00 00 00 00 00 00 00 00 00 17 40 0f 01
24,768,Polly,16408,271,00 00 00 00 00 00 00 00 00 00 00 00 18 40 0f 01
25,800,Albrecht,16409,271,00 00 00 00 00 00 00 00 00 00 00 00 19 40 0f 01
26,832,Alista,16410,271,00 00 00 00 00 00 00 00 00 00 00 00 1a 40 0f 01
27,864,Ilumida,16411,271,00 00 00 00 00 00 00 00 00 00 00 00 1b 40 0f 01
28,896,Kurou-Morou,16412,271,00 00 00 00 00 00 00 00 00 00 00 00 1c 40 0f 01
29,928,Adaruel,16413,271,00 00 00 00 00 00 00 00 00 00 00 00 1d 40 0f 01
30,960,Ilumida,16414,271,00 00 00 00 00 00 00 00 00 00 00 00 1e 40 0f 01
31,992,Shiroro,16415,271,00 00 00 00 00 00 00 00 00 00 00 00 1f 40 0f 01
32,1024,Paya-Sabya,16416,271,00 00 00 00 00 00 00 00 00 00 00 00 20 40 0f 01
33,1056,Geebeh,16417,271,00 00 00 00 00 00 00 00 00 00 00 00 21 40 0f 01
34,1088,Fickblix,16418,271,00 00 00 00 00 00 00 00 00 00 00 00 22 40 0f 01
35,1120,Verena,16419,271,00 00 00 00 00 00 00 00 00 00 00 00 23 40 0f 01
36,1152,Zuber,16420,271,00 00 00 00 00 00 00 00 00 00 00 00 24 40 0f 01
37,1184,Glyke,16421,271,00 00 00 00 00 00 00 00 00 00 00 00 25 40 0f 01
38,1216,Artush,16422,271,00 00 00 00 00 00 00 00 00 00 00 00 26 40 0f 01
39,1248,Kortso-Paratso,16423,271,00 00 00 00 00 00 00 00 00 00 00 00 27 40 0f 01
40,1280,Taylen,16424,271,00 00 00 00 00 00 00 00 00 00 00 00 28 40 0f 01
41,1312,Zelma,16425,271,00 00 00 00 00 00 00 00 00 00 00 00 29 40 0f 01
42,1344,Mojuro-Nojuro,16426,271,00 00 00 00 00 00 00 00 00 00 00 00 2a 40 0f 01
43,1376,Hinda,16427,271,00 00 00 00 00 00 00 00 00 00 00 00 2b 40 0f 01
44,1408,Bozz,16428,271,00 00 00 00 00 00 00 00 00 00 00 00 2c 40 0f 01
45,1440,Tewo Rutuminpa,16429,271,00 00 00 00 00 00 00 00 00 00 00 00 2d 40 0f 01
46,1472,Bheem,16430,271,00 00 00 00 00 00 00 00 00 00 00 00 2e 40 0f 01
47,1504,Garadaut,16431,271,00 00 00 00 00 00 00 00 00 00 00 00 2f 40 0f 01
48,1536,Silver Tail,16432,271,00 00 00 00 00 00 00 00 00 00 00 00 30 40 0f 01
49,1568,Nevela,16433,271,00 00 00 00 00 00 00 00 00 00 00 00 31 40 0f 01
50,1600,Nekha Shachaba,16434,271,00 00 00 00 00 00 00 00 00 00 00 00 32 40 0f 01
51,1632,Balkehr,16435,271,00 00 00 00 00 00 00 00 00 00 00 00 33 40 0f 01
52,1664,Sibila-Mobla,16436,271,00 00 00 00 00 00 00 00 00 00 00 00 34 40 0f 01
53,1696,Renik,16437,271,00 00 00 00 00 00 00 00 00 00 00 00 35 40 0f 01
54,1728,Palarillont,16438,271,00 00 00 00 00 00 00 00 00 00 00 00 36 40 0f 01
55,1760,Guslam,16439,271,00 00 00 00 00 00 00 00 00 00 00 00 37 40 0f 01
56,1792,Deadly Minnow,16440,271,00 00 00 00 00 00 00 00 00 00 00 00 38 40 0f 01
57,1824,,16441,271,00 00 00 00 00 00 00 00 00 00 00 00 39 40 0f 01
58,1856,Nag'molada,16442,271,00 00 00 00 00 00 00 00 00 00 00 00 3a 40 0f 01
59,1888,Pherimociel,16443,271,00 00 00 00 00 00 00 00 00 00 00 00 3b 40 0f 01
60,1920,Neraf-Najiruf,16444,271,00 00 00 00 00 00 00 00 00 00 00 00 3c 40 0f 01
61,1952,Auchefort,16445,271,00 00 00 00 00 00 00 00 00 00 00 00 3d 40 0f 01
62,1984,Chapi Galepilai,16446,271,00 00 00 00 00 00 00 00 00 00 00 00 3e 40 0f 01
63,2016,Crooked Arrow,16447,271,00 00 00 00 00 00 00 00 00 00 00 00 3f 40 0f 01
64,2048,Prishe,16448,271,00 00 00 00 00 00 00 00 00 00 00 00 40 40 0f 01
65,2080,Prishe,16449,271,00 00 00 00 00 00 00 00 00 00 00 00 41 40 0f 01
66,2112,Ulmia,16450,271,00 00 00 00 00 00 00 00 00 00 00 00 42 40 0f 01
67,2144,Tenzen,16451,271,00 00 00 00 00 00 00 00 00 00 00 00 43 40 0f 01
68,2176,Tinjue,16452,271,00 00 00 00 00 00 00 00 00 00 00 00 44 40 0f 01
69,2208,Chocobo,16453,271,00 00 00 00 00 00 00 00 00 00 00 00 45 40 0f 01
70,2240,Chocobo,16454,271,00 00 00 00 00 00 00 00 00 00 00 00 46 40 0f 01
71,2272,Mejuone,16455,271,00 00 00 00 00 00 00 00 00 00 00 00 47 40 0f 01
72,2304,Mairee,16456,271,00 00 00 00 00 00 00 00 00 00 00 00 48 40 0f 01
73,2336,Couvoullie,16457,271,00 00 00 00 00 00 00 00 00 00 00 00 49 40 0f 01
74,2368,Coumuna,16458,271,00 00 00 00 00 00 00 00 00 00 00 00 4a 40 0f 01
75,2400,Antonia,16459,271,00 00 00 00 00 00 00 00 00 00 00 00 4b 40 0f 01
76,2432,Khe Chalahko,16460,271,00 00 00 00 00 00 00 00 00 00 00 00 4c 40 0f 01
77,2464,Champalpieu,16461,271,00 00 00 00 00 00 00 00 00 00 00 00 4d 40 0f 01
78,2496,Areebah,16462,271,00 00 00 00 00 00 00 00 00 00 00 00 4e 40 0f 01
79,2528,Theraisie,16463,271,00 00 00 00 00 00 00 00 00 00 00 00 4f 40 0f 01
80,2560,Rusese,16464,271,00 00 00 00 00 00 00 00 00 00 00 00 50 40 0f 01
81,2592,Leillaine,16465,271,00 00 00 00 00 00 00 00 00 00 00 00 51 40 0f 01
82,2624,Edlina,16466,271,00 00 00 00 00 00 00 00 00 00 00 00 52 40 0f 01
83,2656,Appollonia,16467,271,00 00 00 00 00 00 00 00 00 00 00 00 53 40 0f 01
84,2688,Ratoto,16468,271,00 00 00 00 00 00 00 00 00 00 00 00 54 40 0f 01
85,2720,Zekobi-Morokobi,16469,271,00 00 00 00 00 00 00 00 00 00 00 00 55 40 0f 01
