npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,Monberaux,16385,271,436,59528,59668,-0.31,104.46,-645.01,120,-31,10446,-64501,-31 -64501 10446 1000 3068 0 60 10
2,Rosaline,16386,271,28,59584,59668,-0.31,104.46,-645.01,120,-31,10446,-64501,-31 -64501 10446 1000 3068 0 60 10
3,Souren,16387,271,5,59928,60000,-499.13,-4.99,30.27,120,-49913,-499,3027,-49913 3027 -499 529 13 -48802 1990 30
4,Constance,16388,271,1,60416,60468,0.0,70.1,70.09,70,0,7010,7009,0 7009 7010 100 -1040896 1987018751 2147483640 -125829029
5,Two of Swords,16389,271,26,60888,60956,-199.54,-65.73,730.65,105,-19954,-6573,73065,-19954 73065 -6573 517 60 142 3604770 41943424
6,Panta-Putta,16390,271,43,61124,61176,-582.64,-5.0,-38.44,120,-58264,-500,-3844,-58264 -3844 -500 873 21 -57900 -4889 -60334
7,Tsiket-Lukit,16391,271,13,61412,61452,-186.12,-66.1,720.88,120,-18612,-6610,72088,-18612 72088 -6610 2385 -18160 67836 -6358 49
8,Wolfgang,16392,271,80,84392,84536,-4.66,38.17,-587.48,120,-466,3817,-58748,-466 -58748 3817 2762 -62911 11168 1000 -58622
9,Chocobo,16393,271,44,61628,61712,0.0,111.64,70.99,85,0,11164,7099,0 7099 11164 90 -51160 94750 8000 -45530
10,Chocobo,16394,271,92,62508,62656,-553.02,0.13,0.87,90,-55302,13,87,-55302 87 13 30 20 -58982 87664 8199
11,Chocobo,16395,271,44,61960,62052,70.99,0.9,111.64,85,7099,90,11164,7099 11164 90 15 -51160 94750 8000 -45530
12,Brutus,16396,271,399,171227,171355,230.4,7.68,76.8,85,23040,768,7680,23040 7680 768 3584 -15389184 20768255 967168 41728
14,Shalott,16398,271,58,69812,69988,-524.26,23.71,799.27,105,-52426,2371,79927,-52426 79927 2371 1688 13 -56835 77638 0
15,Dietmund,16399,271,130,70664,70808,-460.54,79.99,922.87,120,-46054,7999,92287,-46054 92287 7999 2711 -47391 95325 8045 -53153
16,Collet,16400,271,29,76164,76284,-435.94,0.65,1067.1,60,-43594,65,106710,-43594 106710 65 80 60 171 -266469376 494927871
17,Galmut,16401,271,216,76480,76648,-256.4,-88.0,1077.08,95,-25640,-8800,107708,-25640 107708 -8800 208 -25420 106167 2008 67
18,Narihira,16402,271,125,77560,77684,-367.95,0.0,1058.36,110,-36795,0,105836,-36795 105836 0 2110 -80975 106561 -1200 2591
19,Baudin,16403,271,150,78444,78620,74.17,74.19,74.18,-10,7417,7419,7418,7417 7418 7419 0 7009 7010 -84155 73440
