offset,token
1245,FIISIjI
1255,IrJsJ
1600,A'B'C'
7866,fdo1
7891,main
7940,whi1
8022,fdo1
8039,fdo18
8123,v000
8140,fdi1
8178,v000f
8193,tlk0+
8216,ten0
8234,fdo2
8251,fdo2'
8278,fdi2
8302,fdo1
8319,fdo18
8403,v000
8420,fdi1
8458,v000f
8473,tlk0+
8496,ten0+
8522,fdo2
8539,fdo2'
8566,fdi2
8590,fdo1
8607,fdo18
8705,z000
8799,fdi1
8870,z001
8887,z001+
8910,z002
8927,z002'
8985,z003
9002,z003KOP
9020,ovPP
9118,z004
9170,z005
9187,z005
9221,fdo2
9238,fdo2
9273,fdi2
9302,fdo1
9319,fdo1
9369,fdi1
9387,x000
9414,fdi1U
9496,x001
9513,x001+
9567,x002
9631,x003
9648,x00374
9726,x004
9743,x004+
9828,x005
9845,x005
9863,x00a
9880,x00a#'
9938,x00b
9985,x00b
10006,x00c
10023,x00c'
10069,s092
10126,x006
10143,x006
10188,x007
10205,x007
10237,x008
10254,x008y
10369,x009
10442,x009
10526,w000
10543,w000E
10558,fdi1
10585,fdi12
10694,w001
10711,w001ov
10789,w00c
10806,w00c
10824,w002
10841,w002#y
10928,w00b
11026,w00a
11043,w00a+
11109,ovl1
11126,w003
11143,w003+
11231,w004
11248,w004+
11286,w005
11324,w005E
11339,ovl1
11365,w006
11382,w006ov
11441,w007
11458,w007'
11515,w008
11724,w010
11828,w009
11845,w009
11904,fdo2
11921,fdo2u
11960,fdi2
11984,fdo1
12001,fdo18
12065,y001
12082,fdi1
12124,fdi1Uw
12139,y001'
12164,y000
12181,y000
12232,y002
12260,y002+
12308,y003
12354,fdo1
12371,fdo1Rw
12386,y003
12404,y004
12421,fdi1
12438,fdi1'
12483,y004Ew
12498,y005
12515,y005+
12550,y006
12637,y006Ew
12652,y007
12706,ovl1
12723,y008
12740,y008J
12812,y00d
12829,y00dEw
12844,y009
12927,y009#+
12951,y00a
12968,y00a'
13029,y00b
13069,y00bEw
13084,y00c
13101,y00c
13119,fdo2
13136,fdo2u
13175,fdi2
13199,fdo1
13216,fdo18
13248,s100
13272,s100E
13287,fdi1
13304,fdi1y
13367,s101
13391,s101'
13413,s102
13440,s102E
13455,s103
13480,s103E
13495,s106
13556,s106E
13571,s105
13602,s105E
13617,s104
13671,s104E
13686,s107
13718,s107E
13733,s108
13750,s108E
13765,s109
13812,s109E
13827,s110
13853,s110E
13868,s111
13899,s111E
13914,s112
13946,s112E
13961,s113
13993,s113E
14008,s105
14125,s114
14217,s105
14272,s105
14298,s105
14337,s105
14369,fdo2
14411,fdi2
14435,fdo1
14452,fdo18
14498,s100
14515,s100E
14530,fdi1
14547,fdi1y
14599,fdo1
14616,fdo17
14650,s116
14667,fdi1
14684,fdi1
14711,s116'
14741,s117
14773,s117E
14788,s118
14825,s118E
14840,s119
14865,s119E
14880,s120
14900,s120E
14915,s121
14947,s121E
14962,s122
14979,s122E
14994,s123
15011,s123'
15048,s121
15085,s121E
15100,s120
15121,s120E
15136,s124
15238,s125
15344,s125E
15359,s126
15370,ov#P
15402,s126E
15417,s127
15441,s127'
15479,s128
15496,s128E
15511,s129
15536,s129E
15551,s130
15566,ov#P
15635,s130E
15650,s118
15656,ov#P
15688,s118E
15703,s121
15740,s121E
15755,s118
15792,s118E
15807,s121
15839,s121E
15854,s131
15900,s131E
15915,s117
15954,s117E
15969,s122
16001,s122E
16016,s132
16048,s132E
16063,s124
16087,s124E
16102,q000
16126,q000E
16141,fdo2
16183,fdi2
16213,fdo1
16289,y000
16306,y000E
16321,fdi1
16338,fdi1ov
16386,fdo1
16403,fdo1N
16457,fdi1
16474,y001
16566,y001
16615,y001'
16677,y002
16762,y003
16786,y003+
16817,fdo2
16834,fdo2E
16849,y000
16902,fdi1
16919,fdi1
16953,fdo2
16995,fdi2
17011,e6t0
17023,e6t1
17058,fdo1
17075,fdo1
17154,fdi1
17171,fdi1'
17245,fdo1
17262,fdo1F
17279,fdi1
17350,fdo2
17435,cm40
17452,cm40
17470,fdi2
17487,fdi2'
17624,cm41
17641,cm41
17691,cm42
17708,cm42+
17801,cm45
17818,cm45+
17856,cm43
17873,cm43'
18101,cm44
18202,cm46
18282,cm47
18299,cm47
18327,fdo2
18384,fdi2
18414,fdo1
18431,fdo1E
18446,cm50
18463,cm508
18497,fdi1
18550,cm51
18625,cm52
18717,cm53
18742,cm53J
18914,fdo2
18931,fdo2N
18954,fdi2
18984,fdo1
19001,fdo18
19043,cm30
19060,cm30E
19075,fdi1
19168,cm31
19185,cm31
19248,cm33
19265,cm33'
19442,cm32
19459,cm32
19520,cm34
19537,cm34+
19563,qstc
19580,fdo2
