index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Wolfgang,20481,271,00 00 00 00 00 00 00 00 00 00 00 00 01 50 0f 01
2,64,Pherimociel,20482,271,00 00 00 00 00 00 00 00 00 00 00 00 02 50 0f 01
3,96,Auchefort,20483,271,00 00 00 00 00 00 00 00 00 00 00 00 03 50 0f 01
4,128,Prishe,20484,271,00 00 00 00 00 00 00 00 00 00 00 00 04 50 0f 01
5,160,Ulmia,20485,271,00 00 00 00 00 00 00 00 00 00 00 00 05 50 0f 01
6,192,Ghebi Damomohe,20486,271,00 00 00 00 00 00 00 00 00 00 00 00 06 50 0f 01
7,224,Aldo,20487,271,00 00 00 00 00 00 00 00 00 00 00 00 07 50 0f 01
8,256,Verena,20488,271,00 00 00 00 00 00 00 00 00 00 00 00 08 50 0f 01
9,288,Geebeh,20489,271,00 00 00 00 00 00 00 00 00 00 00 00 09 50 0f 01
10,320,Paya-Sabya,20490,271,00 00 00 00 00 00 00 00 00 00 00 00 0a 50 0f 01
11,352,Garnev,20491,271,00 00 00 00 00 00 00 00 00 00 00 00 0b 50 0f 01
12,384,Yin Pocanakhu,20492,271,00 00 00 00 00 00 00 00 00 00 00 00 0c 50 0f 01
13,416,Harnek,20493,271,00 00 00 00 00 00 00 00 00 00 00 00 0d 50 0f 01
14,448,Sattal-Mansal,20494,271,00 00 00 00 00 00 00 00 00 00 00 00 0e 50 0f 01
15,480,Dietmund,20495,271,00 00 00 00 00 00 00 00 00 00 00 00 0f 50 0f 01
16,512,Domingart,20496,271,00 00 00 00 00 00 00 00 00 00 00 00 10 50 0f 01
17,544,Chocobo,20497,271,00 00 00 00 00 00 00 00 00 00 00 00 11 50 0f 01
18,576,Tovrutaux,20498,271,00 00 00 00 00 00 00 00 00 00 00 00 12 50 0f 01
19,608,Seyaya,20499,271,00 00 00 00 00 00 00 00 00 00 00 00 13 50 0f 01
20,640,Teigero-Bangero,20500,271,00 00 00 00 00 00 00 00 00 00 00 00 14 50 0f 01
21,672,Naruru,20501,271,00 00 00 00 00 00 00 00 00 00 00 00 15 50 0f 01
22,704,Panta-Putta,20502,271,00 00 00 00 00 00 00 00 00 00 00 00 16 50 0f 01
23,736,Two of Swords,20503,271,00 00 00 00 00 00 00 00 00 00 00 00 17 50 0f 01
24,768,Pawkrix,20504,271,00 00 00 00 00 00 00 00 00 00 00 00 18 50 0f 01
25,800,Muckvix,20505,271,00 00 00 00 00 00 00 00 00 00 00 00 19 50 0f 01
26,832,Bluffnix,20506,271,00 00 00 00 00 00 00 00 00 00 00 00 1a 50 0f 01
27,864,Fickblix,20507,271,00 00 00 00 00 00 00 00 00 00 00 00 1b 50 0f 01
28,896,Mertaire,20508,271,00 00 00 00 00 00 00 00 00 00 00 00 1c 50 0f 01
29,928,Mataligeat,20509,271,00 00 00 00 00 00 00 00 00 00 00 00 1d 50 0f 01
30,960,Bki Tbujhja,20510,271,00 00 00 00 00 00 00 00 00 00 00 00 1e 50 0f 01
31,992,Lewenhart,20511,271,00 00 00 00 00 00 00 00 00 00 00 00 1f 50 0f 01
32,1024,Ruslan,20512,271,00 00 00 00 00 00 00 00 00 00 00 00 20 50 0f 01
33,1056,Derrick,20513,271,00 00 00 00 00 00 00 00 00 00 00 00 21 50 0f 01
34,1088,Kurou-Morou,20514,271,00 00 00 00 00 00 00 00 00 00 00 00 22 50 0f 01
35,1120,Chululu,20515,271,00 00 00 00 00 00 00 00 00 00 00 00 23 50 0f 01
36,1152,Runga-Kopunga,20516,271,00 00 00 00 00 00 00 00 00 00 00 00 24 50 0f 01
37,1184,Sutarara,20517,271,00 00 00 00 00 00 00 00 00 00 00 00 25 50 0f 01
38,1216,Joseph,20518,271,00 00 00 00 00 00 00 00 00 00 00 00 26 50 0f 01
39,1248,Danzhor,20519,271,00 00 00 00 00 00 00 00 00 00 00 00 27 50 0f 01
40,1280,Raji,20520,271,00 00 00 00 00 00 00 00 00 00 00 00 28 50 0f 01
41,1312,Shomera,20521,271,00 00 00 00 00 00 00 00 00 00 00 00 29 50 0f 01
42,1344,Crazy Wolf,20522,271,00 00 00 00 00 00 00 00 00 00 00 00 2a 50 0f 01
43,1376,Amhu Sabaroleka,20523,271,00 00 00 00 00 00 00 00 00 00 00 00 2b 50 0f 01
44,1408,Jazmin,20524,271,00 00 00 00 00 00 00 00 00 00 00 00 2c 50 0f 01
45,1440,Tawfeeq,20525,271,00 00 00 00 00 00 00 00 00 00 00 00 2d 50 0f 01
46,1472,Bogharg,20526,271,00 00 00 00 00 00 00 00 00 00 00 00 2e 50 0f 01
47,1504,Odasel,20527,271,00 00 00 00 00 00 00 00 00 00 00 00 2f 50 0f 01
48,1536,Kikilolo,20528,271,00 00 00 00 00 00 00 00 00 00 00 00 30 50 0f 01
49,1568,Nakho Jawantal,20529,271,00 00 00 00 00 00 00 00 00 00 00 00 31 50 0f 01
50,1600,Gurdern,20530,271,00 00 00 00 00 00 00 00 00 00 00 00 32 50 0f 01
51,1632,Omer,20531,271,00 00 00 00 00 00 00 00 00 00 00 00 33 50 0f 01
52,1664,Venika,20532,271,00 00 00 00 00 00 00 00 00 00 00 00 34 50 0f 01
53,1696,Saprut,20533,271,00 00 00 00 00 00 00 00 00 00 00 00 35 50 0f 01
