offset,token
2663,fdo1
2680,fdo13
2709,c05i
2729,fdi1
2746,fdi1Z
2796,fdo1
2813,fdo13
2842,c05i
2862,fdi1
2879,fdi1Z
2938,c01i
2967,fdo1
2997,c00i
3922,fdo1
3939,fdo1F
4110,s034
4130,fdi2
4170,s034Ek
4185,s035
4233,thk2Rk
4248,s035Ek
4263,s036
4326,s036Ek
4341,s037
4409,fdo1
4426,fdo1Rk
4441,s037N
4498,s038
4526,fdi2
4562,s038Ek
4577,s039
4623,tlb1
4648,s039Ek
4663,s040
4707,fdo1
4724,fdo1Rk
4799,s041
4819,fdi2
4870,tlk1Rk
4885,s041Ek
4900,s042
5286,s042
5312,s043
5340,s043
5368,s044
5396,s044
5424,s045
5452,s045
5480,s043
5508,s044
5702,fdo2
5719,fdo2Rk
5734,s043Rk
5749,s044Rk
5764,s045N
5797,s057
5817,fdi2
5903,thk2Rk
5918,s057Ek
5933,s046
5993,s046Ek
6008,s047
6048,s047Ek
6063,s048
6111,s048Ek
6126,s049
6201,s049Ek
6216,s050
6256,tlk1
6322,s050Ek
6337,s051
6386,ikr1f
6401,tlc0+
6424,s051Ek
6439,s052
6464,s052Ek
6479,s053
6504,s053Ek
6519,s054
6536,dis0+
6582,ikr1Rk
6597,s054Ek
6612,s055
6668,tlc0+
6691,s055Ek
6706,s056
6746,tlc0+
6769,thk2
6787,s056Ek
6802,s058
6834,s058Ek
6849,s059
6866,ure0+
6913,s059Ek
6928,s060
6966,tlc0+
6998,s060Ek
7013,s061
7070,tlk0+
7101,s061Ek
7116,s062
7133,tlk2+
7344,fdo2
7361,fdo2Rk
7376,s062N
7449,s063
7469,fdi2
7489,dis0+
7519,s063Ek
7534,s064
7573,s064Ek
7588,s065
7651,fdo2
7668,fdo2Rk
7683,s065N
7736,qstc
7766,fdi1
7824,sha0S
7837,sha0
7861,sha1S
7874,sha1
7910,Feliz
7941,Ferdinand
7972,Gunnar
8003,Massimo
8034,Oldrich
8065,Siegward
8096,Theobald
8127,Zenji
8169,Amerita
8200,Beatrice
8231,Henrietta
8262,Jesimae
8293,Karyn
8324,Nanako
8355,Sharlene
8386,Sieghilde
8428,Chanandit
8459,Deulmaeux
8490,Demresinaux
8521,Ephealgaux
8552,Gauldeval
8583,Grauffemart
8614,Migaifongut
8645,Romidiant
8687,Armittie
8718,Cadepure
8749,Clearite
8780,Epilleve
8811,Liabelle
8842,Nauthima
8873,Radille
8904,Vimechue
8946,Balu-Falu
8977,Burg-Ladarg
9008,Ehgo-Ryuhgo
9039,Kolui-Pelui
9070,Nokum-Akkum
9101,Savul-Kivul
9132,Vinja-Kanja
9163,Yarga-Umiga
9205,Cupapa
9236,Jajuju
9267,Kalokoko
9298,Mahoyaya
9329,Pakurara
9360,Ripokeke
9391,Yawawa
9422,Yufafa
9464,Fhig
9495,Khuma
9526,Pimy
9557,Raka
9588,Sahyu
9619,Sufhi
9650,Tsuim
9681,Yoli
9723,Durib
9754,Dzapiwa
9785,Jugowa
9816,Mugido
9847,Voldai
9878,Wagwei
9909,Zayag
9940,Zoldof
10006,Feliz
10037,Ferdinand
10068,Gunnar
10099,Massimo
10130,Oldrich
10161,Siegward
10192,Theobald
10223,Zenji
10265,Amerita
10296,Beatrice
10327,Henrietta
10358,Jesimae
10389,Karyn
10420,Nanako
10451,Sharlene
10482,Sieghilde
10524,Chanandit
10555,Deulmaeux
10586,Demresinaux
10617,Ephealgaux
10648,Gauldeval
10679,Grauffemart
10710,Migaifongut
10741,Romidiant
10783,Armittie
10814,Cadepure
10845,Clearite
10876,Epilleve
10907,Liabelle
10938,Nauthima
10969,Radille
11000,Vimechue
11042,Balu-Falu
11073,Burg-Ladarg
11104,Ehgo-Ryuhgo
11135,Kolui-Pelui
11166,Nokum-Akkum
11197,Savul-Kivul
11228,Vinja-Kanja
11259,Yarga-Umiga
11301,Cupapa
11332,Jajuju
11363,Kalokoko
11394,Mahoyaya
11425,Pakurara
11456,Ripokeke
11487,Yawawa
11518,Yufafa
11560,Fhig
11591,Khuma
11622,Pimy
11653,Raka
11684,Sahyu
11715,Sufhi
11746,Tsuim
11777,Yoli
11819,Durib
11850,Dzapiwa
11881,Jugowa
11912,Mugido
11943,Voldai
11974,Wagwei
12005,Zayag
12036,Zoldof
26617,tlk0
26641,tlk1
26665,sit0S
26678,sit0
26702,sit1S
26715,sit1
26739,tlk0
26757,tlk1
26786,atp0
26946,kizm_
26962,hmmm
26989,kizm_
27005,hfmm
27032,kizm_
27048,emmm
27075,kizm_
27091,efmm
27118,kizm_
27134,tmam
27161,kizm_
27177,tmam
27204,kizm_
27220,mmam
27247,kizm_
27263,gmam
27291,kizl_
27307,hmll
27334,kizl_
27350,hfll
27377,kizl_
27393,emll
27420,kizl_
27436,efll
27463,kizl_
27479,tmll
27506,kizl_
27522,tmll
27549,kizl_
27565,mmll
27592,kizl_
27608,gmll
27636,kiz2_
27652,hmm2
27679,kiz2_
27695,hfm2
27722,kiz2_
27738,emm2
27765,kiz2_
27781,efm2
27808,kiz2_
27824,tma2
27851,kiz2_
27867,tma2
27894,kiz2_
27910,mma2
27937,kiz2_
27953,gma2
28004,tlk0
28022,tlk1
28048,tlk0
28066,tlk1
28092,tlk0
28110,tlk1
28136,tlk0
28154,tlk1
28180,tlk0
28198,tlk1
28224,tlk0
28242,tlk1
28268,tlk0
28286,tlk1
28312,tlk0
28330,tlk1
28575,sshp
28623,ovl1
28640,sjns
28660,fdo2
28685,sshp
28733,ovl1
28750,sjnb
28770,fdo2
28795,sshp
28843,ovl1
28860,sjnw
28880,fdo2
28905,sshp
28953,ovl1
28970,sjnk
28990,fdo2
29013,fdi2
29030,sjcs
29050,fdo1
29072,fdi1
29092,fdi2
29109,sjcb
29129,fdo1
29151,fdi1
29171,fdi2
29188,sjcw
29208,fdo1
29230,fdi1
29250,fdi2
29267,sjck
29287,fdo1
29309,fdi1
29875,tlk1
29898,thk1
29921,thk2S
29963,tlk1
30309,dis0
30349,dis0
30389,hai0
30445,aww0
30463,thk1
30481,tlk0
30588,fum0
30621,thk1
30637,thk2
30715,hai0
30771,aww0
30789,thk1
30807,tlk0
30922,thk22B
30963,tlk1
31091,tlk0
31149,tlk0
31831,tlk0
31890,tlk0
31943,tlk0
31967,qstc
31994,tlk0
32013,thk1S
32026,thk1
32042,thk2
32061,pas0S
32074,pas0
32090,cry0S
32103,cry0
32505,dis0
32545,dis0
32585,hai0
32641,aww0
32659,thk1
32677,tlk0
32784,fum0
32817,thk1
32833,thk2
32911,hai0
32967,aww0
32985,thk1
33003,tlk0
33118,thk22J
33159,tlk1
33287,tlk0
33345,tlk0
33393,tlk0
33411,tlk1
33458,thk1
33476,thk2
34119,tlk0
34138,tlb0
34157,tlb1S
34170,tlb1
34186,thk1
34205,thk2S
34218,thk2
34551,dis0
34591,dis0
34631,hai0
34687,aww0
34705,thk1
34723,tlk0
