npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
8,Imasuke,24584,271,1,37488,37548,0.6,166.31,70.68,30,60,16631,7068,60 7068 16631 410 7069 7070 1 0
9,Yurugu-Homurugu,24585,271,1,38380,38412,66.95,66.96,0.0,15,6695,6696,0,6695 0 6696 1 6697 1073741824 83 -1040896
10,Chudigrimane,24586,271,7,38524,38712,0.89,0.26,8.64,-5,89,26,864,89 864 26 0 177 1 890 144
11,Haubijoux,24587,271,12,45856,45980,-610.59,80.01,-592.72,120,-61059,8001,-59272,-61059 -59272 8001 1117 7112 7093 271 -1033472
12,Roupatour,24588,271,3,45884,45980,-610.59,80.01,-592.72,120,-61059,8001,-59272,-61059 -59272 8001 1117 7112 7093 271 -1033472
13,Moulloie,24589,271,3,45412,45548,71.1,2.0,71.11,50,7110,200,7111,7110 7111 200 291 262912 84086786 101712640 -264564735
14,Purequane,24590,271,7,45448,45548,71.1,2.0,71.11,50,7110,200,7111,7110 7111 200 291 262912 84086786 101712640 -264564735
19,Avijit,24595,271,1,42496,42544,0.6,70.86,70.87,70,60,7086,7087,60 7087 7086 124 -1040896 42172415 268582672 -2147479550
20,Gatita,24596,271,3,46280,46380,70.97,0.01,70.98,15,7097,1,7098,7097 7098 1 0 146 60 200 30
21,Zedduva,24597,271,7,46316,46380,70.97,0.01,70.98,15,7097,1,7098,7097 7098 1 0 146 60 200 30
22,Nikki,24598,271,3,46572,46708,10.24,70.93,71.12,70,1024,7093,7112,1024 7112 7093 271 -1033472 98303 196610 514
23,White Beetle,24599,271,3,46600,46708,10.24,70.93,71.12,70,1024,7093,7112,1024 7112 7093 271 -1033472 98303 196610 514
24,Raging Lion,24600,271,12,40396,40584,0.91,4.58,8.64,10,91,458,864,91 864 458 0 609 1 1322 144
29,Gaura,24605,271,1,42684,42732,0.6,70.86,70.87,70,60,7086,7087,60 7087 7086 124 -1040896 42172415 268582672 -2147479550
30,Rachocho,24606,271,3,46996,47096,70.97,0.01,70.98,15,7097,1,7098,7097 7098 1 0 146 60 200 152
31,Omiro-Zamiro,24607,271,7,47032,47096,70.97,0.01,70.98,15,7097,1,7098,7097 7098 1 0 146 60 200 152
32,Funono,24608,271,3,47280,47412,-130.85,80.01,593.41,100,-13085,8001,59341,-13085 59341 8001 3093 7112 7093 315 -1033472
33,Kuya-Moya,24609,271,3,47308,47412,-130.85,80.01,593.41,100,-13085,8001,59341,-13085 59341 8001 3093 7112 7093 315 -1033472
34,Supiroro,24610,271,1,42304,42356,0.6,70.86,70.87,70,60,7086,7087,60 7087 7086 124 -1040896 42172415 268582672 -2147479550
39,Najib,24615,271,1,42872,42924,0.6,70.86,70.87,70,60,7086,7087,60 7087 7086 124 -1040896 42172415 268582672 -2147479550
40,Ramicharaux,24616,271,77,42216,42356,0.6,70.86,70.87,70,60,7086,7087,60 7087 7086 124 -1040896 42172415 268582672 -2147479550
41,Silent Lynx,24617,271,1,44996,45112,-770.64,80.01,593.41,100,-77064,8001,59341,-77064 59341 8001 3093 7112 7093 271 -1033472
42,Chaka Skitimah,24618,271,1,43064,43116,0.6,70.86,70.87,70,60,7086,7087,60 7087 7086 124 -1040896 42172415 268582672 -2147479550
45,Tautorie,24621,271,3,47756,47864,70.97,0.01,70.98,15,7097,1,7098,7097 7098 1 0 146 60 200 30
46,Illauvolahaut,24622,271,9,47792,47864,70.97,0.01,70.98,15,7097,1,7098,7097 7098 1 0 146 60 200 30
51,Jaipal,24627,271,1,157176,157228,0.6,70.86,70.87,70,60,7086,7087,60 7087 7086 124 -1040896 42172415 268582672 -2147479550
52,Chocobo,24628,271,9,49856,49964,66.84,0.01,66.85,15,6684,1,6685,6684 6685 1 32 120 60 201 200
53,Chocobo,24629,271,9,49884,49964,66.84,0.01,66.85,15,6684,1,6685,6684 6685 1 32 120 60 201 200
55,Caffie,24631,271,1,49912,49964,66.84,0.01,66.85,15,6684,1,6685,6684 6685 1 32 120 60 201 200
56,Narsha,24632,271,1,50324,50376,66.84,0.01,66.85,15,6684,1,6685,6684 6685 1 32 120 60 201 200
57,Home Point #1,24633,271,1,50736,50860,66.65,0.27,66.72,50,6665,27,6672,6665 6672 27 28 -2 6668 6673 6677
58,Home Point #2,24634,271,1,61304,61428,66.65,0.27,66.72,50,6665,27,6672,6665 6672 27 28 -2 6668 6673 6677
59,Home Point #3,24635,271,1,71872,71996,66.65,0.27,66.72,50,6665,27,6672,6665 6672 27 28 -2 6668 6673 6677
60,Home Point #4,24636,271,1,82440,82564,66.65,0.27,66.72,50,6665,27,6672,6665 6672 27 28 -2 6668 6673 6677
61,Home Point #5,24637,271,1,93008,93132,66.65,0.27,66.72,50,6665,27,6672,6665 6672 27 28 -2 6668 6673 6677
62,Leffquen,24638,271,81,42212,42356,0.6,70.86,70.87,70,60,7086,7087,60 7087 7086 124 -1040896 42172415 268582672 -2147479550
63,Marnie,24639,271,45,48120,48308,71.05,-0.03,0.0,50,7105,-3,0,7105 0 -3 3 7106 21 90 13
64,Zona Shodhun,24640,271,1,106172,106244,71.67,68.95,68.94,30,7167,6895,6894,7167 6894 6895 0 6897 1 6896 6898
66,Naurmaire,24642,271,93,108884,109064,71.13,0.21,0.6,50,7113,21,60,7113 60 21 90 13 -48195 3606 0
67,Khumo Daramasteh,24643,271,46,110596,110784,71.14,0.21,71.15,50,7114,21,7115,7114 7115 21 90 13 -48195 3606 0
