offset,token
1424,pas0
1448,orz0
1472,sha0S
1485,sha0
1509,sha1S
1522,sha1
1574,fdo0
1591,fdo08
1620,s030
1637,fdi1
1697,tlk1'
1722,s031
1818,s031E
1833,s032
1931,s032E
1946,s033
2109,tlb1R
2124,s033E
2139,s034
2243,tlk1f#
2313,tlk1E
2328,fdo1
2345,fdo1R
2360,s034F
2377,fdi1
2402,fdo0
2419,fdo08
2448,s030
2465,fdi0
2522,s034
2614,s034E
2629,s035
2744,s035E
2759,s036
2792,s036E
2807,s037
2824,blon
2863,blof
2881,who1
2898,who1E
2913,s038
2930,whi0
2980,who1
2997,who1E
3012,s039
3029,whi0
3129,uta1R
3144,s039E
3159,s040
3253,s040E
3268,s042
3327,s042E
3342,s041
3390,fdo2
3407,fdo2R
3422,s041E
3437,s043
3454,fdi0
3495,s043E
3510,s044
3610,s044E
3625,s045
3681,fdo2
3731,s045E
3746,s046
3763,fdi1
3804,fdo2
3821,fdo2
3849,fdi1
4118,tlk0
4142,tlk1
4166,sit0S
4179,sit0
4203,sit1S
4216,sit1
4240,tlk0
4258,tlk1
4458,fdi0
4475,corpS
4488,corp
4531,tlk0
4560,tlk1
4603,tlk0
4621,tlk1
4647,tlk0
4665,tlk1
4691,tlk0
4709,tlk1
4735,tlk0
4753,tlk1
4779,tlk0
4797,tlk1
4823,tlk0
4841,tlk1
4867,tlk0
4885,tlk1
4911,tlk0
4929,tlk1
4956,pas0
4982,pas0
5008,pas0
5034,pas0
5060,pas0
5086,pas0
5112,pas0
5138,pas0
5174,mab0
5204,mab1S
5217,mab1
5252,fdo1
5269,main
5360,fdi0
5377,fdi0
5393,fdo0
5410,fdo0
5426,fdi1
5443,fdi1
5459,fdo1
5476,fdo1
5492,whi1
5509,whi1
5525,who1
5542,who1
5558,who2
5575,who2
5591,who3
5608,who3
5624,main
5644,fdo1
5661,fdo1
5677,fdi1
5694,main
5714,fdi1
5730,blon
5747,blon
5765,whi0
5782,whi0
5798,who0
5815,who0
5831,efon
5848,efon
5864,fdis
5882,fdos
5899,fdos
