npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,Thunder Hawk,32770,271,14,3508,3656,70.06,70.04,70.03,60,7006,7004,7003,7006 7003 7004 1013 -1040896 1886355455 -125829018 -125829121
2,Serafin,32771,271,10,4856,4892,-567.22,-105.58,56.88,105,-56722,-10558,5688,-56722 5688 -10558 0 6846 6850 134 788537856
3,Evrard,32772,271,11,4688,4724,-586.91,-105.58,84.74,90,-58691,-10558,8474,-58691 8474 -10558 0 6847 108 788537856 260047872
4,Manfried,32773,271,1,5056,5156,70.23,70.24,0.1,70,7023,7024,10,7023 10 7024 369 -1040896 1212415 16128 -2147483648
5,Velema,32774,271,1,5544,5612,70.11,70.13,70.12,45,7011,7013,7012,7011 7012 7013 335 -1040896 1886355455 -125829018 -125829121
6,Flandiace,32775,271,1,5964,6048,70.08,70.1,70.09,45,7008,7010,7009,7008 7009 7010 375 -1040896 1886355455 -125829018 -125829121
7,Elfriede,32776,271,2,6440,6568,72.97,72.99,72.98,60,7297,7299,7298,7297 7298 7299 1047 -1040896 1886355455 1719664669 -491519
8,Herminia,32777,271,1,7632,7820,0.65,69.23,69.22,30,65,6923,6922,65 6922 6923 0 6924 2048 200 120
9,Pascaut,32778,271,1,7664,7820,0.65,69.23,69.22,30,65,6923,6922,65 6922 6923 0 6924 2048 200 120
10,Valgeir,32779,271,1,7736,7820,0.65,69.23,69.22,30,65,6923,6922,65 6922 6923 0 6924 2048 200 120
14,Abelard,32783,271,191,10544,10724,0.02,67.12,67.11,30,2,6712,6711,2 6711 6712 3 6715 6713 6714 200
15,Naillina,32784,271,24,10652,10760,4.84,-112.87,-635.75,120,484,-11287,-63575,484 -63575 -11287 784 -61687 -5567 2915 760
16,Dohdjuma,32785,271,1,12132,12228,67.24,2.01,0.11,70,6724,201,11,6724 11 201 287 -1040896 1886355455 -125829018 -125829121
17,Romeo,32786,271,1,12156,12228,67.24,2.01,0.11,70,6724,201,11,6724 11 201 287 -1040896 1886355455 -125829018 -125829121
18,Oswald,32787,271,1,12532,12632,67.47,0.51,67.48,30,6747,51,6748,6747 6748 51 201 3 6828 1 6827
19,Oleg,32788,271,16,14212,14256,0.01,69.91,69.9,70,1,6991,6990,1 6990 6991 77 -1040896 1277951 1870659584 -2147394704
20,Jimaida,32789,271,3,14352,14436,67.34,0.51,67.35,70,6734,51,6735,6734 6735 51 354 -1040896 1277951 1870659584 -2147394704
21,Yaya,32790,271,2,14808,14848,0.01,69.97,69.96,15,1,6997,6996,1 6996 6997 200 3 148 50 343
22,Zaldon,32791,271,1,15224,15336,67.41,67.42,0.5,30,6741,6742,50,6741 50 6742 89 200 6743 6744 6745
23,Gabwaleid,32792,271,1,16916,16984,0.04,69.88,69.87,70,4,6988,6987,4 6987 6988 148 -1040896 1886355455 -125829029 -125829121
24,Melyon,32793,271,2,17588,17672,67.59,0.1,67.6,30,6759,10,6760,6759 6760 10 1 6764 6761 6762 11
25,Ramona,32794,271,27,18308,18460,29.39,73.52,73.51,85,2939,7352,7351,2939 7351 7352 875 -1040896 1886355455 444596315 436277120
27,Mathilde's Son,32796,271,30,21380,21436,-66.42,69.72,-72.87,105,-6642,6972,-7287,-6642 -7287 6972 148 0 13647 3115 75
30,Mee,32799,271,1,21884,22028,68.61,0.01,68.62,30,6861,1,6862,6861 6862 1 0 6863 2825 6864 40
31,Baa,32800,271,1,21908,22028,68.61,0.01,68.62,30,6861,1,6862,6861 6862 1 0 6863 2825 6864 40
32,Vuntar,32801,271,1,17148,17224,67.91,67.92,2.01,70,6791,6792,201,6791 201 6792 346 -1040896 1212415 16128 -2147483648
33,Isacio,32802,271,1,21932,22028,68.61,0.01,68.62,30,6861,1,6862,6861 6862 1 0 6863 2825 6864 40
34,Devean,32803,271,1,22804,22980,68.85,69.01,69.0,45,6885,6901,6900,6885 6900 6901 777 201 6902 666 7088
36,Moreche,32805,271,1,23944,24032,65.6,0.0,65.61,15,6560,0,6561,6560 6561 0 1 100 2 102 3
37,Meldivon,32806,271,1,23880,24032,65.6,0.0,65.61,15,6560,0,6561,6560 6561 0 1 100 2 102 3
40,Wachiwi,32809,271,1,24008,24032,65.6,0.0,65.61,15,6560,0,6561,6560 6561 0 1 100 2 102 3
41,Lombaria,32810,271,1,25016,25100,65.51,0.32,0.72,35,6551,32,72,6551 72 32 8 10 -1 6527 6528
44,Home Point #1,32813,271,1,30588,30712,65.06,0.27,65.13,50,6506,27,6513,6506 6513 27 28 -2 6509 6514 6518
45,Home Point #2,32814,271,1,41156,41280,65.06,0.27,65.13,50,6506,27,6513,6506 6513 27 28 -2 6509 6514 6518
46,Home Point #3,32815,271,1,51724,51848,65.06,0.27,65.13,50,6506,27,6513,6506 6513 27 28 -2 6509 6514 6518
47,Home Point #4,32816,271,1,62292,62416,65.06,0.27,65.13,50,6506,27,6513,6506 6513 27 28 -2 6509 6514 6518
48,Home Point #5,32817,271,1,72860,72984,65.06,0.27,65.13,50,6506,27,6513,6506 6513 27 28 -2 6509 6514 6518
49,Door:Mayor's Res,32818,271,2,86436,86600,196.81,-25.58,-365.26,120,19681,-2558,-36526,19681 -36526 -2558 1239 13 18971 -40024 -9492
51,Door:Weavers' Gu,32820,271,5,95852,95964,-555.31,0.0,0.07,90,-55531,0,7,-55531 7 0 1 128 -462563 -198062 700
52,Door:Shepherd's,32821,271,1,86480,86600,196.81,-25.58,-365.26,120,19681,-2558,-36526,19681 -36526 -2558 1239 13 18971 -40024 -9492
53,Lucia,32822,271,1,29100,29140,0.11,70.41,70.4,70,11,7041,7040,11 7040 7041 95 -266452480 1870659583 -2147457424 2147483640
54,Catus,32823,271,1,29252,29288,70.65,2.56,0.01,50,7065,256,1,7065 1 256 97 507641856 2147483632 6713455 -1920
55,Aleria,32824,271,1,29404,29452,2.21,70.49,70.54,70,221,7049,7054,221 7054 7049 121 -1040896 1886355455 -125829018 -125829121
56,Bretta,32825,271,1,29592,29672,0.0,73.02,73.03,70,0,7302,7303,0 7303 7302 247 -1040896 1886355455 -125829018 -125829121
57,Raging Tiger,32826,271,3,29936,29992,-25.58,-288.48,337.62,105,-2558,-28848,33762,-2558 33762 -28848 928 67 -1040896 1886355455 -125829018
58,Sleeping Lizard,32827,271,3,30080,30132,-25.58,-283.0,202.69,105,-2558,-28300,20269,-2558 20269 -28300 3017 66 -1040896 1886355455 -125829018
59,Humilitie,32828,271,1,30220,30276,70.29,70.31,70.34,70,7029,7031,7034,7029 7034 7031 126 -1040896 67338239 353370640 -2147479548
61,Yulon-Polon,32834,271,1,83428,83492,70.91,-0.02,70.92,35,7091,-2,7092,7091 7092 -2 3 4 5 6 200
70,Sneaking Tiger,32844,271,33,85952,86080,668.72,-145.58,-5.92,105,66872,-14558,-592,66872 -592 -14558 52 7288 7290 7291 7292
71,Leodarion,32845,271,27,86512,86600,196.81,-25.58,-365.26,120,19681,-2558,-36526,19681 -36526 -2558 1239 13 18971 -40024 -9492
72,Ensetsu,32846,271,22,86568,86600,196.81,-25.58,-365.26,120,19681,-2558,-36526,19681 -36526 -2558 1239 13 18971 -40024 -9492
