npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,Hyria,36866,271,4,3748,3780,71.21,71.22,0.01,70,7121,7122,1,7121 1 7122 63 -1040896 1886355455 -125829018 -125829121
2,Somo Aatsula,36867,271,1,3860,3948,68.57,71.2,71.19,70,6857,7120,7119,6857 7119 7120 438 -1040896 1886355455 -125829018 -125829121
3,Mauh Halaapah,36868,271,1,4404,4476,0.01,68.62,68.61,70,1,6862,6861,1 6861 6862 387 -1040896 1886355455 -125829018 -125829121
4,Maximin,36869,271,1,4880,4912,70.79,0.05,70.8,70,7079,5,7080,7079 7080 5 94 -1040896 1886355455 -125829018 -125829121
5,Zhon Kihshimo,36870,271,1,5024,5044,0.5,71.26,71.25,70,50,7126,7125,50 7125 7126 33 -1040896 1886355455 -125829018 -125829121
6,Runito-Monito,36871,271,1,5096,5276,69.61,0.04,69.62,85,6961,4,6962,6961 6962 4 542 -1040896 1886355455 -125829029 -125829121
7,Take,36872,271,1,5120,5276,69.61,0.04,69.62,85,6961,4,6962,6961 6962 4 542 -1040896 1886355455 -125829029 -125829121
8,Rycharde,36873,271,1,5836,5968,0.0,68.81,71.11,30,0,6881,7111,0 7111 6881 60 6882 7116 6884 71
9,Graine,36874,271,1,8640,8796,-386.67,-160.0,689.3,105,-38667,-16000,68930,-38667 68930 -16000 2517 19 159 149 127
10,Yabby Tanmikey,36875,271,1,8664,8796,-386.67,-160.0,689.3,105,-38667,-16000,68930,-38667 68930 -16000 2517 19 159 149 127
11,Celestina,36876,271,3,8688,8796,-386.67,-160.0,689.3,105,-38667,-16000,68930,-38667 68930 -16000 2517 19 159 149 127
12,Blandine,36877,271,14,10208,10268,-319.96,-160.0,678.42,90,-31996,-16000,67842,-31996 67842 -16000 70 7001 -37840 69555 7003
13,Mololo,36878,271,1,10716,10828,-775.75,-240.0,310.48,105,-77575,-24000,31048,-77575 31048 -24000 30 -76006 30549 -23999 120
14,Kamilah,36879,271,1,10740,10828,-775.75,-240.0,310.48,105,-77575,-24000,31048,-77575 31048 -24000 30 -76006 30549 -23999 120
15,Ekokoko,36880,271,88,10992,11140,-779.75,-243.1,350.64,120,-77975,-24310,35064,-77975 35064 -24310 2091 6 -77629 33327 -24012
16,Numi Adaligo,36881,271,28,11008,11140,-779.75,-243.1,350.64,120,-77975,-24310,35064,-77975 35064 -24310 2091 6 -77629 33327 -24012
17,Pikini-Mikini,36882,271,1,12788,12916,69.71,69.74,69.73,45,6971,6974,6973,6971 6973 6974 289 -1040896 1886355455 -125829029 -125829121
18,Orlando,36883,271,1,12812,12916,69.71,69.74,69.73,45,6971,6974,6973,6971 6973 6974 289 -1040896 1886355455 -125829029 -125829121
23,Grimr,36888,271,3,14140,14232,69.77,15.0,69.78,70,6977,1500,6978,6977 6978 1500 332 -1040896 1886355455 -125829029 -125829121
24,Zexu,36889,271,1,14180,14232,69.77,15.0,69.78,70,6977,1500,6978,6977 6978 1500 332 -1040896 1886355455 -125829029 -125829121
25,Bihoro-Guhoro,36890,271,1,25028,25068,0.01,71.79,71.78,70,1,7179,7178,1 7178 7179 109 -1040896 1886355455 19 640
26,Kupupu,36891,271,1,25196,25240,0.02,71.83,71.82,70,2,7183,7182,2 7182 7183 90 -1040896 1886355455 -125829018 -125829121
27,Amalanbraux,36892,271,1,25348,25444,71.74,71.75,0.01,70,7174,7175,1,7174 1 7175 75 -1040896 1886355455 -125829029 -125829121
28,Galdo,36893,271,1,25412,25444,71.74,71.75,0.01,70,7174,7175,1,7174 1 7175 75 -1040896 1886355455 -125829029 -125829121
29,Lakom-Lukom,36894,271,1,25536,25568,0.0,71.6,71.59,30,0,7160,7159,0 7159 7160 80 7161 1 7162 7163
30,Jikka-Abukka,36895,271,20,26172,26348,65.05,65.04,65.03,-10,6505,6504,6503,6505 6503 6504 3 1073741824 1 2 8
31,Itzha Delavhitta,36896,271,27,26240,26428,65.01,65.13,65.06,35,6501,6513,6506,6501 6506 6513 27 28 -2 6509 6514
32,Blandine,36897,271,5,13224,13336,70.22,70.23,0.12,70,7022,7023,12,7022 12 7023 442 -1040896 1886355455 -125829029 -125829121
33,Celestina,36898,271,8,13796,13884,172.62,-80.08,455.58,90,17262,-8008,45558,17262 45558 -8008 237 2228224 -1876819921 3277071 -2147410560
