npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,DIRECTOR,40961,271,1,27132,27280,107.12,1.35,107.13,45,10712,135,10713,10712 10713 135 510 231 10716 10717 10718
2,Khau Mahiyoeloh,40962,271,5,34268,34316,99.83,103.42,99.84,70,9983,10342,9984,9983 9984 10342 112 -2147457536 2147483640 2147483640 812346484
3,Tsui Golalapahn,40963,271,5,34444,34496,99.86,103.44,103.43,70,9986,10344,10343,9986 10343 10344 116 -2147457536 2147483640 2147483640 812346484
4,Haih Ahmpagako,40964,271,5,34628,34672,99.88,103.46,103.45,70,9988,10346,10345,9988 10345 10346 92 -2147457536 2147483640 2147483640 812346484
5,Mijeh Sholpoilo,40965,271,5,34780,34820,99.89,103.47,99.9,70,9989,10347,9990,9989 9990 10347 88 -2147457536 2147483640 2147483640 812346484
6,Pofhu Tendelicon,40966,271,5,34924,34968,99.92,103.49,103.48,70,9992,10349,10348,9992 10348 10349 92 -2147457536 2147483640 2147483640 812346484
7,Kocho Phunakcham,40967,271,5,35076,35120,99.94,103.51,103.5,70,9994,10351,10350,9994 10350 10351 92 -2147457536 2147483640 2147483640 812346484
10,Balih Chavizaai,40970,271,4,47124,47184,897.42,-145.0,-1121.04,80,89742,-14500,-112104,89742 -112104 -14500 118 68 -2147457536 2147483640 2147483640
11,Cobbi Malgharam,40971,271,4,47272,47332,907.55,-145.0,-1140.22,80,90755,-14500,-114022,90755 -114022 -14500 113 68 -2147457536 2147483640 2147483640
13,Mitti Haplihza,40973,271,5,49280,49324,100.42,103.74,103.73,70,10042,10374,10373,10042 10373 10374 92 -2147457536 2147483640 2147483640 812346484
14,Tsahbi Ifalombo,40974,271,5,49432,49472,100.31,103.68,100.32,70,10031,10368,10032,10031 10032 10368 88 -2147457536 2147483640 2147483640 812346484
15,Bhi Telifahgo,40975,271,5,49576,49616,100.37,103.72,100.38,70,10037,10372,10038,10037 10038 10372 101 -2147460352 2147483640 2147483640 812346484
16,Pula Rhatti,40976,271,7,49736,49788,103.71,101.81,101.8,70,10371,10181,10180,10371 10180 10181 134 -2147460352 2147483640 2147483640 812346484
17,Coyah Neblahe,40977,271,19,50388,50536,100.28,103.65,103.64,70,10028,10365,10364,10028 10364 10365 92 -2147457536 2147483640 2147483640 812346484
18,Nti Badolsoma,40978,271,5,50492,50536,100.28,103.65,103.64,70,10028,10365,10364,10028 10364 10365 92 -2147457536 2147483640 2147483640 812346484
19,Hozie Naharaf,40979,271,5,50644,50688,100.3,103.67,103.66,70,10030,10367,10366,10030 10366 10367 92 -2147457536 2147483640 2147483640 812346484
20,Ghosa Demuhzo,40980,271,5,50796,50836,100.25,103.63,100.26,70,10025,10363,10026,10025 10026 10363 88 -2147457536 2147483640 2147483640 812346484
21,Thali Mhobrum,40981,271,5,51471,51563,256.0,261.12,5.12,80,25600,26112,512,25600 512 26112 768 26368 1024 26624 1280
22,Tcinono,40982,271,1,51524,51548,67.82,0.0,67.83,15,6782,0,6783,6782 6783 0 1 100 2 102 3
