npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
3,Yve'noile,45059,271,115,6656,6792,-7.87,-123.0,418.85,105,-787,-12300,41885,-787 41885 -12300 3083 2 10 -715 45802
4,Zeid,45060,271,36,6696,6792,-7.87,-123.0,418.85,105,-787,-12300,41885,-787 41885 -12300 3083 2 10 -715 45802
5,Aldo,45061,271,31,7084,7220,1489.63,37.54,-206.93,90,148963,3754,-20693,148963 -20693 3754 1385 144810 2644 185 173
6,Cermet Grate,45062,271,19,7428,7608,73.83,0.26,0.28,30,7383,26,28,7383 28 26 22 14 7391 0 7392
7,Shimmering Circl,45063,271,15,7492,7676,73.84,0.6,2.0,70,7384,60,200,7384 200 60 485 1107369984 -266469342 1249902591 2147483632
8,Shimmering Circl,45064,271,1,7524,7676,73.84,0.6,2.0,70,7384,60,200,7384 200 60 485 1107369984 -266469342 1249902591 2147483632
18,Ramblix,45075,271,2,7552,7676,73.84,0.6,2.0,70,7384,60,200,7384 200 60 485 1107369984 -266469342 1249902591 2147483632
21,Mathilde,45078,271,56,14888,15028,0.22,-123.0,-441.79,120,22,-12300,-44179,22 -44179 -12300 3072 -3974 -193 -12999 1836
22,Aldo,45079,271,105,13180,13360,-20.41,-129.99,-47.13,120,-2041,-12999,-4713,-2041 -4713 -12999 904 -32191 -12300 1326 -24198
23,Young Aldo,45080,271,96,14908,15028,0.22,-123.0,-441.79,120,22,-12300,-44179,22 -44179 -12300 3072 -3974 -193 -12999 1836
24,???,45081,271,51,14864,15028,0.22,-123.0,-441.79,120,22,-12300,-44179,22 -44179 -12300 3072 -3974 -193 -12999 1836
29,???,45086,271,20,29008,29052,0.04,1.28,23.99,15,4,128,2399,4 2399 128 120 0 34 268573696 0
38,Esha'ntarl,45096,271,153,39016,39100,-20.4,0.3,-129.99,120,-2040,30,-12999,-2040 -12999 30 3338 7032 944 45796 -12300
39,???,45097,271,44,1960,2116,1.5,-123.0,480.07,100,150,-12300,48007,150 48007 -12300 1024 51937 3072 185 244
