offset,token
889,sha0S
902,sha0
926,sha1S
939,sha1
963,tlk0
987,tlk1
1173,main
1193,fdo1
1219,blon
1236,blon
1253,ovl1
1270,warp
1287,main
1307,fdo1
591760,main
591780,fdo1
591797,fdo1F
592048,back
592068,fdi1
592088,main
592195,main
592215,fdo1
592232,fdo1F
592483,back
592503,fdi1
592523,main
593916,main
593936,fdo1
593953,fdo1F
594204,back
594224,fdi1
594244,main
594351,main
594371,fdo1
594388,fdo1F
594639,back
594659,fdi1
594679,main
596072,main
596092,fdo1
596109,fdo1F
596360,back
596380,fdi1
596400,main
596507,main
596527,fdo1
596544,fdo1F
596795,back
596815,fdi1
596835,main
598228,main
598248,fdo1
598265,fdo1F
598516,back
598536,fdi1
598556,main
598663,main
598683,fdo1
598700,fdo1F
598951,back
598971,fdi1
598991,main
600384,main
600404,fdo1
600421,fdo1F
600672,back
600692,fdi1
600712,main
600819,main
600839,fdo1
600856,fdo1F
601107,back
601127,fdi1
601147,main
602540,main
602560,fdo1
602577,fdo1F
602828,back
602848,fdi1
602868,main
602975,main
602995,fdo1
603012,fdo1F
603263,back
603283,fdi1
603303,main
604696,main
604716,fdo1
604733,fdo1F
604984,back
605004,fdi1
605024,main
605131,main
605151,fdo1
605168,fdo1F
605419,back
605439,fdi1
605459,main
606852,main
606872,fdo1
606889,fdo1F
607140,back
607160,fdi1
607180,main
607287,main
607307,fdo1
607324,fdo1F
607575,back
607595,fdi1
607615,main
628739,fdo1
628769,ab07
628786,fdi1
628806,blon
628823,blon
628840,ovl1
628857,warp
628881,blof
629089,tlk0
629108,tlk1'
629174,tlk0
629299,tlk0
629322,tlk1
629343,opnH
629376,qstc
629771,tlk0
629957,tlk0
629991,opnM
630255,tlk0
630286,tlk1
630354,tlk0
630381,tlk1
630418,tlk0
630445,tlk1
630526,tlk0
630545,tlk1
630579,pas0
630598,qstc
630643,tlk0
630726,tlk0
630753,tlk1
631275,tlk0
631290,opnR
631315,opnR
631523,tlk0
631548,tlk1
631581,job0
631609,gak0
631682,tlk0
631703,tlk1
631734,tlk0
631783,tlk0
631870,job0
631891,job1E
631906,qstc
632330,tlk0
632429,tlk0
632484,tlk0
632507,tlk1
632565,pas0
632584,qstc
632715,tlk0
632771,tlk0
632790,tlk1
632892,tlk0
632915,tlk0
632938,pas0E
632953,qstc
633039,opnW
633111,opnX
633183,opnY
633255,opnZ
633738,tlk0
633765,tlk1
633870,tlk0
633901,tlk1
633934,tlk0
634011,qstc
634121,tlk0
634474,opna
634692,opna
634821,qstc
634865,opna
635141,tlk0
635261,tlk0
635317,pas0E
635332,qstc
635359,opnb
635626,opnc
635651,opnc
635676,opnc
635979,opnd
636130,tlk0
636173,tlk0
636221,opne
636250,opne
636331,tlk0
636491,tlk0
636518,tlk1
636547,tlk0
636574,tlk1
636603,tlk0
636630,tlk1
637015,tlk0
637038,tlk1
637151,thk1
637174,thk2
637220,thk1
637875,qstc
637943,tlk0
638022,opnl
638118,pas0
638251,lau0
638274,lau1
638300,lau0
638323,lau1
638349,ara0
638372,ara1
638398,ara0
638421,ara1
638439,ara0
638462,ara1
638942,opnq
639015,tlk0
639091,tlk0
639154,opnt
639214,opnu
639453,pas0
639472,twa0
639507,twa1
639526,pas0
639549,twa0
639572,twa1
639591,pas0
639610,twa0
639683,pas0
639743,thk1
639762,thk2
639781,qstc
639864,pas0
639887,twa0
639910,twa1
639929,pas0
640150,tlk0
640197,tlk1
640225,tlk0
640260,tlk1
640323,qstc
640381,tlk0
640416,tlk1
