npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
443,???,53693,271,1,646332,646364,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
444,???,53694,271,1,646568,646600,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
445,???,53695,271,1,646804,646836,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
446,???,53696,271,1,647040,647072,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
447,???,53697,271,1,647276,647308,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
448,???,53698,271,1,647512,647544,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
449,???,53699,271,1,647748,647780,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
450,???,53700,271,1,647984,648016,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
451,???,53701,271,1,648220,648252,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
452,???,53702,271,1,648456,648488,0.01,1.92,74.96,65,1,192,7496,1 7496 192 768 21528576 33694592 25165840 38273049
453,???,53703,271,1,648692,648732,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
454,???,53704,271,1,649164,649204,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
455,???,53705,271,1,649636,649676,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
456,???,53706,271,1,650108,650148,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
457,???,53707,271,1,650580,650620,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
458,???,53708,271,1,651052,651092,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
459,???,53709,271,1,651524,651564,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
460,???,53710,271,1,651996,652036,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
461,???,53711,271,1,652468,652508,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
462,???,53712,271,1,652940,652980,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
463,???,53713,271,1,653412,653452,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
464,???,53714,271,1,653884,653924,74.96,4.18,74.99,65,7496,418,7499,7496 7499 418 768 21528576 33694592 25165840 38273049
467,Conflux Surveyor,53722,271,1,2652,2792,72.73,0.04,72.74,30,7273,4,7274,7273 7274 4 6 7 7275 7279 15
468,Cruor Prospector,53723,271,1,6484,6584,120.58,185.73,161.91,45,12058,18573,16191,12058 16191 18573 2490 500 10117 6410 2000000
469,Atma Infusionist,53724,271,1,15688,15820,73.46,0.09,73.47,30,7346,9,7347,7346 7347 9 10 7348 11 12 100
470,Atma Fabricant,53725,271,1,29120,29220,73.89,0.04,73.9,15,7389,4,7390,7389 7390 4 5 6 7 8 9
471,Time Master Debu,53726,271,1,1324,1472,0.13,76.5,72.0,65,13,7650,7200,13 7200 7650 1162 50405376 268566528 50331907 131856
472,AP Master Debug,53727,271,1,31448,31516,100.0,0.04,76.73,45,10000,4,7673,10000 7673 4 2000 7674 7675 6 7676
473,Sturdy Pyxis,53732,271,1,32464,32564,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
474,Sturdy Pyxis,53733,271,1,39440,39540,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
475,Sturdy Pyxis,53734,271,1,46416,46516,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
476,Sturdy Pyxis,53735,271,1,53392,53492,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
477,Sturdy Pyxis,53736,271,1,60368,60468,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
478,Sturdy Pyxis,53737,271,1,67344,67444,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
479,Sturdy Pyxis,53738,271,1,74320,74420,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
480,Sturdy Pyxis,53739,271,1,81296,81396,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
481,Sturdy Pyxis,53740,271,1,88272,88372,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
482,Sturdy Pyxis,53741,271,1,95248,95348,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
483,Sturdy Pyxis,53742,271,1,102224,102324,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
484,Sturdy Pyxis,53743,271,1,109200,109300,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
485,Sturdy Pyxis,53744,271,1,116176,116276,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
486,Sturdy Pyxis,53745,271,1,123152,123252,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
487,Sturdy Pyxis,53746,271,1,130128,130228,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
488,Sturdy Pyxis,53747,271,1,137104,137204,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
489,Sturdy Pyxis,53748,271,1,144080,144180,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
490,Sturdy Pyxis,53749,271,1,151056,151156,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
491,Sturdy Pyxis,53750,271,1,158032,158132,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
492,Sturdy Pyxis,53751,271,1,165008,165108,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
493,Sturdy Pyxis,53752,271,1,171984,172084,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
494,Sturdy Pyxis,53753,271,1,178960,179060,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
495,Sturdy Pyxis,53754,271,1,185936,186036,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
496,Sturdy Pyxis,53755,271,1,192912,193012,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
497,Sturdy Pyxis,53756,271,1,199888,199988,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
498,Sturdy Pyxis,53757,271,1,206864,206964,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
499,Sturdy Pyxis,53758,271,1,213840,213940,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
500,Sturdy Pyxis,53759,271,1,220816,220916,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
501,Sturdy Pyxis,53760,271,1,227792,227892,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
502,Sturdy Pyxis,53761,271,1,234768,234868,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
503,Sturdy Pyxis,53762,271,1,241744,241844,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
504,Sturdy Pyxis,53763,271,1,248720,248820,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
505,Sturdy Pyxis,53764,271,1,255696,255796,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
506,Sturdy Pyxis,53765,271,1,262672,262772,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
507,Sturdy Pyxis,53766,271,1,269648,269748,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
508,Sturdy Pyxis,53767,271,1,276624,276724,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
509,Sturdy Pyxis,53768,271,1,283600,283700,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
510,Sturdy Pyxis,53769,271,1,290576,290676,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
511,Sturdy Pyxis,53770,271,1,297552,297652,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
512,Sturdy Pyxis,53771,271,1,304528,304628,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
513,Sturdy Pyxis,53772,271,1,311504,311604,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
514,Sturdy Pyxis,53773,271,1,318480,318580,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
515,Sturdy Pyxis,53774,271,1,325456,325556,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
516,Sturdy Pyxis,53775,271,1,332432,332532,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
517,Sturdy Pyxis,53776,271,1,339408,339508,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
518,Sturdy Pyxis,53777,271,1,346384,346484,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
519,Sturdy Pyxis,53778,271,1,353360,353460,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
520,Sturdy Pyxis,53779,271,1,360336,360436,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
521,Sturdy Pyxis,53780,271,1,367312,367412,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
522,Sturdy Pyxis,53781,271,1,374288,374388,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
523,Sturdy Pyxis,53782,271,1,381264,381364,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
524,Sturdy Pyxis,53783,271,1,388240,388340,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
525,Sturdy Pyxis,53784,271,1,395216,395316,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
526,Sturdy Pyxis,53785,271,1,402192,402292,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
527,Sturdy Pyxis,53786,271,1,409168,409268,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
528,Sturdy Pyxis,53787,271,1,416144,416244,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
529,Sturdy Pyxis,53788,271,1,423120,423220,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
530,Sturdy Pyxis,53789,271,1,430096,430196,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
531,Sturdy Pyxis,53790,271,1,437072,437172,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
532,Sturdy Pyxis,53791,271,1,444048,444148,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
533,Sturdy Pyxis,53792,271,1,451024,451124,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
534,Sturdy Pyxis,53793,271,1,458000,458100,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
535,Sturdy Pyxis,53794,271,1,464976,465076,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
536,Sturdy Pyxis,53795,271,1,471952,472052,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
537,Sturdy Pyxis,53796,271,1,478928,479028,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
538,Sturdy Pyxis,53797,271,1,485904,486004,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
539,Sturdy Pyxis,53798,271,1,492880,492980,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
540,Sturdy Pyxis,53799,271,1,499856,499956,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
541,Sturdy Pyxis,53800,271,1,506832,506932,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
542,Sturdy Pyxis,53801,271,1,513808,513908,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
543,Sturdy Pyxis,53802,271,1,520784,520884,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
544,Sturdy Pyxis,53803,271,1,527760,527860,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
545,Sturdy Pyxis,53804,271,1,534736,534836,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
546,Sturdy Pyxis,53805,271,1,541712,541812,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
547,Sturdy Pyxis,53806,271,1,548688,548788,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
548,Sturdy Pyxis,53807,271,1,555664,555764,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
549,Sturdy Pyxis,53808,271,1,562640,562740,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
550,Sturdy Pyxis,53809,271,1,569616,569716,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
551,Sturdy Pyxis,53810,271,1,576592,576692,74.56,0.04,74.57,30,7456,4,7457,7456 7457 4 5 6 7460 7461 7462
