offset,token
793,sha0S
806,sha0
830,sha1S
843,sha1
1023,main
1043,fdo1
1069,blon
1086,blon
1103,ovl1
1120,warp
1137,main
1157,fdo1
1307,fdo1
1348,s129
1365,fdi1
1385,blon
1402,blon
1419,ovl1
1436,warp
1460,blof
591936,main
591956,fdo1
591973,fdo1F
592224,back
592244,fdi1
592264,main
592371,main
592391,fdo1
592408,fdo1F
592659,back
592679,fdi1
592699,main
594088,main
594108,fdo1
594125,fdo1F
594376,back
594396,fdi1
594416,main
594523,main
594543,fdo1
594560,fdo1F
594811,back
594831,fdi1
594851,main
596240,main
596260,fdo1
596277,fdo1F
596528,back
596548,fdi1
596568,main
596675,main
596695,fdo1
596712,fdo1F
596963,back
596983,fdi1
597003,main
598392,main
598412,fdo1
598429,fdo1F
598680,back
598700,fdi1
598720,main
598827,main
598847,fdo1
598864,fdo1F
599115,back
599135,fdi1
599155,main
600544,main
600564,fdo1
600581,fdo1F
600832,back
600852,fdi1
600872,main
600979,main
600999,fdo1
601016,fdo1F
601267,back
601287,fdi1
601307,main
602696,main
602716,fdo1
602733,fdo1F
602984,back
603004,fdi1
603024,main
603131,main
603151,fdo1
603168,fdo1F
603419,back
603439,fdi1
603459,main
604848,main
604868,fdo1
604885,fdo1F
605136,back
605156,fdi1
605176,main
605283,main
605303,fdo1
605320,fdo1F
605571,back
605591,fdi1
605611,main
607000,main
607020,fdo1
607037,fdo1F
607288,back
607308,fdi1
607328,main
607435,main
607455,fdo1
607472,fdo1F
607723,back
607743,fdi1
607763,main
629106,kai0
629146,tla0
629193,tla0
629232,tla0
629272,tla1Jt
629299,tlk0+t
629322,tlk1Jt
629349,tlk0+t
629372,tlk1Jt
629399,tlk0+t
629422,tlk1
629445,tla0
629464,tla1f
629479,tlk0+t
629517,tla0
629548,pas0+t
629571,qstc
629598,kai0
629641,kai0
629899,tlk0
629929,tlk0
629963,tlk0
630049,tla0+s
630072,tla1
630099,tla0+s
630122,tla1f
630137,tlk0
630171,tla0+s
630194,tla1
630213,tla0+s
630259,kai0+s
630294,tlk0
630331,tlk0
630361,tlk0
630400,tlk1f
630415,pas0
630434,qstc#
630461,tlk0
630732,tla0
630771,tla0
630808,tla0
630838,tla0
630892,tla0
630926,tla0
630945,tla1
630964,tla0
631011,ybi0H
631032,ybi0
631064,kaa0
631115,kaa1
631134,tla0
631153,qstc'
631180,tla0
631210,tla0
631237,tla1
631256,tla0
631522,tlk0
631580,tlk0
631604,tlk0
631689,tlk0
631713,tlk0
631747,tlk0
631789,tlk0
631816,tlk1f
631831,gkr0
631850,gkr1
631921,tlk1f
631936,pas0
631959,qstc
631986,tlk0
632298,tlk0
632356,tlk0
632390,tlk0
632471,tlk0
632506,thk1
632538,tlk0
632568,tlk0
632597,tlk0
632829,mog0
632853,mog1
632904,thk1
633004,qstc
633063,mog0
633087,mog1
633185,tlk2
633238,mog0
633262,mog1
633314,mog0
633338,mog1
633364,joy0
633423,tlk2f
633438,thk1
633466,ton0
633490,ton1H
633511,nak0H
633532,qstc
633934,obi0
633953,obi1
633988,ghn1
634007,tlk0
634057,tlk0
634095,tlk0
634152,tlk0
634178,obi0
634197,obi1
634224,tlk0
634243,tlk1
634262,zit0
634299,poi0
634325,gkr0
634356,gkr1
634383,pas0
634402,qstc
634421,thk1
634456,tlk0
634544,tlk0
634625,tlk0
634665,tlk1H6
634696,tlk0
634730,wai0
634762,ehn0
634801,tlk1H6
634832,tlk0
634866,pas0
634885,qstc
634916,tlk0
635346,tlk0
635420,tlk0
635455,tlk0
635525,tlk0
635564,tlk0
635596,tlk0
635649,tlk0
635693,tlk0
635729,tlk1f
635744,pas0
635770,tlk1f
635785,pas0
635804,qstc
635831,tlk0
635857,thk1
635876,thk2
636047,tlk0
636101,tlk0
636131,tlk0
636187,tlk0
636224,tlk0
636521,main
636860,tla0
636894,tla0
636932,pas0
636951,qstc
636978,tla0
637021,tla0
637095,utu0
637119,tla0
637167,tla0
637217,tla0
637252,utu0
637284,tla0
637319,tla0
637357,utu0
637391,pas0
637410,qstc
637437,tla0
637467,tla0
637494,tla1
637513,utu0
637536,utu1
637555,tla0
637574,tla1
637593,tla0
637635,tla0
637665,tla0
637699,tla0
637733,utu0
637755,kou0
637832,tlk0
637956,tlk0
637989,tlk1
638124,tlk0
638252,tlk0
638285,tlk0
638436,tlk0
638576,tkb0
638617,tkb0
638760,tlk0
638856,tlk0
638940,tlk0
639081,tlk0
639115,tlk0
639149,tlk0
639183,tlk0
639217,thk1
639236,thk2
639258,tlk0
639592,tlk0
639611,tlk1
639629,tlk0
639664,tlk0
639721,qstc
639796,tlk0
