index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Vale Crab,57345,271,00 00 00 00 00 00 00 00 00 00 00 00 01 e0 0f 01
2,64,Vale Crab,57346,271,00 00 00 00 00 00 00 00 00 00 00 00 02 e0 0f 01
3,96,Vale Crab,57347,271,00 00 00 00 00 00 00 00 00 00 00 00 03 e0 0f 01
4,128,Spring Pugil,57348,271,00 00 00 00 00 00 00 00 00 00 00 00 04 e0 0f 01
5,160,Spring Pugil,57349,271,00 00 00 00 00 00 00 00 00 00 00 00 05 e0 0f 01
6,192,Spring Pugil,57350,271,00 00 00 00 00 00 00 00 00 00 00 00 06 e0 0f 01
7,224,Frog Prince,57351,271,00 00 00 00 00 00 00 00 00 00 00 00 07 e0 0f 01
8,256,Frog Prince,57352,271,00 00 00 00 00 00 00 00 00 00 00 00 08 e0 0f 01
9,288,Frog Prince,57353,271,00 00 00 00 00 00 00 00 00 00 00 00 09 e0 0f 01
10,320,Frog Prince,57354,271,00 00 00 00 00 00 00 00 00 00 00 00 0a e0 0f 01
11,352,Stream Limule,57355,271,00 00 00 00 00 00 00 00 00 00 00 00 0b e0 0f 01
12,384,Stream Limule,57356,271,00 00 00 00 00 00 00 00 00 00 00 00 0c e0 0f 01
13,416,Stream Limule,57357,271,00 00 00 00 00 00 00 00 00 00 00 00 0d e0 0f 01
14,448,Stream Limule,57358,271,00 00 00 00 00 00 00 00 00 00 00 00 0e e0 0f 01
15,480,Stream Limule,57359,271,00 00 00 00 00 00 00 00 00 00 00 00 0f e0 0f 01
16,512,Stream Limule,57360,271,00 00 00 00 00 00 00 00 00 00 00 00 10 e0 0f 01
17,544,Stream Limule,57361,271,00 00 00 00 00 00 00 00 00 00 00 00 11 e0 0f 01
18,576,Stream Limule,57362,271,00 00 00 00 00 00 00 00 00 00 00 00 12 e0 0f 01
19,608,Stream Limule,57363,271,00 00 00 00 00 00 00 00 00 00 00 00 13 e0 0f 01
20,640,Stream Limule,57364,271,00 00 00 00 00 00 00 00 00 00 00 00 14 e0 0f 01
21,672,Stream Limule,57365,271,00 00 00 00 00 00 00 00 00 00 00 00 15 e0 0f 01
22,704,Stream Limule,57366,271,00 00 00 00 00 00 00 00 00 00 00 00 16 e0 0f 01
23,736,Stream Limule,57367,271,00 00 00 00 00 00 00 00 00 00 00 00 17 e0 0f 01
24,768,Stream Limule,57368,271,00 00 00 00 00 00 00 00 00 00 00 00 18 e0 0f 01
25,800,Stream Limule,57369,271,00 00 00 00 00 00 00 00 00 00 00 00 19 e0 0f 01
26,832,Stream Limule,57370,271,00 00 00 00 00 00 00 00 00 00 00 00 1a e0 0f 01
27,864,Stream Limule,57371,271,00 00 00 00 00 00 00 00 00 00 00 00 1b e0 0f 01
28,896,Stream Limule,57372,271,00 00 00 00 00 00 00 00 00 00 00 00 1c e0 0f 01
29,928,Stream Limule,57373,271,00 00 00 00 00 00 00 00 00 00 00 00 1d e0 0f 01
30,960,Stream Limule,57374,271,00 00 00 00 00 00 00 00 00 00 00 00 1e e0 0f 01
31,992,Stream Limule,57375,271,00 00 00 00 00 00 00 00 00 00 00 00 1f e0 0f 01
32,1024,Stream Limule,57376,271,00 00 00 00 00 00 00 00 00 00 00 00 20 e0 0f 01
33,1056,Stream Limule,57377,271,00 00 00 00 00 00 00 00 00 00 00 00 21 e0 0f 01
34,1088,Stream Limule,57378,271,00 00 00 00 00 00 00 00 00 00 00 00 22 e0 0f 01
35,1120,Pond Amoeban,57379,271,00 00 00 00 00 00 00 00 00 00 00 00 23 e0 0f 01
36,1152,Pond Amoeban,57380,271,00 00 00 00 00 00 00 00 00 00 00 00 24 e0 0f 01
37,1184,Pond Amoeban,57381,271,00 00 00 00 00 00 00 00 00 00 00 00 25 e0 0f 01
38,1216,Pond Amoeban,57382,271,00 00 00 00 00 00 00 00 00 00 00 00 26 e0 0f 01
39,1248,Pond Amoeban,57383,271,00 00 00 00 00 00 00 00 00 00 00 00 27 e0 0f 01
40,1280,Pond Amoeban,57384,271,00 00 00 00 00 00 00 00 00 00 00 00 28 e0 0f 01
41,1312,Pond Amoeban,57385,271,00 00 00 00 00 00 00 00 00 00 00 00 29 e0 0f 01
42,1344,Pond Amoeban,57386,271,00 00 00 00 00 00 00 00 00 00 00 00 2a e0 0f 01
43,1376,Pond Amoeban,57387,271,00 00 00 00 00 00 00 00 00 00 00 00 2b e0 0f 01
44,1408,Pond Amoeban,57388,271,00 00 00 00 00 00 00 00 00 00 00 00 2c e0 0f 01
45,1440,Pond Amoeban,57389,271,00 00 00 00 00 00 00 00 00 00 00 00 2d e0 0f 01
46,1472,Pond Amoeban,57390,271,00 00 00 00 00 00 00 00 00 00 00 00 2e e0 0f 01
47,1504,Pond Amoeban,57391,271,00 00 00 00 00 00 00 00 00 00 00 00 2f e0 0f 01
48,1536,Pond Amoeban,57392,271,00 00 00 00 00 00 00 00 00 00 00 00 30 e0 0f 01
49,1568,Pond Amoeban,57393,271,00 00 00 00 00 00 00 00 00 00 00 00 31 e0 0f 01
50,1600,Pond Amoeban,57394,271,00 00 00 00 00 00 00 00 00 00 00 00 32 e0 0f 01
51,1632,Pond Amoeban,57395,271,00 00 00 00 00 00 00 00 00 00 00 00 33 e0 0f 01
52,1664,Pond Amoeban,57396,271,00 00 00 00 00 00 00 00 00 00 00 00 34 e0 0f 01
53,1696,Pond Amoeban,57397,271,00 00 00 00 00 00 00 00 00 00 00 00 35 e0 0f 01
54,1728,Pond Amoeban,57398,271,00 00 00 00 00 00 00 00 00 00 00 00 36 e0 0f 01
55,1760,Pond Amoeban,57399,271,00 00 00 00 00 00 00 00 00 00 00 00 37 e0 0f 01
56,1792,Hillock Murex,57400,271,00 00 00 00 00 00 00 00 00 00 00 00 38 e0 0f 01
57,1824,Hillock Murex,57401,271,00 00 00 00 00 00 00 00 00 00 00 00 39 e0 0f 01
58,1856,Hillock Murex,57402,271,00 00 00 00 00 00 00 00 00 00 00 00 3a e0 0f 01
59,1888,Hillock Murex,57403,271,00 00 00 00 00 00 00 00 00 00 00 00 3b e0 0f 01
60,1920,Hillock Murex,57404,271,00 00 00 00 00 00 00 00 00 00 00 00 3c e0 0f 01
61,1952,Hillock Murex,57405,271,00 00 00 00 00 00 00 00 00 00 00 00 3d e0 0f 01
62,1984,Hillock Murex,57406,271,00 00 00 00 00 00 00 00 00 00 00 00 3e e0 0f 01
63,2016,Hillock Murex,57407,271,00 00 00 00 00 00 00 00 00 00 00 00 3f e0 0f 01
64,2048,Hillock Murex,57408,271,00 00 00 00 00 00 00 00 00 00 00 00 40 e0 0f 01
65,2080,Hillock Murex,57409,271,00 00 00 00 00 00 00 00 00 00 00 00 41 e0 0f 01
66,2112,Hillock Murex,57410,271,00 00 00 00 00 00 00 00 00 00 00 00 42 e0 0f 01
67,2144,Hillock Murex,57411,271,00 00 00 00 00 00 00 00 00 00 00 00 43 e0 0f 01
68,2176,Hillock Murex,57412,271,00 00 00 00 00 00 00 00 00 00 00 00 44 e0 0f 01
69,2208,Hillock Murex,57413,271,00 00 00 00 00 00 00 00 00 00 00 00 45 e0 0f 01
70,2240,Hillock Murex,57414,271,00 00 00 00 00 00 00 00 00 00 00 00 46 e0 0f 01
71,2272,Hillock Murex,57415,271,00 00 00 00 00 00 00 00 00 00 00 00 47 e0 0f 01
72,2304,Hillock Murex,57416,271,00 00 00 00 00 00 00 00 00 00 00 00 48 e0 0f 01
73,2336,Hillock Murex,57417,271,00 00 00 00 00 00 00 00 00 00 00 00 49 e0 0f 01
74,2368,Hillock Murex,57418,271,00 00 00 00 00 00 00 00 00 00 00 00 4a e0 0f 01
75,2400,Hillock Murex,57419,271,00 00 00 00 00 00 00 00 00 00 00 00 4b e0 0f 01
76,2432,Hillock Murex,57420,271,00 00 00 00 00 00 00 00 00 00 00 00 4c e0 0f 01
77,2464,Hillock Murex,57421,271,00 00 00 00 00 00 00 00 00 00 00 00 4d e0 0f 01
78,2496,Hillock Murex,57422,271,00 00 00 00 00 00 00 00 00 00 00 00 4e e0 0f 01
79,2528,Hillock Murex,57423,271,00 00 00 00 00 00 00 00 00 00 00 00 4f e0 0f 01
80,2560,Hillock Murex,57424,271,00 00 00 00 00 00 00 00 00 00 00 00 50 e0 0f 01
81,2592,Glen Crab,57425,271,00 00 00 00 00 00 00 00 00 00 00 00 51 e0 0f 01
82,2624,Glen Crab,57426,271,00 00 00 00 00 00 00 00 00 00 00 00 52 e0 0f 01
83,2656,Glen Crab,57427,271,00 00 00 00 00 00 00 00 00 00 00 00 53 e0 0f 01
84,2688,Glen Crab,57428,271,00 00 00 00 00 00 00 00 00 00 00 00 54 e0 0f 01
85,2720,Glen Crab,57429,271,00 00 00 00 00 00 00 00 00 00 00 00 55 e0 0f 01
86,2752,Glen Crab,57430,271,00 00 00 00 00 00 00 00 00 00 00 00 56 e0 0f 01
87,2784,Glen Crab,57431,271,00 00 00 00 00 00 00 00 00 00 00 00 57 e0 0f 01
88,2816,Glen Crab,57432,271,00 00 00 00 00 00 00 00 00 00 00 00 58 e0 0f 01
89,2848,Glen Crab,57433,271,00 00 00 00 00 00 00 00 00 00 00 00 59 e0 0f 01
90,2880,Glen Crab,57434,271,00 00 00 00 00 00 00 00 00 00 00 00 5a e0 0f 01
91,2912,Glen Crab,57435,271,00 00 00 00 00 00 00 00 00 00 00 00 5b e0 0f 01
92,2944,Glen Crab,57436,271,00 00 00 00 00 00 00 00 00 00 00 00 5c e0 0f 01
93,2976,Glen Crab,57437,271,00 00 00 00 00 00 00 00 00 00 00 00 5d e0 0f 01
94,3008,Glen Crab,57438,271,00 00 00 00 00 00 00 00 00 00 00 00 5e e0 0f 01
95,3040,Glen Crab,57439,271,00 00 00 00 00 00 00 00 00 00 00 00 5f e0 0f 01
96,3072,Glen Crab,57440,271,00 00 00 00 00 00 00 00 00 00 00 00 60 e0 0f 01
97,3104,Glen Crab,57441,271,00 00 00 00 00 00 00 00 00 00 00 00 61 e0 0f 01
98,3136,Glen Crab,57442,271,00 00 00 00 00 00 00 00 00 00 00 00 62 e0 0f 01
99,3168,Glen Crab,57443,271,00 00 00 00 00 00 00 00 00 00 00 00 63 e0 0f 01
100,3200,Glen Crab,57444,271,00 00 00 00 00 00 00 00 00 00 00 00 64 e0 0f 01
101,3232,Glen Crab,57445,271,00 00 00 00 00 00 00 00 00 00 00 00 65 e0 0f 01
102,3264,Glen Crab,57446,271,00 00 00 00 00 00 00 00 00 00 00 00 66 e0 0f 01
103,3296,Glen Crab,57447,271,00 00 00 00 00 00 00 00 00 00 00 00 67 e0 0f 01
104,3328,Glen Crab,57448,271,00 00 00 00 00 00 00 00 00 00 00 00 68 e0 0f 01
105,3360,Glen Crab,57449,271,00 00 00 00 00 00 00 00 00 00 00 00 69 e0 0f 01
106,3392,Glen Crab,57450,271,00 00 00 00 00 00 00 00 00 00 00 00 6a e0 0f 01
107,3424,Gefyrst,57451,271,00 00 00 00 00 00 00 00 00 00 00 00 6b e0 0f 01
108,3456,Peak Pugil,57452,271,00 00 00 00 00 00 00 00 00 00 00 00 6c e0 0f 01
109,3488,Peak Pugil,57453,271,00 00 00 00 00 00 00 00 00 00 00 00 6d e0 0f 01
110,3520,Peak Pugil,57454,271,00 00 00 00 00 00 00 00 00 00 00 00 6e e0 0f 01
111,3552,Peak Pugil,57455,271,00 00 00 00 00 00 00 00 00 00 00 00 6f e0 0f 01
112,3584,Peak Pugil,57456,271,00 00 00 00 00 00 00 00 00 00 00 00 70 e0 0f 01
113,3616,Peak Pugil,57457,271,00 00 00 00 00 00 00 00 00 00 00 00 71 e0 0f 01
114,3648,Peak Pugil,57458,271,00 00 00 00 00 00 00 00 00 00 00 00 72 e0 0f 01
115,3680,Peak Pugil,57459,271,00 00 00 00 00 00 00 00 00 00 00 00 73 e0 0f 01
116,3712,Peak Pugil,57460,271,00 00 00 00 00 00 00 00 00 00 00 00 74 e0 0f 01
117,3744,Peak Pugil,57461,271,00 00 00 00 00 00 00 00 00 00 00 00 75 e0 0f 01
