offset,token
801,sha0S
814,sha0
838,sha1S
851,sha1
1023,tlk0
1047,tlk1
1071,sit0S
1084,sit0
1108,sit1S
1121,sit1
1145,tlk0
1163,tlk1
1232,main
1252,fdo1
1606,fdo1
3270,main
3287,ovl1
3357,whi1
3374,blof
3391,fdi0
3471,fdo1
3488,fdo1
3877,whi1
3894,blof
4006,whi1
4023,blof
4040,fdo1
4057,fdo1l
4454,main
4471,fdi2
4676,fdi2
4712,whi1
4729,blof
4813,fdo1
4830,fdo1
5131,whi1
5148,blof
5229,fdi2
5656,fdi2
5681,main
5701,fdi2
5821,back
5839,fdi0
5856,fdi0
5872,fdo0
5889,fdo0
5905,fdi1
5922,fdi1
5938,fdo1
5955,fdo1
5971,whi1
5988,whi1
6004,who1
6021,who1
6037,who2
6054,who2
6070,who3
6087,who3
6103,main
6123,fdo1
6140,fdo1
6156,fdi1
6173,main
6193,fdi1
6209,blon
6226,blon
6244,whi0
6261,whi0
6277,who0
6294,who0
6310,efon
6327,efon
6343,fdis
6361,fdos
6378,fdos
6394,fdif
6412,fdof
6429,fdof
6445,fdip
6463,fdop
6480,fdop
29347,fdo1
29377,out0
29394,fdi1
29414,blon
29431,blon
29448,ovl1
29465,warp
29489,blof
29875,main
29943,main
30011,main
30079,main
30123,main
30154,fdo1
31035,main
31103,la01
31154,fnd0R
31271,s003
31291,st03
31344,fnd1
31375,kidl0
31579,hctf+
31637,tfst
31721,std1
31941,ep03
32006,ep04
32183,par4
32294,ch20
32318,kidl0
32383,hen0R
32456,hen1
32929,hen0
33106,hen0
33153,hen1S
33190,std0R
33331,sthc
33415,hctf
33467,tfst
33579,fdi2
33649,in00
33669,main
33695,in00E
33710,in01
33730,k132
33767,in01'
33878,main
34221,fdi2
34327,s002
34491,std0+
34582,pa04
34686,kidl0
34898,hnd0
34954,par4
35018,tbo0
35094,tbo1
35172,tle0
35213,tle1
35274,ch20
35431,tlf0
35472,tfhc
35591,jna0+
35663,stp2
35729,fdi2
35850,tld0
35903,tbo0
35987,ora0
36037,s003
36057,st03
36155,ora2
36221,moj0
36245,kidl0
36704,kidl0
37022,fnd0
37058,fnd1S
37071,fnd0'
37137,tld0
37213,tld1
37252,pas0S
37265,pas0R
37325,hen0
37401,hiam+
37520,fdi2
37539,fdi0
37556,fdi0
37572,fdo0
37589,fdo0
37605,fdi1
37622,fdi1
37638,fdo1
37655,fdo1
37671,whi1
37688,whi1
37704,who1
37721,who1
37737,who2
37754,who2
37770,who3
37787,who3
37803,main
37823,fdo1
37840,fdo1
37856,fdi1
37873,main
37893,fdi1
37909,blon
37926,blon
37944,whi0
37961,whi0
37977,who0
37994,who0
38010,efon
38027,efon
38043,fdis
38061,fdos
38078,fdos
38094,fdif
38112,fdof
38129,fdof
38145,fdip
38163,fdop
38180,fdop
38441,Prishe
38492,std0+
38531,sthc
38583,hctf
38629,std0+
38737,tbo0
38771,tbo1
38808,ep02
