index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Shinryu,61441,271,00 00 00 00 00 00 00 00 00 00 00 00 01 f0 0f 01
2,64,Shinryu,61442,271,00 00 00 00 00 00 00 00 00 00 00 00 02 f0 0f 01
3,96,Shinryu,61443,271,00 00 00 00 00 00 00 00 00 00 00 00 03 f0 0f 01
4,128,Shinryu,61444,271,00 00 00 00 00 00 00 00 00 00 00 00 04 f0 0f 01
5,160,Shinryu,61445,271,00 00 00 00 00 00 00 00 00 00 00 00 05 f0 0f 01
6,192,Shinryu,61446,271,00 00 00 00 00 00 00 00 00 00 00 00 06 f0 0f 01
7,224,Achieve Master,61447,271,00 00 00 00 00 00 00 00 00 00 00 00 07 f0 0f 01
8,256,Unity Master,61449,271,00 00 00 00 00 00 00 00 00 00 00 00 09 f0 0f 01
9,288,Cruor Prospector,61454,271,00 00 00 00 00 00 00 00 00 00 00 00 0e f0 0f 01
10,320,Atma Infusionist,61455,271,00 00 00 00 00 00 00 00 00 00 00 00 0f f0 0f 01
11,352,Cavernous Maw,61457,271,00 00 00 00 00 00 00 00 00 00 00 00 11 f0 0f 01
12,384,Transcendental R,61458,271,61 64 69 61 6e 63 65 00 00 00 00 00 12 f0 0f 01
13,416,Transcendental R,61459,271,61 64 69 61 6e 63 65 00 00 00 00 00 13 f0 0f 01
14,448,Transcendental R,61460,271,61 64 69 61 6e 63 65 00 00 00 00 00 14 f0 0f 01
15,480,Transcendental R,61461,271,61 64 69 61 6e 63 65 00 00 00 00 00 15 f0 0f 01
16,512,Trailmix,61466,271,00 00 00 00 00 00 00 00 00 00 00 00 1a f0 0f 01
17,544,Goblin Footprint,61467,271,00 00 00 00 00 00 00 00 00 00 00 00 1b f0 0f 01
18,576,,61468,271,00 00 00 00 00 00 00 00 00 00 00 00 1c f0 0f 01
19,608,Prishe,61469,271,00 00 00 00 00 00 00 00 00 00 00 00 1d f0 0f 01
20,640,,61470,271,00 00 00 00 00 00 00 00 00 00 00 00 1e f0 0f 01
21,672,???,61471,271,00 00 00 00 00 00 00 00 00 00 00 00 1f f0 0f 01
22,704,,61472,271,00 00 00 00 00 00 00 00 00 00 00 00 20 f0 0f 01
23,736,Moogle,61474,271,00 00 00 00 00 00 00 00 00 00 00 00 22 f0 0f 01
24,768,Moogle,61475,271,00 00 00 00 00 00 00 00 00 00 00 00 23 f0 0f 01
25,800,Moogle,61476,271,00 00 00 00 00 00 00 00 00 00 00 00 24 f0 0f 01
26,832,Moogle,61477,271,00 00 00 00 00 00 00 00 00 00 00 00 25 f0 0f 01
27,864,Moogle,61478,271,00 00 00 00 00 00 00 00 00 00 00 00 26 f0 0f 01
28,896,Moogle,61479,271,00 00 00 00 00 00 00 00 00 00 00 00 27 f0 0f 01
29,928,Moogle,61480,271,00 00 00 00 00 00 00 00 00 00 00 00 28 f0 0f 01
30,960,Moogle,61481,271,00 00 00 00 00 00 00 00 00 00 00 00 29 f0 0f 01
