npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,JGL_BUILD_MASTER,16,272,123,7568,7748,83.34,0.27,83.41,50,8334,27,8341,8334 8341 27 28 -2 8337 8342 8346
2,JGL_BUILD_MASTER,17,272,1,280552,280604,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
3,JGL_BUILD_MASTER,18,272,1,286128,286180,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
4,JGL_BUILD_MASTER,19,272,1,291704,291756,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
5,JGL_BUILD_MASTER,20,272,1,297280,297332,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
6,JGL_BUILD_MASTER,21,272,1,302856,302908,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
13,Task Delegator,56,272,75,309784,309964,90.0,54.0,72.0,45,9000,5400,7200,9000 7200 5400 2210 7327 6 3106 2211
14,Task Delegator,57,272,1,344104,344200,90.0,54.0,72.0,45,9000,5400,7200,9000 7200 5400 2210 7327 6 3106 2211
15,Task Delegator,58,272,1,378308,378424,90.0,54.0,72.0,45,9000,5400,7200,9000 7200 5400 2210 7327 6 3106 2211
16,Task Delegator,59,272,23,412568,412716,90.0,54.0,72.0,45,9000,5400,7200,9000 7200 5400 2210 7327 6 3106 2211
17,Civil Registrar,60,272,1,446876,447008,74.5,74.51,0.06,30,7450,7451,6,7450 6 7451 110 7 7452 7453 7460
18,Civil Registrar,61,272,1,452488,452516,0.15,74.31,74.3,30,15,7431,7430,15 7430 7431 0 7432 7433 7434 1
19,Civil Registrar,62,272,32,458100,458148,-603.13,0.04,1.25,50,-60313,4,125,-60313 125 4 8 15 7430 7431 0
20,Civil Registrar,63,272,17,464020,464096,0.15,74.31,74.3,30,15,7431,7430,15 7430 7431 0 7432 7433 7434 1
21,GLD_BUILD_MASTER,64,272,1,469740,469792,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
24,Gehlvik,105,272,1,6208,6348,63.99,0.6,2.0,105,6399,60,200,6399 200 60 551 -503040 -491521 1952808959 -266441105
25,Ivoh Haalameb,106,272,1,6916,7056,63.99,0.6,2.0,105,6399,60,200,6399 200 60 551 -503040 -491521 1952808959 -266441105
34,Home Point #1,116,272,1,7624,7748,83.34,0.27,83.41,50,8334,27,8341,8334 8341 27 28 -2 8337 8342 8346
35,Home Point #2,117,272,1,18192,18316,83.34,0.27,83.41,50,8334,27,8341,8334 8341 27 28 -2 8337 8342 8346
36,Home Point #3,118,272,1,28760,28884,83.34,0.27,83.41,50,8334,27,8341,8334 8341 27 28 -2 8337 8342 8346
37,Home Point #4,119,272,1,39328,39452,83.34,0.27,83.41,50,8334,27,8341,8334 8341 27 28 -2 8337 8342 8346
