npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
1,JGL_BUILD_MASTER,4112,272,1,385952,386004,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
2,JGL_BUILD_MASTER,4113,272,1,391528,391580,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
3,JGL_BUILD_MASTER,4114,272,1,397104,397156,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
4,JGL_BUILD_MASTER,4115,272,1,402680,402732,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
5,JGL_BUILD_MASTER,4116,272,1,408256,408308,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
6,JGL_BUILD_MASTER,4117,272,1,413832,413884,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
13,Task Delegator,4152,272,1,420760,420856,90.0,54.0,72.0,45,9000,5400,7200,9000 7200 5400 2210 7327 6 3106 2211
14,Task Delegator,4153,272,1,454964,455060,90.0,54.0,72.0,45,9000,5400,7200,9000 7200 5400 2210 7327 6 3106 2211
15,Civil Registrar,4154,272,1,489168,489196,0.15,74.31,74.3,30,15,7431,7430,15 7430 7431 0 7432 7433 7434 7435
16,Civil Registrar,4155,272,1,494780,494808,0.15,74.31,74.3,30,15,7431,7430,15 7430 7431 0 7432 7433 7434 1
17,GLD_BUILD_MASTER,4156,272,1,500392,500444,0.04,10.0,72.83,45,4,1000,7283,4 7283 1000 995 905 3 900 895
20,Maudilyonne,4183,272,1,6176,6332,1.54,29.47,-16.53,105,154,2947,-1653,154 -1653 2947 561 -503040 -491521 1952808959 -266441105
21,Home Point #1,4184,272,1,6912,7036,83.18,0.27,83.25,50,8318,27,8325,8318 8325 27 28 -2 8321 8326 8330
22,Home Point #2,4185,272,1,17480,17604,83.18,0.27,83.25,50,8318,27,8325,8318 8325 27 28 -2 8321 8326 8330
23,Home Point #3,4186,272,1,28048,28172,83.18,0.27,83.25,50,8318,27,8325,8318 8325 27 28 -2 8321 8326 8330
24,Home Point #4,4187,272,1,38616,38740,83.18,0.27,83.25,50,8318,27,8325,8318 8325 27 28 -2 8321 8326 8330
25,Home Point #5,4188,272,1,49184,49308,83.18,0.27,83.25,50,8318,27,8325,8318 8325 27 28 -2 8321 8326 8330
34,Auction Counter,4198,272,1,59752,59864,0.28,71.74,71.73,30,28,7174,7173,28 7173 7174 0 7175 7177 1 7178
35,Auction Counter,4199,272,1,59776,59864,0.28,71.74,71.73,30,28,7174,7173,28 7173 7174 0 7175 7177 1 7178
36,Auction Counter,4200,272,1,59800,59972,71.93,2.36,71.92,105,7193,236,7192,7193 7192 236 1536 -4066 -2147476097 -2147408861 32770
37,Auction Counter,4201,272,1,59824,59972,71.93,2.36,71.92,105,7193,236,7192,7193 7192 236 1536 -4066 -2147476097 -2147408861 32770
38,Terianne,4202,272,1,59848,59972,71.93,2.36,71.92,105,7193,236,7192,7193 7192 236 1536 -4066 -2147476097 -2147408861 32770
39,Moogle,4203,272,294,68603,68759,10.24,5.12,0.0,65,1024,512,0,1024 0 512 768 1963520 109056 941312 73216
44,Symphonic Curato,4208,272,1,68736,68756,76.69,0.0,0.04,30,7669,0,4,7669 4 0 2 3 7670 426 3677
48,Octavien,4212,272,778,83576,83760,0.4,1.69,108.84,45,40,169,10884,40 10884 169 2572 10885 38 70 10886
