npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
154,JGL_BUILD_MASTER,8361,272,1,3748,3800,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
155,JGL_BUILD_MASTER,8362,272,1,9324,9376,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
156,JGL_BUILD_MASTER,8363,272,1,14900,14952,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
157,JGL_BUILD_MASTER,8364,272,1,20476,20528,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
158,JGL_BUILD_MASTER,8365,272,1,26052,26104,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
159,JGL_BUILD_MASTER,8366,272,1,31628,31680,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
165,Soul Pyre,8400,272,1,38328,38484,2.59,8.63,80.83,45,259,863,8083,259 8083 863 864 865 866 867 868
169,dmat,8476,272,1,40172,40228,75.61,75.63,0.02,45,7561,7563,2,7561 2 7563 2179 2180 2185 2186 2190
170,Adrienaure,8477,272,1,41700,41840,63.99,0.6,2.0,105,6399,60,200,6399 200 60 551 -503040 -491521 1952808959 -266441105
171,Alluring Plant,8478,272,12,42408,42508,79.38,0.5,1.02,70,7938,50,102,7938 102 50 356 4538880 -3968 -3969 1868850815
172,Alluring Plant,8479,272,1,42880,42968,79.37,79.38,0.4,70,7937,7938,40,7937 40 7938 346 4538880 -3968 -3969 1868850815
173,Alluring Plant,8480,272,1,43332,43464,79.43,0.6,0.9,90,7943,60,90,7943 90 60 201 -321529 -309265 3846 -318607
174,Erisa,8481,272,64,55811,55955,12.79,0.0,5.12,30,1279,0,512,1279 512 0 2048 1792 12032 78848 30720
175,Kyff,8482,272,69,56291,56459,35.84,281.6,330.24,65,3584,28160,33024,3584 33024 28160 3072 24320 20480 26345472 2147483640
176,Dworvigg,8483,272,42,56376,56420,-10.5,0.08,0.69,35,-1050,8,69,-1050 69 8 6 0 15 23 3
178,Aristide,8485,272,74,56656,56760,-57.62,0.9,0.07,90,-5762,90,7,-5762 7 90 39 -123013 -364074 -5765 128
180,Ilney,8487,272,80,57208,57256,-10.0,0.04,0.01,35,-1000,4,1,-1000 1 4 0 133 24 20 108
181,Flaviria,8488,272,79,57436,57560,-10.0,0.15,0.08,35,-1000,15,8,-1000 8 15 253 131 150 231 77
182,Pagnelle,8489,272,36,57476,57560,-10.0,0.15,0.08,35,-1000,15,8,-1000 8 15 253 131 150 231 77
183,Zenngar,8490,272,58,57672,57752,-10.0,1.31,0.96,90,-1000,131,96,-1000 96 131 235 70 -134114816 8388607 -523886
195,Augural Conveyor,8503,272,1,58136,58312,80.81,8.05,80.82,45,8081,805,8082,8081 8082 805 807 806 800 259 264
197,Entrance: Colise,8505,272,1,60504,60652,0.1,8.41,8.4,25,10,841,840,10 840 841 842 843 844 845 846
198,Antiquated Sluic,8506,272,1,61964,62112,0.1,8.41,8.4,25,10,841,840,10 840 841 842 843 844 845 846
200,Mathais,8508,272,1,63424,63536,0.5,81.05,81.04,70,50,8105,8104,50 8104 8105 48 -1040896 1886355455 -125829018 -125829121
201,Lohvi Rashiibo,8509,272,1,63516,63536,0.5,81.05,81.04,70,50,8105,8104,50 8104 8105 48 -1040896 1886355455 -125829018 -125829121
202,Risto-Fristo,8510,272,1,63684,63704,0.4,81.09,81.08,70,40,8109,8108,40 8108 8109 48 -1040896 1886355455 -125829018 -125829121
203,Bezetep,8511,272,1,63600,63620,0.0,81.07,81.06,70,0,8107,8106,0 8106 8107 48 -1040896 1886355455 -125829018 -125829121
204,Chalvava,8512,272,401,63852,63972,81.12,81.13,75.89,90,8112,8113,7589,8112 7589 8113 40 -303140 -321878 -1000 -321066
205,Faomahd,8513,272,1,64776,64840,81.2,81.21,-11.24,90,8120,8121,-1124,8120 -1124 8121 145 -1040896 1886355455 -125829018 -125829121
206,Trentain,8514,272,1,65004,65152,81.45,86.76,25.88,70,8145,8676,2588,8145 2588 8676 136 -1040896 1886355455 -125829029 -125829121
207,Sivalda,8515,272,1,65096,65152,81.45,86.76,25.88,70,8145,8676,2588,8145 2588 8676 136 -1040896 1886355455 -125829029 -125829121
208,Kyairah Mochaafa,8516,272,1,63768,63788,0.5,81.11,81.1,70,50,8111,8110,50 8110 8111 48 -1040896 1886355455 -125829018 -125829121
209,Obolt,8517,272,1,65396,65524,0.09,81.32,81.31,90,9,8132,8131,9 8131 8132 40 -304139 -320541 -1000 -302692
210,Jaroney-Baroney,8518,272,1,65304,65416,0.0,81.29,81.28,70,0,8129,8128,0 8128 8129 48 -1040896 1886355455 -125829018 -125829121
212,Soltargan,8520,272,30,65480,65524,0.09,81.32,81.31,90,9,8132,8131,9 8131 8132 40 -304139 -320541 -1000 -302692
213,Yeggha Dolashi,8521,272,39,65764,65908,0.03,82.83,82.82,70,3,8283,8282,3 8282 8283 332 -1040896 1886355455 -125829018 -125829121
214,Sainene,8522,272,1,66256,66288,87.17,87.19,87.18,45,8717,8719,8718,8717 8718 8719 96 -1040896 1886355455 -125829018 -125829121
215,Stout Weir,8523,272,1,66400,66432,87.13,87.15,87.14,45,8713,8715,8714,8713 8714 8715 96 -1040896 1886355455 -125829018 -125829121
