npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
402,JGL_BUILD_MASTER,29089,272,1,4504,4556,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
403,JGL_BUILD_MASTER,29090,272,1,10080,10132,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
404,JGL_BUILD_MASTER,29091,272,1,15656,15708,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
405,JGL_BUILD_MASTER,29092,272,1,21232,21284,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
406,JGL_BUILD_MASTER,29093,272,1,26808,26860,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
407,JGL_BUILD_MASTER,29094,272,1,32384,32436,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
438,Augural Conveyor,29215,272,1,83628,83740,0.06,78.64,78.63,45,6,7864,7863,6 7863 7864 805 807 806 8 800
442,Station Administ,29219,272,1,37960,38052,75.1,2.84,75.12,65,7510,284,7512,7510 7512 284 768 16977922 58720256 -2147418110 -4066
443,Bivouac#1 Admini,29220,272,1,38348,38408,75.16,75.17,0.03,50,7516,7517,3,7516 3 7517 206 197376 229376 51380736 268632065
444,Bivouac#2 Admini,29221,272,1,38632,38692,75.16,75.17,0.03,50,7516,7517,3,7516 3 7517 206 197376 229376 51380736 268632065
445,Bivouac#3 Admini,29222,272,1,38916,38976,75.16,75.17,0.03,50,7516,7517,3,7516 3 7517 206 197376 229376 51380736 268632065
446,Bivouac#4 Admini,29223,272,1,39200,39260,0.06,75.17,75.16,50,6,7517,7516,6 7516 7517 206 197376 229376 51380736 268632065
447,Bivouac#5 Admini,29224,272,1,39484,39548,75.16,75.17,0.03,50,7516,7517,3,7516 3 7517 206 197376 229376 51380736 268632065
