index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Unblinking Panop,32769,272,74 00 00 00 00 00 00 00 00 00 00 00 01 80 10 01
2,64,Unblinking Panop,32770,272,74 00 00 00 00 00 00 00 00 00 00 00 02 80 10 01
3,96,Windblown Treant,32771,272,00 00 00 00 00 00 00 00 00 00 00 00 03 80 10 01
4,128,Windblown Treant,32772,272,00 00 00 00 00 00 00 00 00 00 00 00 04 80 10 01
5,160,Frothing Snapwee,32773,272,64 00 00 00 00 00 00 00 00 00 00 00 05 80 10 01
6,192,Frothing Snapwee,32774,272,64 00 00 00 00 00 00 00 00 00 00 00 06 80 10 01
7,224,Thorny Rafflesia,32775,272,00 00 00 00 00 00 00 00 00 00 00 00 07 80 10 01
8,256,Thorny Rafflesia,32776,272,00 00 00 00 00 00 00 00 00 00 00 00 08 80 10 01
9,288,Feverish Amereta,32777,272,74 00 00 00 00 00 00 00 00 00 00 00 09 80 10 01
10,320,Feverish Amereta,32778,272,74 00 00 00 00 00 00 00 00 00 00 00 0a 80 10 01
11,352,Engorged Bellado,32779,272,6e 6e 61 00 00 00 00 00 00 00 00 00 0b 80 10 01
12,384,Engorged Bellado,32780,272,6e 6e 61 00 00 00 00 00 00 00 00 00 0c 80 10 01
13,416,Stumbling Saplin,32781,272,67 00 00 00 00 00 00 00 00 00 00 00 0d 80 10 01
14,448,Stumbling Saplin,32782,272,67 00 00 00 00 00 00 00 00 00 00 00 0e 80 10 01
15,480,Inflamed Flytrap,32783,272,00 00 00 00 00 00 00 00 00 00 00 00 0f 80 10 01
16,512,Flustered Fungua,32784,272,72 00 00 00 00 00 00 00 00 00 00 00 10 80 10 01
17,544,Inflamed Flytrap,32785,272,00 00 00 00 00 00 00 00 00 00 00 00 11 80 10 01
18,576,Flustered Fungua,32786,272,72 00 00 00 00 00 00 00 00 00 00 00 12 80 10 01
19,608,Woodlot Luckybug,32787,272,00 00 00 00 00 00 00 00 00 00 00 00 13 80 10 01
20,640,Mulcher Beetle,32788,272,00 00 00 00 00 00 00 00 00 00 00 00 14 80 10 01
21,672,Woodlot Luckybug,32789,272,00 00 00 00 00 00 00 00 00 00 00 00 15 80 10 01
22,704,Mulcher Beetle,32790,272,00 00 00 00 00 00 00 00 00 00 00 00 16 80 10 01
23,736,Sly Opo-opo,32791,272,00 00 00 00 00 00 00 00 00 00 00 00 17 80 10 01
24,768,Highhop Lapinion,32792,272,00 00 00 00 00 00 00 00 00 00 00 00 18 80 10 01
25,800,Sly Opo-opo,32793,272,00 00 00 00 00 00 00 00 00 00 00 00 19 80 10 01
26,832,Highhop Lapinion,32794,272,00 00 00 00 00 00 00 00 00 00 00 00 1a 80 10 01
27,864,Sunburnt Twither,32795,272,79 6d 00 00 00 00 00 00 00 00 00 00 1b 80 10 01
28,896,Weald Wasp,32796,272,00 00 00 00 00 00 00 00 00 00 00 00 1c 80 10 01
29,928,Sunburnt Twither,32797,272,79 6d 00 00 00 00 00 00 00 00 00 00 1d 80 10 01
30,960,Weald Wasp,32798,272,00 00 00 00 00 00 00 00 00 00 00 00 1e 80 10 01
31,992,Unblinking Panop,32799,272,74 00 00 00 00 00 00 00 00 00 00 00 1f 80 10 01
32,1024,Unblinking Panop,32800,272,74 00 00 00 00 00 00 00 00 00 00 00 20 80 10 01
33,1056,Unblinking Panop,32801,272,74 00 00 00 00 00 00 00 00 00 00 00 21 80 10 01
