index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Sleettooth Jagil,45057,272,00 00 00 00 00 00 00 00 00 00 00 00 01 b0 10 01
2,64,Sleettooth Jagil,45058,272,00 00 00 00 00 00 00 00 00 00 00 00 02 b0 10 01
3,96,Hoarvein Leech,45059,272,00 00 00 00 00 00 00 00 00 00 00 00 03 b0 10 01
4,128,Hoarvein Leech,45060,272,00 00 00 00 00 00 00 00 00 00 00 00 04 b0 10 01
5,160,Blubbering Ruszo,45061,272,72 00 00 00 00 00 00 00 00 00 00 00 05 b0 10 01
6,192,Snowpelt Rabbit,45062,272,00 00 00 00 00 00 00 00 00 00 00 00 06 b0 10 01
7,224,Snowpelt Rabbit,45063,272,00 00 00 00 00 00 00 00 00 00 00 00 07 b0 10 01
8,256,Snowpelt Rabbit,45064,272,00 00 00 00 00 00 00 00 00 00 00 00 08 b0 10 01
9,288,Cyanotic Raptor,45065,272,00 00 00 00 00 00 00 00 00 00 00 00 09 b0 10 01
10,320,Cyanotic Raptor,45066,272,00 00 00 00 00 00 00 00 00 00 00 00 0a b0 10 01
11,352,Cyanotic Raptor,45067,272,00 00 00 00 00 00 00 00 00 00 00 00 0b b0 10 01
12,384,Snowpelt Rabbit,45068,272,00 00 00 00 00 00 00 00 00 00 00 00 0c b0 10 01
13,416,Snowpelt Rabbit,45069,272,00 00 00 00 00 00 00 00 00 00 00 00 0d b0 10 01
14,448,Cicatricose Raaz,45070,272,00 00 00 00 00 00 00 00 00 00 00 00 0e b0 10 01
15,480,Cicatricose Raaz,45071,272,00 00 00 00 00 00 00 00 00 00 00 00 0f b0 10 01
16,512,Snowpelt Rabbit,45072,272,00 00 00 00 00 00 00 00 00 00 00 00 10 b0 10 01
17,544,Snowpelt Rabbit,45073,272,00 00 00 00 00 00 00 00 00 00 00 00 11 b0 10 01
18,576,Snowpelt Rabbit,45074,272,00 00 00 00 00 00 00 00 00 00 00 00 12 b0 10 01
19,608,Cicatricose Raaz,45075,272,00 00 00 00 00 00 00 00 00 00 00 00 13 b0 10 01
20,640,Cicatricose Raaz,45076,272,00 00 00 00 00 00 00 00 00 00 00 00 14 b0 10 01
21,672,Cicatricose Raaz,45077,272,00 00 00 00 00 00 00 00 00 00 00 00 15 b0 10 01
22,704,Snowpelt Rabbit,45078,272,00 00 00 00 00 00 00 00 00 00 00 00 16 b0 10 01
23,736,Snowpelt Rabbit,45079,272,00 00 00 00 00 00 00 00 00 00 00 00 17 b0 10 01
24,768,Cyanotic Raptor,45080,272,00 00 00 00 00 00 00 00 00 00 00 00 18 b0 10 01
25,800,Cyanotic Raptor,45081,272,00 00 00 00 00 00 00 00 00 00 00 00 19 b0 10 01
26,832,Wailing Umbril,45082,272,00 00 00 00 00 00 00 00 00 00 00 00 1a b0 10 01
27,864,Wailing Umbril,45083,272,00 00 00 00 00 00 00 00 00 00 00 00 1b b0 10 01
28,896,Wailing Umbril,45084,272,00 00 00 00 00 00 00 00 00 00 00 00 1c b0 10 01
29,928,Wailing Umbril,45085,272,00 00 00 00 00 00 00 00 00 00 00 00 1d b0 10 01
30,960,Wailing Umbril,45086,272,00 00 00 00 00 00 00 00 00 00 00 00 1e b0 10 01
31,992,Snowpelt Rabbit,45087,272,00 00 00 00 00 00 00 00 00 00 00 00 1f b0 10 01
32,1024,Snowpelt Rabbit,45088,272,00 00 00 00 00 00 00 00 00 00 00 00 20 b0 10 01
33,1056,Snowpelt Rabbit,45089,272,00 00 00 00 00 00 00 00 00 00 00 00 21 b0 10 01
34,1088,Bedraggled Lucer,45090,272,65 77 65 00 00 00 00 00 00 00 00 00 22 b0 10 01
