index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Smirking Jagil,57345,272,00 00 00 00 00 00 00 00 00 00 00 00 01 e0 10 01
2,64,Smirking Jagil,57346,272,00 00 00 00 00 00 00 00 00 00 00 00 02 e0 10 01
3,96,Smirking Jagil,57347,272,00 00 00 00 00 00 00 00 00 00 00 00 03 e0 10 01
4,128,Throbbing Clot,57348,272,00 00 00 00 00 00 00 00 00 00 00 00 04 e0 10 01
5,160,Throbbing Clot,57349,272,00 00 00 00 00 00 00 00 00 00 00 00 05 e0 10 01
6,192,Balas Bats,57350,272,00 00 00 00 00 00 00 00 00 00 00 00 06 e0 10 01
7,224,Balas Bats,57351,272,00 00 00 00 00 00 00 00 00 00 00 00 07 e0 10 01
8,256,Pallid Funguar,57352,272,00 00 00 00 00 00 00 00 00 00 00 00 08 e0 10 01
9,288,Pallid Funguar,57353,272,00 00 00 00 00 00 00 00 00 00 00 00 09 e0 10 01
10,320,Foreboding Fungu,57354,272,61 72 00 00 00 00 00 00 00 00 00 00 0a e0 10 01
11,352,Foreboding Fungu,57355,272,61 72 00 00 00 00 00 00 00 00 00 00 0b e0 10 01
12,384,Grossular Bat,57356,272,00 00 00 00 00 00 00 00 00 00 00 00 0c e0 10 01
13,416,Grossular Bat,57357,272,00 00 00 00 00 00 00 00 00 00 00 00 0d e0 10 01
14,448,Pallid Funguar,57358,272,00 00 00 00 00 00 00 00 00 00 00 00 0e e0 10 01
15,480,Livid Umbril,57359,272,00 00 00 00 00 00 00 00 00 00 00 00 0f e0 10 01
16,512,Livid Umbril,57360,272,00 00 00 00 00 00 00 00 00 00 00 00 10 e0 10 01
17,544,Livid Umbril,57361,272,00 00 00 00 00 00 00 00 00 00 00 00 11 e0 10 01
18,576,Livid Umbril,57362,272,00 00 00 00 00 00 00 00 00 00 00 00 12 e0 10 01
19,608,Pallid Funguar,57363,272,00 00 00 00 00 00 00 00 00 00 00 00 13 e0 10 01
20,640,Pallid Funguar,57364,272,00 00 00 00 00 00 00 00 00 00 00 00 14 e0 10 01
21,672,Foreboding Fungu,57365,272,61 72 00 00 00 00 00 00 00 00 00 00 15 e0 10 01
22,704,Foreboding Fungu,57366,272,61 72 00 00 00 00 00 00 00 00 00 00 16 e0 10 01
23,736,Pallid Funguar,57367,272,00 00 00 00 00 00 00 00 00 00 00 00 17 e0 10 01
24,768,Foreboding Fungu,57368,272,61 72 00 00 00 00 00 00 00 00 00 00 18 e0 10 01
25,800,Foreboding Fungu,57369,272,61 72 00 00 00 00 00 00 00 00 00 00 19 e0 10 01
26,832,Foreboding Fungu,57370,272,61 72 00 00 00 00 00 00 00 00 00 00 1a e0 10 01
27,864,Flatus Acuex,57371,272,00 00 00 00 00 00 00 00 00 00 00 00 1b e0 10 01
28,896,Pallid Funguar,57372,272,00 00 00 00 00 00 00 00 00 00 00 00 1c e0 10 01
29,928,Pallid Funguar,57373,272,00 00 00 00 00 00 00 00 00 00 00 00 1d e0 10 01
30,960,Foreboding Fungu,57374,272,61 72 00 00 00 00 00 00 00 00 00 00 1e e0 10 01
31,992,Foreboding Fungu,57375,272,61 72 00 00 00 00 00 00 00 00 00 00 1f e0 10 01
32,1024,Flatus Acuex,57376,272,00 00 00 00 00 00 00 00 00 00 00 00 20 e0 10 01
33,1056,Crepuscular Worm,57377,272,00 00 00 00 00 00 00 00 00 00 00 00 21 e0 10 01
34,1088,Crepuscular Worm,57378,272,00 00 00 00 00 00 00 00 00 00 00 00 22 e0 10 01
35,1120,Crepuscular Worm,57379,272,00 00 00 00 00 00 00 00 00 00 00 00 23 e0 10 01
36,1152,Foreboding Fungu,57380,272,61 72 00 00 00 00 00 00 00 00 00 00 24 e0 10 01
37,1184,Foreboding Fungu,57381,272,61 72 00 00 00 00 00 00 00 00 00 00 25 e0 10 01
38,1216,Foreboding Fungu,57382,272,61 72 00 00 00 00 00 00 00 00 00 00 26 e0 10 01
39,1248,Foreboding Fungu,57383,272,61 72 00 00 00 00 00 00 00 00 00 00 27 e0 10 01
40,1280,Flatus Acuex,57384,272,00 00 00 00 00 00 00 00 00 00 00 00 28 e0 10 01
41,1312,Flatus Acuex,57385,272,00 00 00 00 00 00 00 00 00 00 00 00 29 e0 10 01
42,1344,Flatus Acuex,57386,272,00 00 00 00 00 00 00 00 00 00 00 00 2a e0 10 01
43,1376,Flatus Acuex,57387,272,00 00 00 00 00 00 00 00 00 00 00 00 2b e0 10 01
44,1408,Tenebrous Obdell,57388,272,61 00 00 00 00 00 00 00 00 00 00 00 2c e0 10 01
45,1440,Tenebrous Obdell,57389,272,61 00 00 00 00 00 00 00 00 00 00 00 2d e0 10 01
46,1472,Tenebrous Obdell,57390,272,61 00 00 00 00 00 00 00 00 00 00 00 2e e0 10 01
47,1504,Pallid Funguar,57391,272,00 00 00 00 00 00 00 00 00 00 00 00 2f e0 10 01
48,1536,Pallid Funguar,57392,272,00 00 00 00 00 00 00 00 00 00 00 00 30 e0 10 01
49,1568,Pallid Funguar,57393,272,00 00 00 00 00 00 00 00 00 00 00 00 31 e0 10 01
50,1600,Livid Umbril,57394,272,00 00 00 00 00 00 00 00 00 00 00 00 32 e0 10 01
51,1632,Livid Umbril,57395,272,00 00 00 00 00 00 00 00 00 00 00 00 33 e0 10 01
52,1664,Tunnel Lizard,57396,272,00 00 00 00 00 00 00 00 00 00 00 00 34 e0 10 01
53,1696,Tunnel Lizard,57397,272,00 00 00 00 00 00 00 00 00 00 00 00 35 e0 10 01
54,1728,Tunnel Lizard,57398,272,00 00 00 00 00 00 00 00 00 00 00 00 36 e0 10 01
55,1760,Pallid Funguar,57399,272,00 00 00 00 00 00 00 00 00 00 00 00 37 e0 10 01
56,1792,Invidious Lizard,57400,272,00 00 00 00 00 00 00 00 00 00 00 00 38 e0 10 01
57,1824,Invidious Lizard,57401,272,00 00 00 00 00 00 00 00 00 00 00 00 39 e0 10 01
58,1856,Invidious Lizard,57402,272,00 00 00 00 00 00 00 00 00 00 00 00 3a e0 10 01
59,1888,Invidious Lizard,57403,272,00 00 00 00 00 00 00 00 00 00 00 00 3b e0 10 01
60,1920,Tunnel Lizard,57404,272,00 00 00 00 00 00 00 00 00 00 00 00 3c e0 10 01
61,1952,Tunnel Lizard,57405,272,00 00 00 00 00 00 00 00 00 00 00 00 3d e0 10 01
62,1984,Invidious Lizard,57406,272,00 00 00 00 00 00 00 00 00 00 00 00 3e e0 10 01
63,2016,Invidious Lizard,57407,272,00 00 00 00 00 00 00 00 00 00 00 00 3f e0 10 01
64,2048,Pallid Funguar,57408,272,00 00 00 00 00 00 00 00 00 00 00 00 40 e0 10 01
65,2080,Foreboding Fungu,57409,272,61 72 00 00 00 00 00 00 00 00 00 00 41 e0 10 01
66,2112,Flatus Acuex,57410,272,00 00 00 00 00 00 00 00 00 00 00 00 42 e0 10 01
67,2144,Flatus Acuex,57411,272,00 00 00 00 00 00 00 00 00 00 00 00 43 e0 10 01
68,2176,Pallid Funguar,57412,272,00 00 00 00 00 00 00 00 00 00 00 00 44 e0 10 01
69,2208,Pallid Funguar,57413,272,00 00 00 00 00 00 00 00 00 00 00 00 45 e0 10 01
70,2240,Foreboding Fungu,57414,272,61 72 00 00 00 00 00 00 00 00 00 00 46 e0 10 01
71,2272,Foreboding Fungu,57415,272,61 72 00 00 00 00 00 00 00 00 00 00 47 e0 10 01
72,2304,Flatus Acuex,57416,272,00 00 00 00 00 00 00 00 00 00 00 00 48 e0 10 01
73,2336,Flatus Acuex,57417,272,00 00 00 00 00 00 00 00 00 00 00 00 49 e0 10 01
74,2368,Pallid Funguar,57418,272,00 00 00 00 00 00 00 00 00 00 00 00 4a e0 10 01
75,2400,Pallid Funguar,57419,272,00 00 00 00 00 00 00 00 00 00 00 00 4b e0 10 01
76,2432,Foreboding Fungu,57420,272,61 72 00 00 00 00 00 00 00 00 00 00 4c e0 10 01
77,2464,Foreboding Fungu,57421,272,61 72 00 00 00 00 00 00 00 00 00 00 4d e0 10 01
78,2496,Flatus Acuex,57422,272,00 00 00 00 00 00 00 00 00 00 00 00 4e e0 10 01
79,2528,Flatus Acuex,57423,272,00 00 00 00 00 00 00 00 00 00 00 00 4f e0 10 01
80,2560,Tunnel Lizard,57424,272,00 00 00 00 00 00 00 00 00 00 00 00 50 e0 10 01
81,2592,Tunnel Lizard,57425,272,00 00 00 00 00 00 00 00 00 00 00 00 51 e0 10 01
82,2624,Invidious Lizard,57426,272,00 00 00 00 00 00 00 00 00 00 00 00 52 e0 10 01
83,2656,Invidious Lizard,57427,272,00 00 00 00 00 00 00 00 00 00 00 00 53 e0 10 01
84,2688,Asperous Marolit,57428,272,68 00 00 00 00 00 00 00 00 00 00 00 54 e0 10 01
85,2720,Asperous Marolit,57429,272,68 00 00 00 00 00 00 00 00 00 00 00 55 e0 10 01
86,2752,Tunnel Lizard,57430,272,00 00 00 00 00 00 00 00 00 00 00 00 56 e0 10 01
87,2784,Tunnel Lizard,57431,272,00 00 00 00 00 00 00 00 00 00 00 00 57 e0 10 01
