index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Rufescent Bat,61441,272,00 00 00 00 00 00 00 00 00 00 00 00 01 f0 10 01
2,64,Rufescent Bat,61442,272,00 00 00 00 00 00 00 00 00 00 00 00 02 f0 10 01
3,96,Doline Bats,61443,272,00 00 00 00 00 00 00 00 00 00 00 00 03 f0 10 01
4,128,Doline Bats,61444,272,00 00 00 00 00 00 00 00 00 00 00 00 04 f0 10 01
5,160,Doline Bats,61445,272,00 00 00 00 00 00 00 00 00 00 00 00 05 f0 10 01
6,192,Doline Bats,61446,272,00 00 00 00 00 00 00 00 00 00 00 00 06 f0 10 01
7,224,Estavelle Acuex,61447,272,00 00 00 00 00 00 00 00 00 00 00 00 07 f0 10 01
8,256,Estavelle Acuex,61448,272,00 00 00 00 00 00 00 00 00 00 00 00 08 f0 10 01
9,288,Estavelle Acuex,61449,272,00 00 00 00 00 00 00 00 00 00 00 00 09 f0 10 01
10,320,Estavelle Acuex,61450,272,00 00 00 00 00 00 00 00 00 00 00 00 0a f0 10 01
11,352,Funguar Abrupta,61451,272,00 00 00 00 00 00 00 00 00 00 00 00 0b f0 10 01
12,384,Funguar Abrupta,61452,272,00 00 00 00 00 00 00 00 00 00 00 00 0c f0 10 01
13,416,Abrupta Spawn,61453,272,00 00 00 00 00 00 00 00 00 00 00 00 0d f0 10 01
14,448,Abrupta Spawn,61454,272,00 00 00 00 00 00 00 00 00 00 00 00 0e f0 10 01
15,480,Abrupta Spawn,61455,272,00 00 00 00 00 00 00 00 00 00 00 00 0f f0 10 01
16,512,Estavelle Acuex,61456,272,00 00 00 00 00 00 00 00 00 00 00 00 10 f0 10 01
17,544,Estavelle Acuex,61457,272,00 00 00 00 00 00 00 00 00 00 00 00 11 f0 10 01
18,576,Estavelle Acuex,61458,272,00 00 00 00 00 00 00 00 00 00 00 00 12 f0 10 01
19,608,Estavelle Acuex,61459,272,00 00 00 00 00 00 00 00 00 00 00 00 13 f0 10 01
20,640,Estavelle Acuex,61460,272,00 00 00 00 00 00 00 00 00 00 00 00 14 f0 10 01
21,672,Brumeblister Obd,61461,272,65 6c 6c 61 00 00 00 00 00 00 00 00 15 f0 10 01
22,704,Brumeblister Obd,61462,272,65 6c 6c 61 00 00 00 00 00 00 00 00 16 f0 10 01
23,736,Pustulous Obdell,61463,272,61 00 00 00 00 00 00 00 00 00 00 00 17 f0 10 01
24,768,Pustulous Obdell,61464,272,61 00 00 00 00 00 00 00 00 00 00 00 18 f0 10 01
25,800,Recalcitrant Umb,61465,272,72 69 6c 00 00 00 00 00 00 00 00 00 19 f0 10 01
26,832,Recalcitrant Umb,61466,272,72 69 6c 00 00 00 00 00 00 00 00 00 1a f0 10 01
