index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Chumchomp Jagil,1,273,00 00 00 00 00 00 00 00 00 00 00 00 01 00 11 01
2,64,Chumchomp Jagil,2,273,00 00 00 00 00 00 00 00 00 00 00 00 02 00 11 01
3,96,Crusty Crab,3,273,00 00 00 00 00 00 00 00 00 00 00 00 03 00 11 01
4,128,Crusty Crab,4,273,00 00 00 00 00 00 00 00 00 00 00 00 04 00 11 01
5,160,Crusty Crab,5,273,00 00 00 00 00 00 00 00 00 00 00 00 05 00 11 01
6,192,Knotted Root,6,273,00 00 00 00 00 00 00 00 00 00 00 00 06 00 11 01
7,224,Knotted Root,7,273,00 00 00 00 00 00 00 00 00 00 00 00 07 00 11 01
8,256,Velkk Punisher,8,273,00 00 00 00 00 00 00 00 00 00 00 00 08 00 11 01
9,288,Trogloptera,9,273,00 00 00 00 00 00 00 00 00 00 00 00 09 00 11 01
10,320,Velkk Vaticinato,10,273,72 00 00 00 00 00 00 00 00 00 00 00 0a 00 11 01
11,352,Trogloptera,11,273,00 00 00 00 00 00 00 00 00 00 00 00 0b 00 11 01
12,384,Knotted Root,12,273,00 00 00 00 00 00 00 00 00 00 00 00 0c 00 11 01
13,416,Knotted Root,13,273,00 00 00 00 00 00 00 00 00 00 00 00 0d 00 11 01
14,448,Velkk Ravager,14,273,00 00 00 00 00 00 00 00 00 00 00 00 0e 00 11 01
15,480,Crevice Tarichuk,15,273,00 00 00 00 00 00 00 00 00 00 00 00 0f 00 11 01
16,512,Velkk Manipulato,16,273,72 00 00 00 00 00 00 00 00 00 00 00 10 00 11 01
17,544,Crevice Tarichuk,17,273,00 00 00 00 00 00 00 00 00 00 00 00 11 00 11 01
18,576,Leafdancer Twith,18,273,65 72 79 6d 00 00 00 00 00 00 00 00 12 00 11 01
19,608,Leafdancer Twith,19,273,65 72 79 6d 00 00 00 00 00 00 00 00 13 00 11 01
20,640,Leafdancer Twith,20,273,65 72 79 6d 00 00 00 00 00 00 00 00 14 00 11 01
21,672,Leafdancer Twith,21,273,65 72 79 6d 00 00 00 00 00 00 00 00 15 00 11 01
22,704,Ripsaw Jagil,22,273,00 00 00 00 00 00 00 00 00 00 00 00 16 00 11 01
23,736,Ripsaw Jagil,23,273,00 00 00 00 00 00 00 00 00 00 00 00 17 00 11 01
24,768,Ripsaw Jagil,24,273,00 00 00 00 00 00 00 00 00 00 00 00 18 00 11 01
25,800,Velkk Trampler,25,273,00 00 00 00 00 00 00 00 00 00 00 00 19 00 11 01
26,832,Velkk Trampler,26,273,00 00 00 00 00 00 00 00 00 00 00 00 1a 00 11 01
27,864,Velkk Dreadnough,27,273,74 00 00 00 00 00 00 00 00 00 00 00 1b 00 11 01
28,896,Velkk Dreadnough,28,273,74 00 00 00 00 00 00 00 00 00 00 00 1c 00 11 01
29,928,Ripsaw Jagil,29,273,00 00 00 00 00 00 00 00 00 00 00 00 1d 00 11 01
30,960,Ripsaw Jagil,30,273,00 00 00 00 00 00 00 00 00 00 00 00 1e 00 11 01
31,992,Ripsaw Jagil,31,273,00 00 00 00 00 00 00 00 00 00 00 00 1f 00 11 01
32,1024,Ripsaw Jagil,32,273,00 00 00 00 00 00 00 00 00 00 00 00 20 00 11 01
33,1056,Velkk Archmagus,33,273,00 00 00 00 00 00 00 00 00 00 00 00 21 00 11 01
34,1088,Velkk Archmagus,34,273,00 00 00 00 00 00 00 00 00 00 00 00 22 00 11 01
35,1120,Velkk Cyclonicis,35,273,74 00 00 00 00 00 00 00 00 00 00 00 23 00 11 01
36,1152,Velkk Cyclonicis,36,273,74 00 00 00 00 00 00 00 00 00 00 00 24 00 11 01
37,1184,Unyielding Taric,37,273,68 75 6b 00 00 00 00 00 00 00 00 00 25 00 11 01
38,1216,Unyielding Taric,38,273,68 75 6b 00 00 00 00 00 00 00 00 00 26 00 11 01
39,1248,Spumous Slug,39,273,00 00 00 00 00 00 00 00 00 00 00 00 27 00 11 01
40,1280,Spumous Slug,40,273,00 00 00 00 00 00 00 00 00 00 00 00 28 00 11 01
41,1312,Spumous Slug,41,273,00 00 00 00 00 00 00 00 00 00 00 00 29 00 11 01
42,1344,Septic Acuex,42,273,00 00 00 00 00 00 00 00 00 00 00 00 2a 00 11 01
43,1376,Septic Acuex,43,273,00 00 00 00 00 00 00 00 00 00 00 00 2b 00 11 01
44,1408,Septic Acuex,44,273,00 00 00 00 00 00 00 00 00 00 00 00 2c 00 11 01
45,1440,Firth Umbril,45,273,00 00 00 00 00 00 00 00 00 00 00 00 2d 00 11 01
46,1472,Firth Umbril,46,273,00 00 00 00 00 00 00 00 00 00 00 00 2e 00 11 01
47,1504,Blightdella,47,273,00 00 00 00 00 00 00 00 00 00 00 00 2f 00 11 01
48,1536,Blightdella,48,273,00 00 00 00 00 00 00 00 00 00 00 00 30 00 11 01
49,1568,Pungent Fungus,49,273,00 00 00 00 00 00 00 00 00 00 00 00 31 00 11 01
50,1600,Pungent Fungus,50,273,00 00 00 00 00 00 00 00 00 00 00 00 32 00 11 01
51,1632,Leafdancer Twith,51,273,65 72 79 6d 00 00 00 00 00 00 00 00 33 00 11 01
52,1664,Leafdancer Twith,52,273,65 72 79 6d 00 00 00 00 00 00 00 00 34 00 11 01
53,1696,Leafdancer Twith,53,273,65 72 79 6d 00 00 00 00 00 00 00 00 35 00 11 01
54,1728,Duskprowlers,54,273,00 00 00 00 00 00 00 00 00 00 00 00 36 00 11 01
55,1760,Duskprowlers,55,273,00 00 00 00 00 00 00 00 00 00 00 00 37 00 11 01
56,1792,Velkk Reaver,56,273,00 00 00 00 00 00 00 00 00 00 00 00 38 00 11 01
57,1824,Velkk Reaver,57,273,00 00 00 00 00 00 00 00 00 00 00 00 39 00 11 01
58,1856,Velkk Reaver,58,273,00 00 00 00 00 00 00 00 00 00 00 00 3a 00 11 01
59,1888,Firth Umbril,59,273,00 00 00 00 00 00 00 00 00 00 00 00 3b 00 11 01
60,1920,Firth Umbril,60,273,00 00 00 00 00 00 00 00 00 00 00 00 3c 00 11 01
61,1952,Firth Umbril,61,273,00 00 00 00 00 00 00 00 00 00 00 00 3d 00 11 01
62,1984,Velkk Stormcalle,62,273,72 00 00 00 00 00 00 00 00 00 00 00 3e 00 11 01
63,2016,Velkk Stormcalle,63,273,72 00 00 00 00 00 00 00 00 00 00 00 3f 00 11 01
64,2048,Velkk Stormcalle,64,273,72 00 00 00 00 00 00 00 00 00 00 00 40 00 11 01
65,2080,Unyielding Taric,65,273,68 75 6b 00 00 00 00 00 00 00 00 00 41 00 11 01
66,2112,Unyielding Taric,66,273,68 75 6b 00 00 00 00 00 00 00 00 00 42 00 11 01
67,2144,Velkk Berserker,67,273,00 00 00 00 00 00 00 00 00 00 00 00 43 00 11 01
68,2176,Velkk Berserker,68,273,00 00 00 00 00 00 00 00 00 00 00 00 44 00 11 01
69,2208,Velkk Berserker,69,273,00 00 00 00 00 00 00 00 00 00 00 00 45 00 11 01
70,2240,Velkk Berserker,70,273,00 00 00 00 00 00 00 00 00 00 00 00 46 00 11 01
71,2272,Spinescent Protu,71,273,62 65 72 61 6e 63 65 00 00 00 00 00 47 00 11 01
72,2304,Velkk Magus,72,273,00 00 00 00 00 00 00 00 00 00 00 00 48 00 11 01
73,2336,Velkk Magus,73,273,00 00 00 00 00 00 00 00 00 00 00 00 49 00 11 01
74,2368,Velkk Magus,74,273,00 00 00 00 00 00 00 00 00 00 00 00 4a 00 11 01
75,2400,Velkk Magus,75,273,00 00 00 00 00 00 00 00 00 00 00 00 4b 00 11 01
76,2432,Spinescent Protu,76,273,62 65 72 61 6e 63 65 00 00 00 00 00 4c 00 11 01
77,2464,Velkk Reaver,77,273,00 00 00 00 00 00 00 00 00 00 00 00 4d 00 11 01
78,2496,Velkk Reaver,78,273,00 00 00 00 00 00 00 00 00 00 00 00 4e 00 11 01
79,2528,Velkk Reaver,79,273,00 00 00 00 00 00 00 00 00 00 00 00 4f 00 11 01
80,2560,Velkk Reaver,80,273,00 00 00 00 00 00 00 00 00 00 00 00 50 00 11 01
81,2592,Spinescent Protu,81,273,62 65 72 61 6e 63 65 00 00 00 00 00 51 00 11 01
82,2624,Velkk Stormcalle,82,273,72 00 00 00 00 00 00 00 00 00 00 00 52 00 11 01
83,2656,Velkk Stormcalle,83,273,72 00 00 00 00 00 00 00 00 00 00 00 53 00 11 01
84,2688,Velkk Stormcalle,84,273,72 00 00 00 00 00 00 00 00 00 00 00 54 00 11 01
85,2720,Velkk Stormcalle,85,273,72 00 00 00 00 00 00 00 00 00 00 00 55 00 11 01
86,2752,Spinescent Protu,86,273,62 65 72 61 6e 63 65 00 00 00 00 00 56 00 11 01
87,2784,Unyielding Taric,87,273,68 75 6b 00 00 00 00 00 00 00 00 00 57 00 11 01
88,2816,Unyielding Taric,88,273,68 75 6b 00 00 00 00 00 00 00 00 00 58 00 11 01
89,2848,Velkk Reaver,89,273,00 00 00 00 00 00 00 00 00 00 00 00 59 00 11 01
90,2880,Velkk Reaver,90,273,00 00 00 00 00 00 00 00 00 00 00 00 5a 00 11 01
91,2912,Velkk Berserker,91,273,00 00 00 00 00 00 00 00 00 00 00 00 5b 00 11 01
92,2944,Velkk Berserker,92,273,00 00 00 00 00 00 00 00 00 00 00 00 5c 00 11 01
93,2976,Velkk Magus,93,273,00 00 00 00 00 00 00 00 00 00 00 00 5d 00 11 01
94,3008,Velkk Magus,94,273,00 00 00 00 00 00 00 00 00 00 00 00 5e 00 11 01
95,3040,Velkk Stormcalle,95,273,72 00 00 00 00 00 00 00 00 00 00 00 5f 00 11 01
96,3072,Velkk Stormcalle,96,273,72 00 00 00 00 00 00 00 00 00 00 00 60 00 11 01
97,3104,Spinescent Protu,97,273,62 65 72 61 6e 63 65 00 00 00 00 00 61 00 11 01
98,3136,Spinescent Protu,98,273,62 65 72 61 6e 63 65 00 00 00 00 00 62 00 11 01
99,3168,Pungent Fungus,99,273,00 00 00 00 00 00 00 00 00 00 00 00 63 00 11 01
100,3200,Pungent Fungus,100,273,00 00 00 00 00 00 00 00 00 00 00 00 64 00 11 01
101,3232,Blightdella,101,273,00 00 00 00 00 00 00 00 00 00 00 00 65 00 11 01
102,3264,Blightdella,102,273,00 00 00 00 00 00 00 00 00 00 00 00 66 00 11 01
103,3296,Spumous Slug,103,273,00 00 00 00 00 00 00 00 00 00 00 00 67 00 11 01
104,3328,Spumous Slug,104,273,00 00 00 00 00 00 00 00 00 00 00 00 68 00 11 01
105,3360,Pungent Fungus,105,273,00 00 00 00 00 00 00 00 00 00 00 00 69 00 11 01
106,3392,Pungent Fungus,106,273,00 00 00 00 00 00 00 00 00 00 00 00 6a 00 11 01
107,3424,Void Worm,107,273,00 00 00 00 00 00 00 00 00 00 00 00 6b 00 11 01
108,3456,Void Worm,108,273,00 00 00 00 00 00 00 00 00 00 00 00 6c 00 11 01
109,3488,Spinescent Protu,109,273,62 65 72 61 6e 63 65 00 00 00 00 00 6d 00 11 01
110,3520,Spinescent Protu,110,273,62 65 72 61 6e 63 65 00 00 00 00 00 6e 00 11 01
111,3552,Spinescent Protu,111,273,62 65 72 61 6e 63 65 00 00 00 00 00 6f 00 11 01
112,3584,Spinescent Protu,112,273,62 65 72 61 6e 63 65 00 00 00 00 00 70 00 11 01
113,3616,Twilight Bat,113,273,00 00 00 00 00 00 00 00 00 00 00 00 71 00 11 01
114,3648,Twilight Bat,114,273,00 00 00 00 00 00 00 00 00 00 00 00 72 00 11 01
115,3680,Leafdancer Twith,115,273,65 72 79 6d 00 00 00 00 00 00 00 00 73 00 11 01
116,3712,Leafdancer Twith,116,273,65 72 79 6d 00 00 00 00 00 00 00 00 74 00 11 01
117,3744,Slinking Slug,117,273,00 00 00 00 00 00 00 00 00 00 00 00 75 00 11 01
118,3776,Slinking Slug,118,273,00 00 00 00 00 00 00 00 00 00 00 00 76 00 11 01
119,3808,Bloodspattered F,119,273,6c 79 00 00 00 00 00 00 00 00 00 00 77 00 11 01
120,3840,Midnight Worm,120,273,00 00 00 00 00 00 00 00 00 00 00 00 78 00 11 01
121,3872,Midnight Worm,121,273,00 00 00 00 00 00 00 00 00 00 00 00 79 00 11 01
122,3904,Bloodspattered F,122,273,6c 79 00 00 00 00 00 00 00 00 00 00 7a 00 11 01
