index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Chrysoberyl Jagi,4097,273,6c 00 00 00 00 00 00 00 00 00 00 00 01 10 11 01
2,64,Chrysoberyl Jagi,4098,273,6c 00 00 00 00 00 00 00 00 00 00 00 02 10 11 01
3,96,Chrysoberyl Jagi,4099,273,6c 00 00 00 00 00 00 00 00 00 00 00 03 10 11 01
4,128,Deadwater Toad,4100,273,00 00 00 00 00 00 00 00 00 00 00 00 04 10 11 01
5,160,Deadwater Toad,4101,273,00 00 00 00 00 00 00 00 00 00 00 00 05 10 11 01
6,192,Knotted Root,4102,273,00 00 00 00 00 00 00 00 00 00 00 00 06 10 11 01
7,224,Knotted Root,4103,273,00 00 00 00 00 00 00 00 00 00 00 00 07 10 11 01
8,256,Stonesoftener Ac,4104,273,75 65 78 00 00 00 00 00 00 00 00 00 08 10 11 01
9,288,Stonesoftener Ac,4105,273,75 65 78 00 00 00 00 00 00 00 00 00 09 10 11 01
10,320,Stonesoftener Ac,4106,273,75 65 78 00 00 00 00 00 00 00 00 00 0a 10 11 01
11,352,Stonesoftener Ac,4107,273,75 65 78 00 00 00 00 00 00 00 00 00 0b 10 11 01
12,384,Knotted Root,4108,273,00 00 00 00 00 00 00 00 00 00 00 00 0c 10 11 01
13,416,Knotted Root,4109,273,00 00 00 00 00 00 00 00 00 00 00 00 0d 10 11 01
14,448,Draftrider Bat,4110,273,00 00 00 00 00 00 00 00 00 00 00 00 0e 10 11 01
15,480,Draftrider Bat,4111,273,00 00 00 00 00 00 00 00 00 00 00 00 0f 10 11 01
16,512,Draftrider Bat,4112,273,00 00 00 00 00 00 00 00 00 00 00 00 10 10 11 01
17,544,Draftrider Bat,4113,273,00 00 00 00 00 00 00 00 00 00 00 00 11 10 11 01
18,576,Cliffclinger Toa,4114,273,64 00 00 00 00 00 00 00 00 00 00 00 12 10 11 01
19,608,Cliffclinger Toa,4115,273,64 00 00 00 00 00 00 00 00 00 00 00 13 10 11 01
20,640,Cliffclinger Toa,4116,273,64 00 00 00 00 00 00 00 00 00 00 00 14 10 11 01
21,672,Drusy Twitherym,4117,273,00 00 00 00 00 00 00 00 00 00 00 00 15 10 11 01
22,704,Drusy Twitherym,4118,273,00 00 00 00 00 00 00 00 00 00 00 00 16 10 11 01
