offset,token
1638,corpS
1651,corp
1675,tlk0
1699,tlk1
1723,sha0S
1736,sha0
1760,sha1S
1773,sha1
1800,pas0
2716,main
2736,who1
2753,who1
2771,fdo1
2788,fdo1EY
2803,whi1
5629,fdo1
5646,main
5666,who1
5683,who1
5701,fdo1
5718,fdo1EY
5733,whi1
42387,main
42407,who1
42424,who1
42442,fdo1
42474,whi1
43898,main
43966,main
44034,main
44102,main
44146,main
44177,fdo1
44435,fdo1
44452,fdo18
44525,s001
44542,fdi1
44559,fdi1
44597,s001
44620,s027
44648,s020
44676,s020
44704,s027
44724,s012
44769,s027
44795,s020
44821,s020
44847,s027
44865,s012E
44880,s002
44943,s002
44966,s020
44994,s020
45014,s003
45086,s020
45112,s020
45130,s003E
45145,s004
45170,fdo1
45223,s004
45246,s021
45274,s021
45294,s005
45318,fdi1
45335,fdi1+
45372,s021
45398,s021
45416,s005
45439,s022
45467,s022
45487,s006
45561,s022
45587,s022
45605,s006E
45620,s007
45690,fdo1
45890,s009
45907,fdi1
45924,fdi1
45942,s009E
45957,s008
45997,s009
46020,s023
46048,s023
46068,s010
46116,s023
46142,s023
46160,s010
46183,s011
46203,s024
46266,s011
46284,s024
46307,s013
46335,s013
46363,s013
46383,s026
46438,s013
46464,s013
46490,s013
46528,s000
46593,s000E
46608,s014
46663,s014E
46678,s015
46738,se01
46771,s015E
46786,s016
46839,s016E
46854,s017
46894,s017
46917,s025
46945,s025
46965,s018
47041,s025
47067,s025
47085,s018E
47100,s019
47165,fdo1
47182,fdo1R
47239,qstc
47258,fdi1
47944,tlk0
47958,tlk0
47974,tlk1
47988,tlk1
48004,pas0
48018,pas0
48034,tlb0
48048,tlb0
48064,tlb1
48078,tlb1
48094,thk0
48108,thk0
48124,thk1
48138,thk1
48154,thk2
48168,thk2
48184,wav0
48198,wav0
48214,dis0
48228,dis0
48244,kas0
48258,kas0
48274,at00
48288,at00
48304,btl0
48318,btl0
48334,utl0
48348,utl0
48364,utl1
48378,utl1
48394,ntl0
48408,ntl0
48424,ntl1
48438,ntl1
48454,ngt0
48468,ngt0
48484,ngt1
48498,ngt1
48514,aig0
48528,aig0
48544,aig1
48558,aig1
48574,aig0S
48587,aig0f
48602,aig1S
48615,aig1
48631,unz0
48645,unz0
48661,dk00
48675,dk00
48691,dk01
48705,dk01
48721,dku0
48735,dku0
49182,pas0S
49195,pas0
49278,dk00S
49291,dk00
49407,anb1
49421,anb1
49437,anc0
49451,anc0
49467,shal
49481,shal
49497,sha1
49511,sha1
49620,Lerene
50185,fdo1
50202,fdo18
50454,fdi2
50681,fdo1
50698,fdo18
50950,fdi2
51177,fdo1
51194,fdo18
51446,fdi2
51673,fdo1
51690,fdo18
51942,fdi2
52169,fdo1
52186,fdo18
52438,fdi2
52665,fdo1
52682,fdo18
52934,fdi2
53201,fdo1
53218,fdo1F
53264,s056
53297,s057
53314,fdi1
53331,fdi1
53377,fdo1
53394,fdo1
53420,s056
53463,s058
53480,fdi1
53531,s058E
53546,s061
53570,fdo1
53587,fdo1R
53602,s061
53620,s057
53663,s059
53680,fdi1
53697,fdi1-
53744,s059E
53759,s060
53783,fdo1
54102,fdi2
54377,fdo1
