index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Legionless Draug,8193,273,61 72 00 00 00 00 00 00 00 00 00 00 01 20 11 01
2,64,Legionless Draug,8194,273,61 72 00 00 00 00 00 00 00 00 00 00 02 20 11 01
3,96,Legionless Draug,8195,273,61 72 00 00 00 00 00 00 00 00 00 00 03 20 11 01
4,128,Legionless Draug,8196,273,61 72 00 00 00 00 00 00 00 00 00 00 04 20 11 01
5,160,Dreadhound,8197,273,00 00 00 00 00 00 00 00 00 00 00 00 05 20 11 01
6,192,Dreadhound,8198,273,00 00 00 00 00 00 00 00 00 00 00 00 06 20 11 01
7,224,Legionless Draug,8199,273,61 72 00 00 00 00 00 00 00 00 00 00 07 20 11 01
8,256,Legionless Draug,8200,273,61 72 00 00 00 00 00 00 00 00 00 00 08 20 11 01
9,288,Dreadhound,8201,273,00 00 00 00 00 00 00 00 00 00 00 00 09 20 11 01
10,320,Legionless Draug,8202,273,61 72 00 00 00 00 00 00 00 00 00 00 0a 20 11 01
11,352,Legionless Draug,8203,273,61 72 00 00 00 00 00 00 00 00 00 00 0b 20 11 01
12,384,Legionless Draug,8204,273,61 72 00 00 00 00 00 00 00 00 00 00 0c 20 11 01
13,416,Dreadhound,8205,273,00 00 00 00 00 00 00 00 00 00 00 00 0d 20 11 01
14,448,Restless Twither,8206,273,79 6d 00 00 00 00 00 00 00 00 00 00 0e 20 11 01
15,480,Restless Twither,8207,273,79 6d 00 00 00 00 00 00 00 00 00 00 0f 20 11 01
16,512,Shunned Deeparro,8208,273,77 00 00 00 00 00 00 00 00 00 00 00 10 20 11 01
17,544,Shunned Deeparro,8209,273,77 00 00 00 00 00 00 00 00 00 00 00 11 20 11 01
18,576,Shunned Nightsta,8210,273,6c 6b 65 72 00 00 00 00 00 00 00 00 12 20 11 01
19,608,Shunned Hexer,8211,273,00 00 00 00 00 00 00 00 00 00 00 00 13 20 11 01
20,640,Shunned Hexer,8212,273,00 00 00 00 00 00 00 00 00 00 00 00 14 20 11 01
21,672,Shunned Nightsta,8213,273,6c 6b 65 72 00 00 00 00 00 00 00 00 15 20 11 01
22,704,Debauched Unseel,8214,273,69 65 00 00 00 00 00 00 00 00 00 00 16 20 11 01
23,736,Debauched Unseel,8215,273,69 65 00 00 00 00 00 00 00 00 00 00 17 20 11 01
24,768,Phlegmatic Byrge,8216,273,6e 00 00 00 00 00 00 00 00 00 00 00 18 20 11 01
25,800,Phlegmatic Byrge,8217,273,6e 00 00 00 00 00 00 00 00 00 00 00 19 20 11 01
26,832,Debauched Unseel,8218,273,69 65 00 00 00 00 00 00 00 00 00 00 1a 20 11 01
27,864,Debauched Unseel,8219,273,69 65 00 00 00 00 00 00 00 00 00 00 1b 20 11 01
28,896,Phlegmatic Byrge,8220,273,6e 00 00 00 00 00 00 00 00 00 00 00 1c 20 11 01
29,928,Phlegmatic Byrge,8221,273,6e 00 00 00 00 00 00 00 00 00 00 00 1d 20 11 01
30,960,Debauched Unseel,8222,273,69 65 00 00 00 00 00 00 00 00 00 00 1e 20 11 01
31,992,Debauched Unseel,8223,273,69 65 00 00 00 00 00 00 00 00 00 00 1f 20 11 01
32,1024,Phlegmatic Byrge,8224,273,6e 00 00 00 00 00 00 00 00 00 00 00 20 20 11 01
33,1056,Phlegmatic Byrge,8225,273,6e 00 00 00 00 00 00 00 00 00 00 00 21 20 11 01
34,1088,Phlegmatic Byrge,8226,273,6e 00 00 00 00 00 00 00 00 00 00 00 22 20 11 01
35,1120,Phlegmatic Byrge,8227,273,6e 00 00 00 00 00 00 00 00 00 00 00 23 20 11 01
36,1152,Undulating Umbri,8228,273,6c 00 00 00 00 00 00 00 00 00 00 00 24 20 11 01
37,1184,Undulating Umbri,8229,273,6c 00 00 00 00 00 00 00 00 00 00 00 25 20 11 01
38,1216,Undulating Umbri,8230,273,6c 00 00 00 00 00 00 00 00 00 00 00 26 20 11 01
39,1248,Undulating Umbri,8231,273,6c 00 00 00 00 00 00 00 00 00 00 00 27 20 11 01
40,1280,Phlegmatic Byrge,8232,273,6e 00 00 00 00 00 00 00 00 00 00 00 28 20 11 01
41,1312,Undulating Umbri,8233,273,6c 00 00 00 00 00 00 00 00 00 00 00 29 20 11 01
42,1344,Undulating Umbri,8234,273,6c 00 00 00 00 00 00 00 00 00 00 00 2a 20 11 01
43,1376,Phlegmatic Byrge,8235,273,6e 00 00 00 00 00 00 00 00 00 00 00 2b 20 11 01
44,1408,Undulating Umbri,8236,273,6c 00 00 00 00 00 00 00 00 00 00 00 2c 20 11 01
45,1440,Undulating Umbri,8237,273,6c 00 00 00 00 00 00 00 00 00 00 00 2d 20 11 01
46,1472,Undulating Umbri,8238,273,6c 00 00 00 00 00 00 00 00 00 00 00 2e 20 11 01
47,1504,Phlegmatic Byrge,8239,273,6e 00 00 00 00 00 00 00 00 00 00 00 2f 20 11 01
48,1536,Fluturini,8240,273,00 00 00 00 00 00 00 00 00 00 00 00 30 20 11 01
49,1568,Fluturini,8241,273,00 00 00 00 00 00 00 00 00 00 00 00 31 20 11 01
50,1600,Restless Twither,8242,273,79 6d 00 00 00 00 00 00 00 00 00 00 32 20 11 01
51,1632,Restless Twither,8243,273,79 6d 00 00 00 00 00 00 00 00 00 00 33 20 11 01
52,1664,Restless Twither,8244,273,79 6d 00 00 00 00 00 00 00 00 00 00 34 20 11 01
53,1696,Restless Twither,8245,273,79 6d 00 00 00 00 00 00 00 00 00 00 35 20 11 01
54,1728,Restless Twither,8246,273,79 6d 00 00 00 00 00 00 00 00 00 00 36 20 11 01
55,1760,Restless Twither,8247,273,79 6d 00 00 00 00 00 00 00 00 00 00 37 20 11 01
56,1792,Astringent Acuex,8248,273,00 00 00 00 00 00 00 00 00 00 00 00 38 20 11 01
57,1824,Astringent Acuex,8249,273,00 00 00 00 00 00 00 00 00 00 00 00 39 20 11 01
58,1856,Obfuscous Obdell,8250,273,61 00 00 00 00 00 00 00 00 00 00 00 3a 20 11 01
59,1888,Obfuscous Obdell,8251,273,61 00 00 00 00 00 00 00 00 00 00 00 3b 20 11 01
60,1920,Astringent Acuex,8252,273,00 00 00 00 00 00 00 00 00 00 00 00 3c 20 11 01
61,1952,Astringent Acuex,8253,273,00 00 00 00 00 00 00 00 00 00 00 00 3d 20 11 01
62,1984,Astringent Acuex,8254,273,00 00 00 00 00 00 00 00 00 00 00 00 3e 20 11 01
63,2016,Obfuscous Obdell,8255,273,61 00 00 00 00 00 00 00 00 00 00 00 3f 20 11 01
64,2048,Astringent Acuex,8256,273,00 00 00 00 00 00 00 00 00 00 00 00 40 20 11 01
65,2080,Astringent Acuex,8257,273,00 00 00 00 00 00 00 00 00 00 00 00 41 20 11 01
66,2112,Obfuscous Obdell,8258,273,61 00 00 00 00 00 00 00 00 00 00 00 42 20 11 01
67,2144,Obfuscous Obdell,8259,273,61 00 00 00 00 00 00 00 00 00 00 00 43 20 11 01
68,2176,Obfuscous Obdell,8260,273,61 00 00 00 00 00 00 00 00 00 00 00 44 20 11 01
69,2208,Obfuscous Obdell,8261,273,61 00 00 00 00 00 00 00 00 00 00 00 45 20 11 01
70,2240,Obfuscous Obdell,8262,273,61 00 00 00 00 00 00 00 00 00 00 00 46 20 11 01
71,2272,Legionless Draug,8263,273,61 72 00 00 00 00 00 00 00 00 00 00 47 20 11 01
