index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Acrimonious Dull,12289,273,61 68 61 6e 00 00 00 00 00 00 00 00 01 30 11 01
2,64,Cantankerous Yzt,12290,273,61 72 67 00 00 00 00 00 00 00 00 00 02 30 11 01
3,96,Impervious Marol,12291,273,69 74 68 00 00 00 00 00 00 00 00 00 03 30 11 01
4,128,Shambling Naraka,12292,273,00 00 00 00 00 00 00 00 00 00 00 00 04 30 11 01
5,160,Watchdog Orthrus,12293,273,00 00 00 00 00 00 00 00 00 00 00 00 05 30 11 01
6,192,Unwavering Ironc,12294,273,6c 61 64 00 00 00 00 00 00 00 00 00 06 30 11 01
7,224,Jaunting Yecuex,12295,273,00 00 00 00 00 00 00 00 00 00 00 00 07 30 11 01
8,256,Tweeting Caeferl,12296,273,69 00 00 00 00 00 00 00 00 00 00 00 08 30 11 01
9,288,Snorting Skormot,12297,273,68 00 00 00 00 00 00 00 00 00 00 00 09 30 11 01
10,320,Wafting Fluturin,12298,273,69 00 00 00 00 00 00 00 00 00 00 00 0a 30 11 01
11,352,Splenetic Umbril,12299,273,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 11 01
12,384,Splenetic Umbril,12300,273,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 11 01
13,416,Splenetic Umbril,12301,273,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 11 01
14,448,Breathless Clans,12302,273,6d 61 6e 00 00 00 00 00 00 00 00 00 0e 30 11 01
15,480,Breathless Clans,12303,273,6d 61 6e 00 00 00 00 00 00 00 00 00 0f 30 11 01
16,512,Breathless Clans,12304,273,6d 61 6e 00 00 00 00 00 00 00 00 00 10 30 11 01
17,544,Effluvial Acuex,12305,273,00 00 00 00 00 00 00 00 00 00 00 00 11 30 11 01
18,576,Effluvial Acuex,12306,273,00 00 00 00 00 00 00 00 00 00 00 00 12 30 11 01
19,608,Effluvial Acuex,12307,273,00 00 00 00 00 00 00 00 00 00 00 00 13 30 11 01
20,640,Dismal Djinn,12308,273,00 00 00 00 00 00 00 00 00 00 00 00 14 30 11 01
21,672,Dismal Djinn,12309,273,00 00 00 00 00 00 00 00 00 00 00 00 15 30 11 01
22,704,Dismal Djinn,12310,273,00 00 00 00 00 00 00 00 00 00 00 00 16 30 11 01
23,736,Splenetic Umbril,12311,273,00 00 00 00 00 00 00 00 00 00 00 00 17 30 11 01
24,768,Splenetic Umbril,12312,273,00 00 00 00 00 00 00 00 00 00 00 00 18 30 11 01
25,800,Splenetic Umbril,12313,273,00 00 00 00 00 00 00 00 00 00 00 00 19 30 11 01
26,832,Breathless Clans,12314,273,6d 61 6e 00 00 00 00 00 00 00 00 00 1a 30 11 01
27,864,Breathless Clans,12315,273,6d 61 6e 00 00 00 00 00 00 00 00 00 1b 30 11 01
28,896,Breathless Clans,12316,273,6d 61 6e 00 00 00 00 00 00 00 00 00 1c 30 11 01
29,928,Effluvial Acuex,12317,273,00 00 00 00 00 00 00 00 00 00 00 00 1d 30 11 01
30,960,Effluvial Acuex,12318,273,00 00 00 00 00 00 00 00 00 00 00 00 1e 30 11 01
31,992,Effluvial Acuex,12319,273,00 00 00 00 00 00 00 00 00 00 00 00 1f 30 11 01
32,1024,Dismal Djinn,12320,273,00 00 00 00 00 00 00 00 00 00 00 00 20 30 11 01
33,1056,Dismal Djinn,12321,273,00 00 00 00 00 00 00 00 00 00 00 00 21 30 11 01
34,1088,Dismal Djinn,12322,273,00 00 00 00 00 00 00 00 00 00 00 00 22 30 11 01
35,1120,Burnished Mimic,12323,273,00 00 00 00 00 00 00 00 00 00 00 00 23 30 11 01
36,1152,Burnished Mimic,12324,273,00 00 00 00 00 00 00 00 00 00 00 00 24 30 11 01
37,1184,Burnished Mimic,12325,273,00 00 00 00 00 00 00 00 00 00 00 00 25 30 11 01
38,1216,Burnished Mimic,12326,273,00 00 00 00 00 00 00 00 00 00 00 00 26 30 11 01
39,1248,Burnished Mimic,12327,273,00 00 00 00 00 00 00 00 00 00 00 00 27 30 11 01
40,1280,Spooked Heartwin,12328,273,67 00 00 00 00 00 00 00 00 00 00 00 28 30 11 01
41,1312,Putraxia,12329,273,00 00 00 00 00 00 00 00 00 00 00 00 29 30 11 01
42,1344,Fire Elemental,12330,273,00 00 00 00 00 00 00 00 00 00 00 00 2a 30 11 01
43,1376,Ice Elemental,12331,273,00 00 00 00 00 00 00 00 00 00 00 00 2b 30 11 01
44,1408,Earth Elemental,12332,273,00 00 00 00 00 00 00 00 00 00 00 00 2c 30 11 01
45,1440,Air Elemental,12333,273,00 00 00 00 00 00 00 00 00 00 00 00 2d 30 11 01
46,1472,Thunder Elementa,12334,273,6c 00 00 00 00 00 00 00 00 00 00 00 2e 30 11 01
47,1504,Water Elemental,12335,273,00 00 00 00 00 00 00 00 00 00 00 00 2f 30 11 01
48,1536,Light Elemental,12336,273,00 00 00 00 00 00 00 00 00 00 00 00 30 30 11 01
49,1568,Dark Elemental,12337,273,00 00 00 00 00 00 00 00 00 00 00 00 31 30 11 01
50,1600,Fire Elemental,12338,273,00 00 00 00 00 00 00 00 00 00 00 00 32 30 11 01
51,1632,Fire Elemental,12339,273,00 00 00 00 00 00 00 00 00 00 00 00 33 30 11 01
52,1664,Fire Elemental,12340,273,00 00 00 00 00 00 00 00 00 00 00 00 34 30 11 01
53,1696,Fire Elemental,12341,273,00 00 00 00 00 00 00 00 00 00 00 00 35 30 11 01
54,1728,Fire Elemental,12342,273,00 00 00 00 00 00 00 00 00 00 00 00 36 30 11 01
55,1760,Fire Elemental,12343,273,00 00 00 00 00 00 00 00 00 00 00 00 37 30 11 01
56,1792,Fire Elemental,12344,273,00 00 00 00 00 00 00 00 00 00 00 00 38 30 11 01
57,1824,Fire Elemental,12345,273,00 00 00 00 00 00 00 00 00 00 00 00 39 30 11 01
58,1856,Wicked Baelfyr,12346,273,00 00 00 00 00 00 00 00 00 00 00 00 3a 30 11 01
59,1888,Ice Elemental,12347,273,00 00 00 00 00 00 00 00 00 00 00 00 3b 30 11 01
60,1920,Ice Elemental,12348,273,00 00 00 00 00 00 00 00 00 00 00 00 3c 30 11 01
61,1952,Ice Elemental,12349,273,00 00 00 00 00 00 00 00 00 00 00 00 3d 30 11 01
62,1984,Ice Elemental,12350,273,00 00 00 00 00 00 00 00 00 00 00 00 3e 30 11 01
63,2016,Ice Elemental,12351,273,00 00 00 00 00 00 00 00 00 00 00 00 3f 30 11 01
64,2048,Ice Elemental,12352,273,00 00 00 00 00 00 00 00 00 00 00 00 40 30 11 01
65,2080,Ice Elemental,12353,273,00 00 00 00 00 00 00 00 00 00 00 00 41 30 11 01
66,2112,Ice Elemental,12354,273,00 00 00 00 00 00 00 00 00 00 00 00 42 30 11 01
67,2144,Conniving Gefyrs,12355,273,74 00 00 00 00 00 00 00 00 00 00 00 43 30 11 01
68,2176,Earth Elemental,12356,273,00 00 00 00 00 00 00 00 00 00 00 00 44 30 11 01
69,2208,Earth Elemental,12357,273,00 00 00 00 00 00 00 00 00 00 00 00 45 30 11 01
70,2240,Earth Elemental,12358,273,00 00 00 00 00 00 00 00 00 00 00 00 46 30 11 01
71,2272,Earth Elemental,12359,273,00 00 00 00 00 00 00 00 00 00 00 00 47 30 11 01
72,2304,Earth Elemental,12360,273,00 00 00 00 00 00 00 00 00 00 00 00 48 30 11 01
73,2336,Earth Elemental,12361,273,00 00 00 00 00 00 00 00 00 00 00 00 49 30 11 01
74,2368,Earth Elemental,12362,273,00 00 00 00 00 00 00 00 00 00 00 00 4a 30 11 01
75,2400,Earth Elemental,12363,273,00 00 00 00 00 00 00 00 00 00 00 00 4b 30 11 01
76,2432,Vile Byrgen,12364,273,00 00 00 00 00 00 00 00 00 00 00 00 4c 30 11 01
77,2464,Air Elemental,12365,273,00 00 00 00 00 00 00 00 00 00 00 00 4d 30 11 01
78,2496,Air Elemental,12366,273,00 00 00 00 00 00 00 00 00 00 00 00 4e 30 11 01
79,2528,Air Elemental,12367,273,00 00 00 00 00 00 00 00 00 00 00 00 4f 30 11 01
80,2560,Air Elemental,12368,273,00 00 00 00 00 00 00 00 00 00 00 00 50 30 11 01
81,2592,Air Elemental,12369,273,00 00 00 00 00 00 00 00 00 00 00 00 51 30 11 01
82,2624,Air Elemental,12370,273,00 00 00 00 00 00 00 00 00 00 00 00 52 30 11 01
83,2656,Air Elemental,12371,273,00 00 00 00 00 00 00 00 00 00 00 00 53 30 11 01
84,2688,Air Elemental,12372,273,00 00 00 00 00 00 00 00 00 00 00 00 54 30 11 01
