npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
301,Noetic Ascension,12602,273,1,412,536,73.71,12.78,73.72,65,7371,1278,7372,7371 7372 1278 768 16977922 51380992 268697602 83886851
302,Noetic Ascension,12603,273,1,1828,1952,73.71,12.78,73.72,65,7371,1278,7372,7371 7372 1278 768 16977922 51380992 268697602 83886851
303,Noetic Ascension,12604,273,1,3244,3368,73.71,12.78,73.72,65,7371,1278,7372,7371 7372 1278 768 16977922 51380992 268697602 83886851
304,Noetic Ascension,12605,273,1,4660,4784,73.71,12.78,73.72,65,7371,1278,7372,7371 7372 1278 768 16977922 51380992 268697602 83886851
305,Noetic Ascension,12606,273,1,6076,6200,73.71,12.78,73.72,65,7371,1278,7372,7371 7372 1278 768 16977922 51380992 268697602 83886851
306,Noetic Ascension,12607,273,1,7492,7616,73.71,12.78,73.72,65,7371,1278,7372,7371 7372 1278 768 16977922 51380992 268697602 83886851
307,Noetic Ascension,12608,273,1,8908,9032,73.71,12.78,73.72,65,7371,1278,7372,7371 7372 1278 768 16977922 51380992 268697602 83886851
308,Noetic Ascension,12609,273,1,10324,10448,73.71,12.78,73.72,65,7371,1278,7372,7371 7372 1278 768 16977922 51380992 268697602 83886851
309,Noetic Ascension,12610,273,1,11740,11864,73.71,12.78,73.72,65,7371,1278,7372,7371 7372 1278 768 16977922 51380992 268697602 83886851
310,Noetic Ascension,12611,273,1,13156,13280,73.71,12.78,73.72,65,7371,1278,7372,7371 7372 1278 768 16977922 51380992 268697602 83886851
311,Treasure Coffer,12619,273,1,14572,14612,0.11,73.79,73.78,35,11,7379,7378,11 7378 7379 1 -1 370 3 4259968
312,Treasure Coffer,12620,273,1,15008,15056,73.78,-0.01,73.79,10,7378,-1,7379,7378 7379 -1 370 3 21037184 41943680 1090519312
313,Treasure Coffer,12621,273,1,15444,15488,0.11,73.79,73.78,35,11,7379,7378,11 7378 7379 1 -1 370 3 21037184
314,Treasure Coffer,12622,273,1,15884,15928,0.11,73.79,73.78,35,11,7379,7378,11 7378 7379 1 -1 370 3 21037184
315,Treasure Coffer,12623,273,1,16324,16368,0.11,73.79,73.78,35,11,7379,7378,11 7378 7379 1 -1 370 3 21037184
316,Treasure Coffer,12624,273,1,16764,16808,0.11,73.79,73.78,35,11,7379,7378,11 7378 7379 1 -1 370 3 21037184
