index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Hades,20481,273,00 00 00 00 00 00 00 00 00 00 00 00 01 50 11 01
2,64,Arciela,20482,273,00 00 00 00 00 00 00 00 00 00 00 00 02 50 11 01
3,96,Hades,20483,273,00 00 00 00 00 00 00 00 00 00 00 00 03 50 11 01
4,128,Arciela,20484,273,00 00 00 00 00 00 00 00 00 00 00 00 04 50 11 01
5,160,Hades,20485,273,00 00 00 00 00 00 00 00 00 00 00 00 05 50 11 01
6,192,Arciela,20486,273,00 00 00 00 00 00 00 00 00 00 00 00 06 50 11 01
7,224,Hades,20487,273,00 00 00 00 00 00 00 00 00 00 00 00 07 50 11 01
8,256,Arciela,20488,273,00 00 00 00 00 00 00 00 00 00 00 00 08 50 11 01
9,288,Hades,20489,273,00 00 00 00 00 00 00 00 00 00 00 00 09 50 11 01
10,320,Arciela,20490,273,00 00 00 00 00 00 00 00 00 00 00 00 0a 50 11 01
11,352,Hades,20491,273,00 00 00 00 00 00 00 00 00 00 00 00 0b 50 11 01
12,384,Arciela,20492,273,00 00 00 00 00 00 00 00 00 00 00 00 0c 50 11 01
13,416,Teodor,20493,273,00 00 00 00 00 00 00 00 00 00 00 00 0d 50 11 01
14,448,Hades,20494,273,00 00 00 00 00 00 00 00 00 00 00 00 0e 50 11 01
15,480,Arciela,20495,273,00 00 00 00 00 00 00 00 00 00 00 00 0f 50 11 01
16,512,Teodor,20496,273,00 00 00 00 00 00 00 00 00 00 00 00 10 50 11 01
17,544,Hades,20497,273,00 00 00 00 00 00 00 00 00 00 00 00 11 50 11 01
18,576,Arciela,20498,273,00 00 00 00 00 00 00 00 00 00 00 00 12 50 11 01
19,608,Teodor,20499,273,00 00 00 00 00 00 00 00 00 00 00 00 13 50 11 01
20,640,Hades,20500,273,00 00 00 00 00 00 00 00 00 00 00 00 14 50 11 01
21,672,Arciela,20501,273,00 00 00 00 00 00 00 00 00 00 00 00 15 50 11 01
22,704,Teodor,20502,273,00 00 00 00 00 00 00 00 00 00 00 00 16 50 11 01
23,736,Hades,20503,273,00 00 00 00 00 00 00 00 00 00 00 00 17 50 11 01
