npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
91,JGL_BUILD_MASTER,20611,273,1,6760,6812,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
92,JGL_BUILD_MASTER,20612,273,1,12336,12388,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
93,JGL_BUILD_MASTER,20613,273,1,17912,17964,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
94,JGL_BUILD_MASTER,20614,273,1,23488,23540,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
95,JGL_BUILD_MASTER,20615,273,1,29064,29116,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
96,JGL_BUILD_MASTER,20616,273,1,34640,34692,0.04,10.0,72.62,45,4,1000,7262,4 7262 1000 995 905 3 900 895
120,Arciela,20678,273,459,47840,47968,21.37,208.78,1252.74,95,2137,20878,125274,2137 125274 20878 2138 -662536 -480000 -15123 4096
122,Hades,20680,273,597,47788,47968,21.37,208.78,1252.74,95,2137,20878,125274,2137 125274 20878 2138 -662536 -480000 -15123 4096
134,Ramblix,20692,273,2,108996,109120,80.77,0.6,2.0,70,8077,60,200,8077 200 60 485 1107369984 -266469342 1249902591 2147483632
142,Vertical Transit,20706,273,1,109624,109668,580.0,-300.0,200.0,100,58000,-30000,20000,58000 20000 -30000 2048 692 60 120 4
