index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Odin Prime,28673,273,00 00 00 00 00 00 00 00 00 00 00 00 01 70 11 01
2,64,Cait Sith,28674,273,00 00 00 00 00 00 00 00 00 00 00 00 02 70 11 01
3,96,Alexander,28675,273,00 00 00 00 00 00 00 00 00 00 00 00 03 70 11 01
4,128,Lady Lilith,28676,273,00 00 00 00 00 00 00 00 00 00 00 00 04 70 11 01
5,160,Aquila,28677,273,00 00 00 00 00 00 00 00 00 00 00 00 05 70 11 01
6,192,Haudrale,28678,273,00 00 00 00 00 00 00 00 00 00 00 00 06 70 11 01
7,224,Larzos,28679,273,00 00 00 00 00 00 00 00 00 00 00 00 07 70 11 01
8,256,Dark Gyves,28680,273,00 00 00 00 00 00 00 00 00 00 00 00 08 70 11 01
9,288,Dark Gyves,28681,273,00 00 00 00 00 00 00 00 00 00 00 00 09 70 11 01
10,320,Dark Gyves,28682,273,00 00 00 00 00 00 00 00 00 00 00 00 0a 70 11 01
11,352,Lilith Ascendant,28683,273,00 00 00 00 00 00 00 00 00 00 00 00 0b 70 11 01
12,384,Light Gyves,28684,273,00 00 00 00 00 00 00 00 00 00 00 00 0c 70 11 01
13,416,Light Gyves,28685,273,00 00 00 00 00 00 00 00 00 00 00 00 0d 70 11 01
14,448,Light Gyves,28686,273,00 00 00 00 00 00 00 00 00 00 00 00 0e 70 11 01
15,480,Light Gyves,28687,273,00 00 00 00 00 00 00 00 00 00 00 00 0f 70 11 01
16,512,Light Gyves,28688,273,00 00 00 00 00 00 00 00 00 00 00 00 10 70 11 01
17,544,Dark Gyves,28689,273,00 00 00 00 00 00 00 00 00 00 00 00 11 70 11 01
18,576,Dark Gyves,28690,273,00 00 00 00 00 00 00 00 00 00 00 00 12 70 11 01
19,608,Dark Gyves,28691,273,00 00 00 00 00 00 00 00 00 00 00 00 13 70 11 01
20,640,Dark Gyves,28692,273,00 00 00 00 00 00 00 00 00 00 00 00 14 70 11 01
21,672,Dark Gyves,28693,273,00 00 00 00 00 00 00 00 00 00 00 00 15 70 11 01
22,704,Dark Gyves,28694,273,00 00 00 00 00 00 00 00 00 00 00 00 16 70 11 01
23,736,Dark Gyves,28695,273,00 00 00 00 00 00 00 00 00 00 00 00 17 70 11 01
24,768,Dark Gyves,28696,273,00 00 00 00 00 00 00 00 00 00 00 00 18 70 11 01
25,800,Dark Gyves,28697,273,00 00 00 00 00 00 00 00 00 00 00 00 19 70 11 01
26,832,Dark Gyves,28698,273,00 00 00 00 00 00 00 00 00 00 00 00 1a 70 11 01
27,864,Dark Gyves,28699,273,00 00 00 00 00 00 00 00 00 00 00 00 1b 70 11 01
28,896,Dark Gyves,28700,273,00 00 00 00 00 00 00 00 00 00 00 00 1c 70 11 01
29,928,Dark Gyves,28701,273,00 00 00 00 00 00 00 00 00 00 00 00 1d 70 11 01
30,960,Dark Gyves,28702,273,00 00 00 00 00 00 00 00 00 00 00 00 1e 70 11 01
31,992,Dark Gyves,28703,273,00 00 00 00 00 00 00 00 00 00 00 00 1f 70 11 01
32,1024,Dark Gyves,28704,273,00 00 00 00 00 00 00 00 00 00 00 00 20 70 11 01
33,1056,Light Gyves,28705,273,00 00 00 00 00 00 00 00 00 00 00 00 21 70 11 01
34,1088,Light Gyves,28706,273,00 00 00 00 00 00 00 00 00 00 00 00 22 70 11 01
35,1120,Light Gyves,28707,273,00 00 00 00 00 00 00 00 00 00 00 00 23 70 11 01
36,1152,Light Gyves,28708,273,00 00 00 00 00 00 00 00 00 00 00 00 24 70 11 01
37,1184,Light Gyves,28709,273,00 00 00 00 00 00 00 00 00 00 00 00 25 70 11 01
38,1216,Light Gyves,28710,273,00 00 00 00 00 00 00 00 00 00 00 00 26 70 11 01
39,1248,Light Gyves,28711,273,00 00 00 00 00 00 00 00 00 00 00 00 27 70 11 01
40,1280,Light Gyves,28712,273,00 00 00 00 00 00 00 00 00 00 00 00 28 70 11 01
41,1312,Light Gyves,28713,273,00 00 00 00 00 00 00 00 00 00 00 00 29 70 11 01
42,1344,Light Gyves,28714,273,00 00 00 00 00 00 00 00 00 00 00 00 2a 70 11 01
43,1376,Light Gyves,28715,273,00 00 00 00 00 00 00 00 00 00 00 00 2b 70 11 01
44,1408,Light Gyves,28716,273,00 00 00 00 00 00 00 00 00 00 00 00 2c 70 11 01
45,1440,Light Gyves,28717,273,00 00 00 00 00 00 00 00 00 00 00 00 2d 70 11 01
46,1472,Light Gyves,28718,273,00 00 00 00 00 00 00 00 00 00 00 00 2e 70 11 01
47,1504,Light Gyves,28719,273,00 00 00 00 00 00 00 00 00 00 00 00 2f 70 11 01
48,1536,Light Gyves,28720,273,00 00 00 00 00 00 00 00 00 00 00 00 30 70 11 01
49,1568,Achieve Master,28722,273,00 00 00 00 00 00 00 00 00 00 00 00 32 70 11 01
50,1600,,28729,273,00 00 00 00 00 00 00 00 00 00 00 00 39 70 11 01
51,1632,Moogle,28739,273,00 00 00 00 00 00 00 00 00 00 00 00 43 70 11 01
52,1664,Moogle,28740,273,00 00 00 00 00 00 00 00 00 00 00 00 44 70 11 01
53,1696,Moogle,28741,273,00 00 00 00 00 00 00 00 00 00 00 00 45 70 11 01
54,1728,Moogle,28742,273,00 00 00 00 00 00 00 00 00 00 00 00 46 70 11 01
55,1760,Moogle,28743,273,00 00 00 00 00 00 00 00 00 00 00 00 47 70 11 01
56,1792,Moogle,28744,273,00 00 00 00 00 00 00 00 00 00 00 00 48 70 11 01
57,1824,Moogle,28745,273,00 00 00 00 00 00 00 00 00 00 00 00 49 70 11 01
58,1856,Moogle,28746,273,00 00 00 00 00 00 00 00 00 00 00 00 4a 70 11 01
59,1888,,28747,273,00 00 00 00 00 00 00 00 00 00 00 00 4b 70 11 01
