offset,token
2132,fdi2
2170,fdo0
2187,fdo0
2208,fdi0
2383,pas0
2537,sha0
2561,sha1
2698,s000
2715,se02
2750,s001
2767,sek2
2782,deadS
2808,corpS
2821,corp
2847,s000
2864,se02
2884,s001
2901,sek2
2916,deadS
2942,corpS
2955,corp
3212,tlk0
3236,tlk1
4957,i0on
4973,i1on
4989,i2on
5005,i3on
5269,efon
5291,efof
9456,fdo0
9473,fdo0
9494,fdi0
9511,fdi0
9528,fdo0
9545,fdo0
9606,fdi0
9623,fdi0
12799,thb0
12818,thb1
12898,thb0
12917,thb1
12947,thb0
12966,thb1
13042,thb0
13061,thb1
13209,thb0
13232,thb1
13262,thb0
13439,s0064
13456,tlk0
13470,tlk0
13486,std0
13500,std0
13516,s0084
13533,gak0
13547,gak0
13563,gak1
13577,gak1
13593,s0094
13610,kru0
13624,kru0
13640,std0
13654,std0
13670,s0054
13687,hap0
13701,hap0
13717,std0
13731,std0
13747,bru0
13761,bru0
13777,std0
13791,std0
13807,oji0
13821,oji0
13837,lup0
13851,lup0
13867,lup1
13881,lup1
13897,yes1
13911,yes1
13927,kyo0
13941,kyo0
13957,s0084
13974,ksu0
13988,ksu0
14004,s0084
14021,ang0
14035,ang0
14051,pnt0
14065,pnt0
14081,thb0
14095,thb0
14111,thb1
14125,thb1
14141,wav0
14155,wav0
14171,pas0
14185,pas0
14201,pnc0
14215,pnc0
14233,dam0
14248,s0004
14264,dam0
14280,s0004
14296,nag0
14312,s0014
14328,nag1
14344,kill4
14360,nag2
14376,bru1S
14389,bru1
14403,dan0S
14429,dan0S
14455,dan1S
14481,dan0S
14507,dan0S
14533,dan2S
14559,dan3S
14572,dan3
14586,dan3S
14612,dae3
14626,dae3
14642,nstdS
14655,nstd
14671,tit0
14685,tit0
14701,tit1
14730,nstdS
14743,nstd
14759,cme0
14773,cme0
14789,ueo0
14803,ueo0
14819,ueo1
14833,ueo1
14860,opEk
14873,s0064
14890,tlk0
14939,pnt0
14991,thb0
15040,pnc0
15061,opEk
15074,s0084
15091,ang0
15127,pnt0
15157,yes1
15174,yes1Ek
15189,s0084
15206,ksu0
15223,opEk
15236,s0064
15253,tlk0
15528,wav0S
15541,wav02
15635,s0054
15652,hap0
15669,hap0
15688,std0S
15716,pnt0
15733,pnt0Ek
15748,s0064
