npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
4,Green Thumb Moog,32797,273,2242,348691,348735,74.31,-5.12,76.8,65,7431,-512,7680,7431 7680 -512 511 512 768 1024 288256
6,Mog Dinghy,32799,273,1,35944,36112,-25.17,4.52,-50.68,105,-2517,452,-5068,-2517 -5068 452 3317 72 361160 -554770 -3340
7,Garden Furrow,32800,273,178,42488,42556,73.38,36.0,73.4,30,7338,3600,7340,7338 7340 3600 60 7345 7346 4 7349
8,Garden Furrow #2,32801,273,178,50372,50444,73.38,36.0,73.4,30,7338,3600,7340,7338 7340 3600 60 7345 7346 4 7349
9,Garden Furrow #3,32802,273,178,58240,58308,73.38,36.0,73.4,30,7338,3600,7340,7338 7340 3600 60 7345 7346 4 7349
10,Arboreal Grove,32803,273,153,66092,66148,0.01,73.7,73.69,15,1,7370,7369,1 7369 7370 12 3 14 11 2
11,Arboreal Grove,32804,273,153,73160,73216,0.01,73.7,73.69,15,1,7370,7369,1 7369 7370 12 3 14 11 2
12,Arboreal Grove #,32805,273,153,80228,80284,0.01,73.7,73.69,15,1,7370,7369,1 7369 7370 12 3 14 11 2
13,Arboreal Grove #,32806,273,153,87296,87352,0.01,73.7,73.69,15,1,7370,7369,1 7369 7370 12 3 14 11 2
14,Arboreal Grove #,32807,273,153,94364,94420,0.01,73.7,73.69,15,1,7370,7369,1 7369 7370 12 3 14 11 2
15,Arboreal Grove #,32808,273,153,101432,101488,0.01,73.7,73.69,15,1,7370,7369,1 7369 7370 12 3 14 11 2
16,Arboreal Grove #,32809,273,153,108500,108556,0.01,73.7,73.69,15,1,7370,7369,1 7369 7370 12 3 14 11 2
17,Arboreal Grove #,32810,273,153,115568,115624,0.01,73.7,73.69,15,1,7370,7369,1 7369 7370 12 3 14 11 2
18,Mineral Vein,32811,273,153,122636,122692,0.01,73.85,73.84,30,1,7385,7384,1 7384 7385 2 7386 41 4 7
19,Mineral Vein,32812,273,153,129476,129532,0.01,73.85,73.84,30,1,7385,7384,1 7384 7385 2 7386 41 4 7
20,Mineral Vein #2,32813,273,153,136316,136372,0.01,73.85,73.84,30,1,7385,7384,1 7384 7385 2 7386 41 4 7
