offset,token
797,sha0S
810,sha0
834,sha1S
847,sha1
1039,tlk0
1063,tlk1
1201,sit0S
1214,sit0
1238,sit1S
1251,sit1
1275,tlk0
1293,tlk1
1320,pas0
1349,oou0
1378,oou1
1407,oou2
1431,mab0
1455,atp0
1521,ec01
1608,tlk0
1626,tlk1
1697,dak2
1726,dak3
1755,pia2
1780,mag0_
1796,hmma
1823,mag0_
1839,hfma
1866,mag0_
1882,emma
1909,mag0_
1925,efma
1952,mag0_
1968,trma
1995,mag0_
2011,trma
2038,mag0_
2054,mfma
2081,mag0_
2097,gmma
2124,tlk0
2150,tlk0
2176,tlk0
2202,tlk0
2228,tlk0
2254,tlk0
2280,tlk0
2306,tlk0
2322,tlk0
2346,tlk1
2372,tlk1
2398,tlk1
2424,tlk1
2450,tlk1
2476,tlk1
2502,tlk1
2528,tlk1
2544,tlk1
2736,tlk0
2750,tlk0
2766,tlk1
2780,tlk1
2796,btl0
2810,btl0
2826,poi0
2840,poi0
2952,tlk0
2966,tlk0
2982,tlk1
2996,tlk1
3012,btl0
3026,btl0
3042,poi0
3056,poi0
3168,tlk0
3182,tlk0
3198,tlk1
3212,tlk1
3228,btl0
3242,btl0
3258,poi0
3272,poi0
3384,tlk0
3398,tlk0
3414,tlk1
3428,tlk1
3444,btl0
3458,btl0
3474,poi0
3488,poi0
3608,tlk0
3622,tlk0
3638,tlk1
3652,tlk1
3668,btl0
3682,btl0
3698,poi0
3712,poi0
3832,tlk0
3846,tlk0
3862,tlk1
3876,tlk1
3892,btl0
3906,btl0
3922,poi0
3936,poi0
4060,tlk0
4074,tlk0
4090,tlk1
4104,tlk1
4120,btl0
4134,btl0
4150,poi0
4164,poi0
4284,tlk0
4298,tlk0
4314,tlk1
4328,tlk1
4344,btl0
4358,btl0
4374,poi0
4388,poi0
4512,tlk0
4526,tlk0
4542,tlk1
4556,tlk1
4572,btl0
4586,btl0
4602,poi0
4616,poi0
4756,tlk0
4770,tlk0
4786,tlk1
4800,tlk1
4816,btl0
4830,btl0
4846,poi0
4860,poi0
4996,tlk0
5010,tlk0
5026,tlk1
5040,tlk1
5056,btl0
5070,btl0
5086,poi0
5100,poi0
5121,sp00
5212,tlk0
5226,tlk0
5242,tlk1
5256,tlk1
5272,btl0
5286,btl0
5302,poi0
5316,poi0
9588,s051
9614,s051E
9629,s026
9681,s026E
9696,s028
9723,s028E
9738,s052
9822,s052E
9837,s053
9891,s053E
9906,s054
9960,s054
9989,fdi2
10111,s055
10134,tlk0
10149,pow1
10180,s055E
10195,s056
10212,pow1
10237,pow1
10262,s056E
10277,s057
10294,pow1
10325,s057'
10361,fdi2
10948,run0EZ
10963,s194
10983,fdi1
11013,s194EZ
11028,s058
11071,ori0_
11087,ori0_
11103,ori0
11130,s058EZ
11145,s034
11169,fj01_
11212,fj00RZ
11227,s034EZ
11242,s059
11274,s059EZ
11289,s060
11341,gd1l
11360,tlk1RZ
11375,s060EZ
11390,s061
11438,sit0_
11454,gdo0
11514,s061EZ
11529,s062
11719,f000
11762,sitl_
