index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,,40966,273,00 00 00 00 00 00 00 00 00 00 00 00 06 a0 11 01
2,64,Arciela,40967,273,00 00 00 00 00 00 00 00 00 00 00 00 07 a0 11 01
3,96,,40968,273,00 00 00 00 00 00 00 00 00 00 00 00 08 a0 11 01
4,128,,40969,273,00 00 00 00 00 00 00 00 00 00 00 00 09 a0 11 01
5,160,,40970,273,00 00 00 00 00 00 00 00 00 00 00 00 0a a0 11 01
6,192,,40971,273,00 00 00 00 00 00 00 00 00 00 00 00 0b a0 11 01
7,224,,40972,273,00 00 00 00 00 00 00 00 00 00 00 00 0c a0 11 01
8,256,,40973,273,00 00 00 00 00 00 00 00 00 00 00 00 0d a0 11 01
9,288,,40974,273,00 00 00 00 00 00 00 00 00 00 00 00 0e a0 11 01
10,320,,40975,273,00 00 00 00 00 00 00 00 00 00 00 00 0f a0 11 01
11,352,Ramblix,40976,273,00 00 00 00 00 00 00 00 00 00 00 00 10 a0 11 01
12,384,Goblin Footprint,40977,273,00 00 00 00 00 00 00 00 00 00 00 00 11 a0 11 01
13,416,???,40978,273,00 00 00 00 00 00 00 00 00 00 00 00 12 a0 11 01
14,448,,40979,273,00 00 00 00 00 00 00 00 00 00 00 00 13 a0 11 01
15,480,,40980,273,00 00 00 00 00 00 00 00 00 00 00 00 14 a0 11 01
16,512,Unity Master,40981,273,00 00 00 00 00 00 00 00 00 00 00 00 15 a0 11 01
