offset,token
489,sha0S
502,sha0
526,sha1S
539,sha1
563,thk1
587,thk2
614,pas0
786,tlk0
810,tlk1
948,sit0S
961,sit0
985,sit1S
998,sit1
1022,tlk0
1040,tlk1
1430,eton
1959,fdo1
2473,fdo1
2490,fdo1F
2653,thk0'
2675,s110
2695,fdi1
2715,s110E
2730,s111
2750,s111E
2765,s112
2782,thk2+
2825,s112E
2840,s113
2870,tlk0+
2893,s113E
2908,s114
2933,tlk1R
2948,s114E
2963,s115
2980,thk1+
3031,s115E
3046,s116
3141,s116E
3156,s117
3173,yes0
3206,yes0R
3221,s117E
3236,s118
3253,tlk0
3307,s118E
3322,s119
3364,s119E
3379,s120
3405,s120E
3420,s121
3472,s121E
3487,s122
3517,s122
3566,s118E
3581,s119
3623,s119E
3638,s120
3664,s120E
3679,s121
3721,s121E
3736,s123
3769,s123E
3784,s124
3820,s123E
3835,s124
3863,non0+
3884,non0R
3899,s124E
3914,s125
3931,tlk0+
3962,s125E
3977,s126
4002,tlk1+
4025,s126E
4040,s127
4067,fdo1
4084,fdo1R
4099,s127F
4116,fdi2
4136,fdo1
4153,fdo1F
4316,thk0'
4338,s110
4358,fdi1
4378,s110E
4393,s111
4413,s111E
4428,s112
4445,thk2+
4488,s112E
4503,s113
4533,tlk0+
4556,s113E
4571,s114
4596,tlk1R
4611,s114E
4626,s115
4643,thk1+
4694,s115E
4709,s116
4785,s116E
4800,s117
4817,yes0
4850,yes0R
4865,s117E
4880,s118
4897,tlk0+
4943,s118E
4958,s119
5000,s119E
5015,s120
5041,s120E
5056,s121
5098,s121E
5113,s123
5146,s123E
5161,s124
5197,s123E
5212,s124
5240,non0+
5261,non0R
5276,s124E
5291,s125
5308,tlk0+
5339,s125E
5354,s126
5379,tlk1+
5402,s126E
5417,s127
5444,fdo1
5461,fdo1R
5476,s127F
5493,fdi2
5513,fdo1
5530,fdo1F
5685,s014
5705,fdi1
5722,tlk0+
5775,s015
5835,s016
5852,tlk0+
5905,s017
5922,tlk0+
5983,s018
6043,s019
6060,tlk0+
6083,tlk1f
6098,thk1+
6136,s020
6153,thk2+
6191,s021
6253,s022
6282,tlk0+
6328,s023
6353,fdo1
6385,s023kidl0
6476,s024
6496,fdi1
6513,tlk0+
6559,s025
6607,s026
6632,tlk1N
6678,s027
6718,s028
6796,s029
6813,tlk0+
6874,s030
6891,tlk0+
6944,s031
6961,tlk0+
7014,s032
7051,fdo1
7083,stes
7169,s033
7189,fdi1
7206,tlk0+
7261,s034
7296,s035
7327,fdo1
7359,s035F
7376,fdi2
8115,tlk0
8162,tlk0
8224,tlk0
8365,tlk0
8394,tlk0
8435,tlk0
8451,tlk0
8468,tlk1
8484,tlk1
8501,thk1
8517,thk1
8534,thk2
8550,thk2
8674,tlk0
8688,tlk0
8704,tlk1
8718,tlk1
8734,thk1
8748,thk1
8764,thk2
8778,thk2
8794,sha0
8808,sha0
8824,sha1
8838,sha1
8854,sir0
8868,sir0
8884,sir1
8898,sir1
8914,tlk0
8928,tlk0
8944,tlk1
8958,tlk1
8974,std0
8988,std0
9004,std1
9018,std1
10240,tlk0
10275,pas0
10310,tlk1
10342,tlk0
10433,tlk0
10618,pas0
12451,tlb0
12494,tlb0
12537,tlb0
12600,tlk0
12663,tlk0
12682,tlk1
12713,ang0
12749,tlb0
12793,tlb0
12836,tlb1E
12851,qstc
12888,tlb0
13000,pas0
13023,qstc
13050,tlb0
13069,tlb1
13220,qstc
13299,qstc
13378,qstc
13447,tlb0
13466,tlb1
13622,qstc
13701,qstc
13780,qstc
13849,tlb0
13868,tlb1
14019,qstc
14098,qstc
14177,qstc
22683,tlk0
22794,fdo1
22811,fdo1
25327,s188
25347,tlk0+
25370,s188E
25385,s189
25402,tlk1
25428,s189E
25443,s190
25471,ths1
25500,s190
25527,fdi2
25739,s076
25780,s077
25809,tlk0+
25895,s078
25948,s079
25977,utu0+
26012,utu1y
26094,s079
26203,fe01
26221,bik0
26254,s188
26309,bik1
26338,s079
26355,utu0+
26390,utu1y
26472,s079
26508,s080
26537,swe0+
26577,swe0'
26617,s081
26699,tlk0+
26752,s180
26769,swe1+
26835,s182
26881,thk1+
26932,s082
26949,swe3+
27020,s083
27088,s084
27160,s181
27183,swe6+
27219,s181
27242,s194
27270,s194
27298,s183
27326,s183
27354,s194
27374,s085
27409,kidl0
27499,s086
27537,s086
27560,s088
27588,s088
27608,s087
27663,s089
27680,que1+
27745,s090
27768,tla0+
27814,s091
27831,tla1+
27854,dyo0+
27913,s092
27995,s093
28048,s094
28065,cry1
28080,s000
28136,s095
28192,s096
28240,s097
28265,s001
28305,s189
28352,s098
28387,s200
28404,cry2
28419,s002
28445,cry2
28466,s200
28481,kall
28637,yug0
28652,s000
28669,s099
28702,poi0E
28717,ovl1
28749,s185
28776,s185
28791,kil0
28850,s184
28873,tlk0+
28911,s100
28941,tlk1n
28986,s101
29003,yes0+
29026,tlk0+
29064,s102
29127,s103
29152,tla0+
29181,s103'
29217,fdi2
29455,rea0'
29484,s106
29510,tlk0
29543,s108
29598,s107
29650,s109
29667,syo0+
29718,s110
29758,s111
29775,tlk0+
29828,s112
29921,s197
29962,s130
30002,s133
30056,s132
30104,rea2
30137,s190
30175,s190
30198,s206
30226,s204
30254,s204
