offset,token
439,main
507,main
575,main
643,main
687,main
718,fdo1
1233,fdo1
1250,fdo1F
1633,dead
1651,s023
1671,fdi1
1691,s023
1714,s194
1734,s024
1771,s194
1789,s024E
1804,s025
1838,s025E
1853,s026
1883,s026E
1898,s027
1939,s027E
1954,s028
1987,s028E
2002,s029
2053,s029E
2068,s030
2119,s030E
2134,s031
2159,s031E
2174,s032
2235,s032E
2250,s134
2291,s134E
2306,s135
2365,s135E
2380,s136
2423,s136E
2438,s137
2479,s137
2499,s138
2532,s138E
2547,s139
2572,s139E
2587,s140
2620,s140E
2635,s141
2660,s141E
2675,s142
2708,s142E
2723,s143
2756,s143E
2771,s144
2822,s144E
2837,s145
2870,s145E
2885,s146
2910,s146E
2925,s147
2958,s147
2987,s138E
3002,s148
3035,s148E
3050,s149
3091,s149E
3106,s150
3139,s150E
3154,s151
3187,s151E
3202,s152
3227,s152
3256,s138E
3271,s153
3304,s153E
3319,s154
3352,s154E
3367,s157
3400,s157E
3415,s158
3448,s158
3477,s154E
3492,s159
3525,s159E
3540,s160
3565,s160
3594,s154E
3609,s161
3642,s161E
3657,s162
3682,s162E
3697,s163
3730,s163
3751,s154
3780,s138E
3795,s164
3820,s164E
3835,s165
3868,s165
3897,s138E
3912,s166
3953,s166E
3968,s167
4001,s167
4030,s138E
4045,s168
4078,s168
4107,s138E
4122,s169
4150,fdo1
4167,fdo1R
4182,s169
4224,qstc
4243,fdi2
10224,shwh
15128,shwh
18916,main
18936,fdo1
18953,fdo1
19063,main
19083,fdo1
19100,fdo1
19624,main
19644,fdo1
19661,fdo1
19771,main
19791,fdo1
19808,fdo1
