npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
9,Grumblix,53259,273,2,88,208,72.43,0.6,2.0,85,7243,60,200,7243 200 60 506 1107369984 -1940 25165951 -2147410816
13,Odyssean Passage,53263,273,3,18436,18448,-649.43,0.22,1310.77,75,-64943,22,131077,-64943 131077 22 0 7324 1 7325 3
14,Odyssean Passage,53264,273,1,19148,19244,2.0,73.31,73.3,65,200,7331,7330,200 7330 7331 593 268501760 21528576 336768 66304
15,Maccus,53265,273,83,4372,4460,72.81,72.83,72.82,5,7281,7283,7282,7281 7282 7283 1 7284 7285 7286 7287
16,Maccus,53266,273,1,5084,5168,72.81,72.83,72.82,5,7281,7283,7282,7281 7282 7283 1 7284 7285 7286 7287
17,Teyrnon,53267,273,15,5792,5804,-610.4,0.95,1310.79,75,-61040,95,131079,-61040 131079 95 0 7337 2 1 7338
18,Teyrnon,53268,273,1,10700,10852,80.0,73.5,73.49,45,8000,7350,7349,8000 7349 7350 2000 7352 7353 511 18000
19,Suibhne,53269,273,10,15600,15732,73.95,0.31,0.26,65,7395,31,26,7395 26 31 972 268501760 425984 67072 100663814
20,Suibhne,53270,273,1,16720,16848,73.95,0.31,0.26,65,7395,31,26,7395 26 31 971 268501760 425984 67072 100663814
21,Aengus,53271,273,14,17836,17896,0.01,73.79,73.78,30,1,7379,7378,1 7378 7379 2 30 7380 226 268501760
22,Aengus,53272,273,1,18152,18208,73.78,0.02,73.79,50,7378,2,7379,7378 7379 2 211 268501760 425984 197376 33783808
