index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Eschan Pugil,1,274,00 00 00 00 00 00 00 00 00 00 00 00 01 00 12 01
2,64,Eschan Pugil,2,274,00 00 00 00 00 00 00 00 00 00 00 00 02 00 12 01
3,96,Eschan Crab,3,274,00 00 00 00 00 00 00 00 00 00 00 00 03 00 12 01
4,128,Eschan Crab,4,274,00 00 00 00 00 00 00 00 00 00 00 00 04 00 12 01
5,160,Eschan Crab,5,274,00 00 00 00 00 00 00 00 00 00 00 00 05 00 12 01
6,192,Emperor Arthro,6,274,00 00 00 00 00 00 00 00 00 00 00 00 06 00 12 01
7,224,Eschan Worm,7,274,00 00 00 00 00 00 00 00 00 00 00 00 07 00 12 01
8,256,Eschan Worm,8,274,00 00 00 00 00 00 00 00 00 00 00 00 08 00 12 01
9,288,Eschan Worm,9,274,00 00 00 00 00 00 00 00 00 00 00 00 09 00 12 01
10,320,Eschan Worm,10,274,00 00 00 00 00 00 00 00 00 00 00 00 0a 00 12 01
11,352,Eschan Worm,11,274,00 00 00 00 00 00 00 00 00 00 00 00 0b 00 12 01
12,384,Eschan Obdella,12,274,00 00 00 00 00 00 00 00 00 00 00 00 0c 00 12 01
13,416,Eschan Obdella,13,274,00 00 00 00 00 00 00 00 00 00 00 00 0d 00 12 01
14,448,Eschan Obdella,14,274,00 00 00 00 00 00 00 00 00 00 00 00 0e 00 12 01
15,480,Eschan Obdella,15,274,00 00 00 00 00 00 00 00 00 00 00 00 0f 00 12 01
16,512,Eschan Obdella,16,274,00 00 00 00 00 00 00 00 00 00 00 00 10 00 12 01
17,544,Eschan Worm,17,274,00 00 00 00 00 00 00 00 00 00 00 00 11 00 12 01
18,576,Eschan Worm,18,274,00 00 00 00 00 00 00 00 00 00 00 00 12 00 12 01
19,608,Eschan Worm,19,274,00 00 00 00 00 00 00 00 00 00 00 00 13 00 12 01
20,640,Eschan Obdella,20,274,00 00 00 00 00 00 00 00 00 00 00 00 14 00 12 01
21,672,Eschan Obdella,21,274,00 00 00 00 00 00 00 00 00 00 00 00 15 00 12 01
22,704,Eschan Obdella,22,274,00 00 00 00 00 00 00 00 00 00 00 00 16 00 12 01
23,736,Eschan Obdella,23,274,00 00 00 00 00 00 00 00 00 00 00 00 17 00 12 01
24,768,Eschan Worm,24,274,00 00 00 00 00 00 00 00 00 00 00 00 18 00 12 01
25,800,Eschan Worm,25,274,00 00 00 00 00 00 00 00 00 00 00 00 19 00 12 01
26,832,Eschan Worm,26,274,00 00 00 00 00 00 00 00 00 00 00 00 1a 00 12 01
27,864,Eschan Obdella,27,274,00 00 00 00 00 00 00 00 00 00 00 00 1b 00 12 01
28,896,Eschan Obdella,28,274,00 00 00 00 00 00 00 00 00 00 00 00 1c 00 12 01
29,928,Eschan Obdella,29,274,00 00 00 00 00 00 00 00 00 00 00 00 1d 00 12 01
30,960,Eschan Obdella,30,274,00 00 00 00 00 00 00 00 00 00 00 00 1e 00 12 01
