npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
549,Grimslight,556,274,1,7064,7104,73.34,73.38,73.36,45,7334,7338,7336,7334 7336 7338 85 -261209600 8388607 -1009280 151224319
558,Grumblix,565,274,2,7208,7328,73.89,0.6,2.0,85,7389,60,200,7389 200 60 506 1107369984 -1940 25165951 -2147410816
561,Iroha,568,274,323,17364,17548,-1676.53,0.01,3.66,60,-167653,1,366,-167653 366 1 123 0 528482354 41943296 528483200
562,Lion,569,274,78,17688,17864,0.15,3.7,7.61,70,15,370,761,15 761 370 13 -351269 -167653 366 -344624
563,Zeid,570,274,184,17800,17864,0.15,3.7,7.61,70,15,370,761,15 761 370 13 -351269 -167653 366 -344624
564,Undulating Confl,571,274,1,18052,18076,1966.1,70.43,0.13,40,196610,7043,13,196610 13 7043 1 0 1073741824 200 60
566,???,573,274,1,35492,35564,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
567,???,574,274,1,37128,37200,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
568,???,575,274,1,38764,38836,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
569,???,576,274,1,40400,40472,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
570,???,577,274,1,42036,42108,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
571,???,578,274,1,43672,43744,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
572,???,579,274,1,45308,45380,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
573,???,580,274,1,46944,47016,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
574,???,581,274,1,48580,48652,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
575,???,582,274,1,50216,50288,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
576,???,583,274,1,51852,51924,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
577,???,584,274,1,53488,53560,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
578,Affi,585,274,1,19024,19204,0.09,76.18,76.17,35,9,7618,7617,9 7617 7618 20 -1 7564 7565 7566
579,Register of Deed,586,274,1,31008,31080,76.83,0.27,76.84,15,7683,27,7684,7683 7684 27 12 6 32 185 4182
