npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
693,Grimslight,4796,274,1,8356,8396,73.34,73.38,73.36,45,7334,7338,7336,7334 7336 7338 85 -261209600 8388607 -1009280 151224319
711,Grumblix,4815,274,2,8500,8620,73.89,0.6,2.0,85,7389,60,200,7389 200 60 506 1107369984 -1940 25165951 -2147410816
716,Tenzen,4820,274,152,20432,20512,-339.99,3.26,11.82,65,-33999,326,1182,-33999 1182 326 3438 3252 1442 82 838860800
717,Siren,4821,274,152,20624,20680,3.26,0.3,24.51,70,326,30,2451,326 2451 30 0 -1940 25165951 11927680 -1241481214
718,Siren Prime,4822,274,87,20724,20840,0.07,24.5,28.03,15,7,2450,2803,7 2803 2450 0 1 128 60 326
721,Cid,4825,274,43,20968,21140,-540.38,0.0,0.3,35,-54038,0,30,-54038 30 0 1 128 50 3276800 16785280
722,Naji,4826,274,17,21028,21140,-540.38,0.0,0.3,35,-54038,0,30,-54038 30 0 1 128 50 3276800 16785280
723,Ayame,4827,274,21,21056,21140,-540.38,0.0,0.3,35,-54038,0,30,-54038 30 0 1 128 50 3276800 16785280
724,Selh'teus,4828,274,60,21084,21140,-540.38,0.0,0.3,35,-54038,0,30,-54038 30 0 1 128 50 3276800 16785280
725,Balamor,4829,274,197,20368,20512,-339.99,3.26,11.82,65,-33999,326,1182,-33999 1182 326 3438 3252 1442 82 838860800
727,Iroha,4831,274,154,21372,21476,-240.0,33.65,0.1,70,-24000,3365,10,-24000 10 3365 100 44 3276800 16785280 58720896
728,Volto Oscuro,4832,274,63,21404,21476,-240.0,33.65,0.1,70,-24000,3365,10,-24000 10 3365 100 44 3276800 16785280 58720896
729,Kagero,4833,274,48,21436,21476,-240.0,33.65,0.1,70,-24000,3365,10,-24000 10 3365 100 44 3276800 16785280 58720896
730,Undulating Confl,4834,274,1,21540,21608,-341.05,7.65,10.53,35,-34105,765,1053,-34105 1053 765 201 123 120 30 45
731,???,4835,274,1,39344,39524,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
732,???,4836,274,1,41072,41252,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
733,???,4837,274,1,42800,42980,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
734,???,4838,274,1,44528,44708,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
735,???,4839,274,1,46256,46436,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
736,???,4840,274,1,47984,48164,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
737,???,4841,274,1,49712,49892,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
738,???,4842,274,1,51440,51620,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
739,???,4843,274,1,53168,53348,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
740,???,4844,274,1,54896,55076,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
741,???,4845,274,1,56624,56804,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
742,???,4846,274,1,58352,58532,1.25,29.28,29.27,45,125,2928,2927,125 2927 2928 2929 2930 2931 2932 2933
743,Dremi,4847,274,1,22604,22784,0.09,77.37,77.36,35,9,7737,7736,9 7736 7737 20 -1 7610 7611 7612
744,Register of Deed,4848,274,1,34860,34936,78.03,0.21,0.32,30,7803,21,32,7803 32 21 11 185 4182 4202 4206
