offset,token
643,tlk0
667,tlk1
691,sha0S
704,sha0
728,sha1S
741,sha1
1041,sit0S
1054,sit0
1078,sit1S
1091,sit1
1115,tlk0
1133,tlk1
1157,orz0S
1170,orz0
1199,wnd0S
1212,wnd0
1236,at00S
1249,at00
1714,fdo1
3486,main
3503,ovl1
3560,whi1
3577,blof
3594,fdi0
3669,fdo1
3686,fdo1G
3719,whi1
3736,blof
3864,whi1
3881,blof
3898,fdo1
3915,fdo1l
4020,main
4037,fdi2
4261,fdi2
4297,whi1
4314,blof
4398,fdo1
4415,fdo1
4463,whi1
4480,blof
4561,fdi2
4824,fdi2
4849,main
4869,fdi2
4913,whi1
4930,blof
4947,fdi0
5033,back
5051,fdi0
5068,fdi0
5084,fdo0
5101,fdo0
5117,fdi1
5134,fdi1
5150,fdo1
5167,fdo1
5183,whi1
5200,whi1
5216,who1
5233,who1
5249,who2
5266,who2
5282,who3
5299,who3
5315,main
5335,fdo1
5352,fdo1
5368,fdi1
5385,main
5405,fdi1
5421,blon
5438,blon
5456,whi0
5473,whi0
5489,who0
5506,who0
5522,efon
5539,efon
5555,fdis
5573,fdos
5590,fdos
5606,fdif
5624,fdof
5641,fdof
5657,fdip
5675,fdop
5692,fdop
6137,fdo1
6154,fdo1F
6240,s085
6260,fdi1
6300,higrR
6315,s085E
6330,s086
6358,s086E
6373,s087
6411,pas0+
6437,s087E
6452,s088
6469,pas1+
6495,fdo1
6512,fdo1
6530,s088
6557,fdi2
6596,fdo1
6613,fdo1F
6901,fyu0
6927,fyu0
6953,fyu0
6979,fyu0
7005,fyu0
7031,fyu0
7057,fyu0
7083,fyu0
7101,s000
7130,s100
7150,fdi1
7175,s100E4
7190,s101
7215,s101E4
7230,s102
7255,s102E4
7270,s103
7295,s103E4
7310,s104
7335,s104E4
7350,s105
7381,s105E4
7396,s106
7413,main
7430,stp0
7450,s106E4
7465,s107
7501,fdo1
7518,fdo1R4
7533,s107'
7632,s108
7652,fdi1
7690,s108E4
7705,s109
7729,fdo1
7746,fdo1R4
7761,s109
7785,s110
7805,fdi1
7822,thk0+
7845,s110E4
7860,s111
7893,s111E4
7908,s112
7941,s112E4
7956,s113
8004,s113E4
8019,s114
8036,thk1+
8075,s114E4
8090,s117
8107,pnt0+
8148,s113E4
8163,s114
8180,thk1+
8211,s114
8234,s116
8262,s116
8282,s115
8314,s115R4
8329,s116E4
8344,s117
8361,pnt0+
8395,pnt1R4
8410,s117E4
8425,s118
8457,s118E4
8472,s119
8489,bik0+
8515,s119E4
8530,s120
8584,s120E4
8599,s121
8636,s121E4
8651,s122
8668,tlb0+
8694,tlb1E
8709,fdo1
8726,fdo1
8780,fdi2
9527,fdo1
9544,fdo1F
9728,s023
9748,fdi1
9768,s023E
9783,s024
9800,ude0+
9868,s024
9891,s026
9919,s026
9939,s025
9956,blof
9973,ude1+
9996,s025R
10011,s026E
10026,s027
10065,s027E
10080,s028
10117,s028E
10132,s029
10169,s029E
10184,s030
10221,s030E
10236,s031
10264,s031E
10279,s158
10307,s158E
10322,s032
10358,s032E
10373,s033
10390,tlk0+
10413,tlk1R
10428,s033E
10443,s034
10482,s034
10505,s036
10533,s036
10553,s035
10570,blof
10587,tlb0+
10669,s035R
10684,s036E
10699,s037
10750,s035R
