index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Sempurne,8193,274,00 00 00 00 00 00 00 00 00 00 00 00 01 20 12 01
2,64,Sempurne,8194,274,00 00 00 00 00 00 00 00 00 00 00 00 02 20 12 01
3,96,Sempurne,8195,274,00 00 00 00 00 00 00 00 00 00 00 00 03 20 12 01
4,128,Unity Master,8196,274,00 00 00 00 00 00 00 00 00 00 00 00 04 20 12 01
5,160,Achieve Master,8197,274,00 00 00 00 00 00 00 00 00 00 00 00 05 20 12 01
6,192,Moogle,8205,274,00 00 00 00 00 00 00 00 00 00 00 00 0d 20 12 01
7,224,Moogle,8206,274,00 00 00 00 00 00 00 00 00 00 00 00 0e 20 12 01
8,256,Moogle,8207,274,00 00 00 00 00 00 00 00 00 00 00 00 0f 20 12 01
9,288,Moogle,8208,274,00 00 00 00 00 00 00 00 00 00 00 00 10 20 12 01
10,320,Moogle,8209,274,00 00 00 00 00 00 00 00 00 00 00 00 11 20 12 01
11,352,Moogle,8210,274,00 00 00 00 00 00 00 00 00 00 00 00 12 20 12 01
12,384,Moogle,8211,274,00 00 00 00 00 00 00 00 00 00 00 00 13 20 12 01
13,416,Moogle,8212,274,00 00 00 00 00 00 00 00 00 00 00 00 14 20 12 01
14,448,,8213,274,00 00 00 00 00 00 00 00 00 00 00 00 15 20 12 01
15,480,,8214,274,00 00 00 00 00 00 00 00 00 00 00 00 16 20 12 01
16,512,Sempurne,8215,274,00 00 00 00 00 00 00 00 00 00 00 00 17 20 12 01
17,544,Disjoined One,8216,274,00 00 00 00 00 00 00 00 00 00 00 00 18 20 12 01
18,576,Cait Sith,8217,274,00 00 00 00 00 00 00 00 00 00 00 00 19 20 12 01
19,608,,8218,274,00 00 00 00 00 00 00 00 00 00 00 00 1a 20 12 01
20,640,???,8219,274,00 00 00 00 00 00 00 00 00 00 00 00 1b 20 12 01
21,672,,8220,274,00 00 00 00 00 00 00 00 00 00 00 00 1c 20 12 01
22,704,Transcendental R,8221,274,61 64 69 61 6e 63 65 00 00 00 00 00 1d 20 12 01
23,736,Trailmix,8222,274,00 00 00 00 00 00 00 00 00 00 00 00 1e 20 12 01
24,768,Goblin Footprint,8223,274,00 00 00 00 00 00 00 00 00 00 00 00 1f 20 12 01
25,800,Dimensional Port,8224,274,61 6c 00 00 00 00 00 00 00 00 00 00 20 20 12 01
26,832,Transcendental R,8225,274,61 64 69 61 6e 63 65 00 00 00 00 00 21 20 12 01
27,864,Transcendental R,8226,274,61 64 69 61 6e 63 65 00 00 00 00 00 22 20 12 01
28,896,Transcendental R,8227,274,61 64 69 61 6e 63 65 00 00 00 00 00 23 20 12 01
29,928,exit,8228,274,00 00 00 00 00 00 00 00 00 00 00 00 24 20 12 01
30,960,exit,8229,274,00 00 00 00 00 00 00 00 00 00 00 00 25 20 12 01
