index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Lentic Toad,12289,274,00 00 00 00 00 00 00 00 00 00 00 00 01 30 12 01
2,64,Lentic Toad,12290,274,00 00 00 00 00 00 00 00 00 00 00 00 02 30 12 01
3,96,Lentic Toad,12291,274,00 00 00 00 00 00 00 00 00 00 00 00 03 30 12 01
4,128,Lentic Toad,12292,274,00 00 00 00 00 00 00 00 00 00 00 00 04 30 12 01
5,160,Wretched Poroggo,12293,274,00 00 00 00 00 00 00 00 00 00 00 00 05 30 12 01
6,192,Ogdoad,12294,274,00 00 00 00 00 00 00 00 00 00 00 00 06 30 12 01
7,224,Snaggletoothed T,12295,274,69 67 65 72 00 00 00 00 00 00 00 00 07 30 12 01
8,256,Snaggletoothed T,12296,274,69 67 65 72 00 00 00 00 00 00 00 00 08 30 12 01
9,288,Snaggletoothed T,12297,274,69 67 65 72 00 00 00 00 00 00 00 00 09 30 12 01
10,320,Obstreperous Pan,12298,274,6f 70 74 00 00 00 00 00 00 00 00 00 0a 30 12 01
11,352,Obstreperous Pan,12299,274,6f 70 74 00 00 00 00 00 00 00 00 00 0b 30 12 01
12,384,Obstreperous Pan,12300,274,6f 70 74 00 00 00 00 00 00 00 00 00 0c 30 12 01
13,416,Obstreperous Pan,12301,274,6f 70 74 00 00 00 00 00 00 00 00 00 0d 30 12 01
14,448,Snaggletoothed T,12302,274,69 67 65 72 00 00 00 00 00 00 00 00 0e 30 12 01
15,480,Snaggletoothed T,12303,274,69 67 65 72 00 00 00 00 00 00 00 00 0f 30 12 01
16,512,Obstreperous Pan,12304,274,6f 70 74 00 00 00 00 00 00 00 00 00 10 30 12 01
17,544,Obstreperous Pan,12305,274,6f 70 74 00 00 00 00 00 00 00 00 00 11 30 12 01
18,576,Agitated Chapuli,12306,274,00 00 00 00 00 00 00 00 00 00 00 00 12 30 12 01
19,608,Agitated Chapuli,12307,274,00 00 00 00 00 00 00 00 00 00 00 00 13 30 12 01
20,640,Agitated Chapuli,12308,274,00 00 00 00 00 00 00 00 00 00 00 00 14 30 12 01
21,672,Devouring Mosqui,12309,274,74 6f 00 00 00 00 00 00 00 00 00 00 15 30 12 01
22,704,Agitated Chapuli,12310,274,00 00 00 00 00 00 00 00 00 00 00 00 16 30 12 01
23,736,Agitated Chapuli,12311,274,00 00 00 00 00 00 00 00 00 00 00 00 17 30 12 01
