npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
733,Grimslight,13029,274,1,12540,12588,73.36,80.66,73.38,15,7336,8066,7338,7336 7338 8066 168 160 200 60 131
751,Ramblix,13048,274,2,12752,12876,73.84,0.6,2.0,70,7384,60,200,7384 200 60 485 1107369984 -266469342 1249902591 2147483632
753,Etched Rock,13050,274,1,13380,13424,570.7,10.15,-872.49,85,57070,1015,-87249,57070 -87249 1015 769 15 180 173 70
755,Resume Point,13052,274,1,13708,13848,0.1,73.99,73.98,15,10,7399,7398,10 7398 7399 1 0 1073741824 75 180
756,Dimensional Port,13053,274,1,13824,13848,0.1,73.99,73.98,15,10,7399,7398,10 7398 7399 1 0 1073741824 75 180
758,???,13055,274,6,14032,14084,39.14,0.0,39.58,50,3914,0,3958,3914 3958 0 138 268573696 56557568 857964544 857932050
762,???,13059,274,1,17248,17312,570.7,10.15,-872.49,85,57070,1015,-87249,57070 -87249 1015 30 3866 102 772 15
763,???,13060,274,15,15324,15428,-1.9,-42.7,1504.7,95,-190,-4270,150470,-190 150470 -4270 890 129 -191 -192 -193
765,???,13062,274,196,62811,62983,5.12,396.8,394.24,80,512,39680,39424,512 39424 39680 768 41984 42240 1024 44544
768,Disjoined One,13065,274,164,66303,66403,993.28,256.0,588.8,80,99328,25600,58880,99328 58880 25600 512 768 1024 1280 1536
772,Prishe,13069,274,76,67896,67988,1.28,31.29,14.46,70,128,3129,1446,128 1446 3129 109 2228224 -524241 -127107073 8388607
773,Nashmeira,13070,274,54,68116,68192,1.28,31.3,15.92,70,128,3130,1592,128 1592 3130 97 2228224 -524241 -127107073 8388607
774,Lilisette,13071,274,80,68308,68392,1.28,31.31,22.79,70,128,3131,2279,128 2279 3131 103 2228224 -524241 -127107073 8388607
775,Arciela,13072,274,77,68512,68588,1.28,31.32,27.0,70,128,3132,2700,128 2700 3132 97 2228224 -524241 -127107073 8388607
776,Aldo,13073,274,132,68704,68864,1535.45,31.33,-834.73,80,153545,3133,-83473,153545 -83473 3133 172 2228224 -524241 -127107073 8388607
777,Maat,13074,274,45,16724,16792,0.06,0.0,216.0,15,6,0,21600,6 21600 0 5 1 171 170 422
780,Trion,13077,274,43,16604,16792,0.06,0.0,216.0,15,6,0,21600,6 21600 0 5 1 171 170 422
782,Shantotto,13079,274,43,16744,16792,0.06,0.0,216.0,15,6,0,21600,6 21600 0 5 1 171 170 422
783,Ajido-Marujido,13080,274,36,17180,17312,570.7,10.15,-872.49,85,57070,1015,-87249,57070 -87249 1015 30 3866 102 772 15
786,Gilgamesh,13083,274,128,69608,69760,1549.17,31.43,-834.31,80,154917,3143,-83431,154917 -83431 3143 170 2228224 -524241 -127107073 8388607
789,Luzaf,13086,274,40,70068,70228,22.41,24.65,29.46,90,2241,2465,2946,2241 2946 2465 24 -2147434496 -2147434496 16823808 11927680
790,Ulmia,13087,274,41,70128,70228,22.41,24.65,29.46,90,2241,2465,2946,2241 2946 2465 24 -2147434496 -2147434496 16823808 11927680
795,Iroha,13092,274,49,14192,14284,1.32,0.6,38.3,45,132,60,3830,132 3830 60 2132 627 798 0 840
804,???,13101,274,1,88384,88456,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
805,???,13102,274,1,90020,90092,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
806,???,13103,274,1,91656,91728,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
807,???,13104,274,1,93292,93364,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
808,???,13105,274,1,94928,95000,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
809,???,13106,274,1,96564,96636,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
810,???,13107,274,1,98200,98272,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
811,???,13108,274,1,99836,99908,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
812,???,13109,274,1,101472,101544,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
813,???,13110,274,1,103108,103180,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
814,???,13111,274,1,104744,104816,0.32,28.96,28.95,45,32,2896,2895,32 2895 2896 2897 2898 2899 2900 2901
