index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Sweetwater Tiger,16385,274,00 00 00 00 00 00 00 00 00 00 00 00 01 40 12 01
2,64,Sweetwater Tiger,16386,274,00 00 00 00 00 00 00 00 00 00 00 00 02 40 12 01
3,96,Sweetwater Tiger,16387,274,00 00 00 00 00 00 00 00 00 00 00 00 03 40 12 01
4,128,Sweetwater Tiger,16388,274,00 00 00 00 00 00 00 00 00 00 00 00 04 40 12 01
5,160,Sweetwater Tiger,16389,274,00 00 00 00 00 00 00 00 00 00 00 00 05 40 12 01
6,192,Sweetwater Tiger,16390,274,00 00 00 00 00 00 00 00 00 00 00 00 06 40 12 01
7,224,Sweetwater Tiger,16391,274,00 00 00 00 00 00 00 00 00 00 00 00 07 40 12 01
8,256,Sweetwater Fly,16392,274,00 00 00 00 00 00 00 00 00 00 00 00 08 40 12 01
9,288,Sweetwater Fly,16393,274,00 00 00 00 00 00 00 00 00 00 00 00 09 40 12 01
10,320,Sweetwater Fly,16394,274,00 00 00 00 00 00 00 00 00 00 00 00 0a 40 12 01
11,352,Sweetwater Fly,16395,274,00 00 00 00 00 00 00 00 00 00 00 00 0b 40 12 01
12,384,Sweetwater Fly,16396,274,00 00 00 00 00 00 00 00 00 00 00 00 0c 40 12 01
13,416,Sweetwater Fly,16397,274,00 00 00 00 00 00 00 00 00 00 00 00 0d 40 12 01
14,448,Sweetwater Fly,16398,274,00 00 00 00 00 00 00 00 00 00 00 00 0e 40 12 01
15,480,Transcended Tige,16399,274,72 00 00 00 00 00 00 00 00 00 00 00 0f 40 12 01
16,512,Transcended Fly,16400,274,00 00 00 00 00 00 00 00 00 00 00 00 10 40 12 01
17,544,Sweetwater Leech,16401,274,00 00 00 00 00 00 00 00 00 00 00 00 11 40 12 01
18,576,Sweetwater Leech,16402,274,00 00 00 00 00 00 00 00 00 00 00 00 12 40 12 01
19,608,Sweetwater Leech,16403,274,00 00 00 00 00 00 00 00 00 00 00 00 13 40 12 01
20,640,Sweetwater Leech,16404,274,00 00 00 00 00 00 00 00 00 00 00 00 14 40 12 01
21,672,Sweetwater Leech,16405,274,00 00 00 00 00 00 00 00 00 00 00 00 15 40 12 01
22,704,Sweetwater Leech,16406,274,00 00 00 00 00 00 00 00 00 00 00 00 16 40 12 01
23,736,Sweetwater Leech,16407,274,00 00 00 00 00 00 00 00 00 00 00 00 17 40 12 01
24,768,Sweetwater Beetl,16408,274,65 00 00 00 00 00 00 00 00 00 00 00 18 40 12 01
25,800,Sweetwater Beetl,16409,274,65 00 00 00 00 00 00 00 00 00 00 00 19 40 12 01
26,832,Sweetwater Beetl,16410,274,65 00 00 00 00 00 00 00 00 00 00 00 1a 40 12 01
27,864,Sweetwater Beetl,16411,274,65 00 00 00 00 00 00 00 00 00 00 00 1b 40 12 01
28,896,Sweetwater Beetl,16412,274,65 00 00 00 00 00 00 00 00 00 00 00 1c 40 12 01
29,928,Sweetwater Beetl,16413,274,65 00 00 00 00 00 00 00 00 00 00 00 1d 40 12 01
30,960,Sweetwater Beetl,16414,274,65 00 00 00 00 00 00 00 00 00 00 00 1e 40 12 01
31,992,Transcended Beet,16415,274,6c 65 00 00 00 00 00 00 00 00 00 00 1f 40 12 01
32,1024,Transcended Leec,16416,274,68 00 00 00 00 00 00 00 00 00 00 00 20 40 12 01
33,1056,Glassy Thinker,16417,274,00 00 00 00 00 00 00 00 00 00 00 00 21 40 12 01
34,1088,Glassy Craver,16418,274,00 00 00 00 00 00 00 00 00 00 00 00 22 40 12 01
35,1120,Glassy Gorger,16419,274,00 00 00 00 00 00 00 00 00 00 00 00 23 40 12 01
36,1152,Sweetwater Hippo,16420,274,67 72 79 70 68 00 00 00 00 00 00 00 24 40 12 01
37,1184,Sweetwater Hippo,16421,274,67 72 79 70 68 00 00 00 00 00 00 00 25 40 12 01
38,1216,Sweetwater Hippo,16422,274,67 72 79 70 68 00 00 00 00 00 00 00 26 40 12 01
39,1248,Sweetwater Hippo,16423,274,67 72 79 70 68 00 00 00 00 00 00 00 27 40 12 01
40,1280,Sweetwater Hippo,16424,274,67 72 79 70 68 00 00 00 00 00 00 00 28 40 12 01
41,1312,Sweetwater Hippo,16425,274,67 72 79 70 68 00 00 00 00 00 00 00 29 40 12 01
42,1344,Sweetwater Hippo,16426,274,67 72 79 70 68 00 00 00 00 00 00 00 2a 40 12 01
43,1376,Sweetwater Goobb,16427,274,75 65 00 00 00 00 00 00 00 00 00 00 2b 40 12 01
44,1408,Sweetwater Goobb,16428,274,75 65 00 00 00 00 00 00 00 00 00 00 2c 40 12 01
45,1440,Sweetwater Goobb,16429,274,75 65 00 00 00 00 00 00 00 00 00 00 2d 40 12 01
46,1472,Sweetwater Goobb,16430,274,75 65 00 00 00 00 00 00 00 00 00 00 2e 40 12 01
47,1504,Sweetwater Goobb,16431,274,75 65 00 00 00 00 00 00 00 00 00 00 2f 40 12 01
48,1536,Sweetwater Goobb,16432,274,75 65 00 00 00 00 00 00 00 00 00 00 30 40 12 01
49,1568,Sweetwater Goobb,16433,274,75 65 00 00 00 00 00 00 00 00 00 00 31 40 12 01
50,1600,Sweetwater Faaz,16434,274,00 00 00 00 00 00 00 00 00 00 00 00 32 40 12 01
51,1632,Sweetwater Faaz,16435,274,00 00 00 00 00 00 00 00 00 00 00 00 33 40 12 01
52,1664,Sweetwater Faaz,16436,274,00 00 00 00 00 00 00 00 00 00 00 00 34 40 12 01
53,1696,Sweetwater Faaz,16437,274,00 00 00 00 00 00 00 00 00 00 00 00 35 40 12 01
54,1728,Sweetwater Faaz,16438,274,00 00 00 00 00 00 00 00 00 00 00 00 36 40 12 01
55,1760,Sweetwater Faaz,16439,274,00 00 00 00 00 00 00 00 00 00 00 00 37 40 12 01
56,1792,Sweetwater Faaz,16440,274,00 00 00 00 00 00 00 00 00 00 00 00 38 40 12 01
