npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
155,Ramblix,20643,274,2,3784,3860,77.11,0.26,0.28,30,7711,26,28,7711 28 26 22 14 7719 0 7720
157,Etched Rock,20645,274,1,9132,9172,159.22,-69.99,-890.76,120,15922,-6999,-89076,15922 -89076 -6999 1043 769 15 176 180
159,???,20647,274,11,9476,9624,0.11,2.44,7.4,-5,11,244,740,11 740 244 0 1 128 181 90
161,???,20649,274,1,9916,10012,-11.99,39.99,132.49,65,-1199,3999,13249,-1199 13249 3999 3117 1212 10532 3093 241
162,???,20650,274,1,46472,46524,-0.68,37.49,101.58,85,-68,3749,10158,-68 10158 3749 3085 20000 500000 -1500 3057
164,???,20652,274,397,64388,64568,3.26,14.83,24.49,45,326,1483,2449,326 2449 1483 2455 2459 87 93 96
165,Iroha,20653,274,647,66644,66832,119.82,24.62,39.99,85,11982,2462,3999,11982 3999 2462 2457 500000 -491850 -30340 211
166,Selh'teus,20654,274,216,67076,67192,14.47,3.26,24.65,90,1447,326,2465,1447 2465 326 103 -496640 -2147450881 1811972097 2147483640
168,Tenzen,20656,274,352,68204,68320,158.78,-0.77,0.13,120,15878,-77,13,15878 13 -77 3312 -131 -7879 16611 502551
169,Lion,20657,274,151,68512,68568,-154.72,0.6,40.0,85,-15472,60,4000,-15472 4000 60 3148 37 46592 838860928 2064385
170,Prishe,20658,274,228,68628,68712,90.05,37.57,-4.03,50,9005,3757,-403,9005 -403 3757 0 128 2461 2470 1446
171,Nashmeira,20659,274,66,68844,68968,0.4,-16.21,-75.17,105,40,-1621,-7517,40 -7517 -1621 3751 0 2279 3151 45
172,Lilisette,20660,274,140,68920,68968,0.4,-16.21,-75.17,105,40,-1621,-7517,40 -7517 -1621 3751 0 2279 3151 45
173,Arciela,20661,274,84,69048,69164,170.98,40.85,0.13,100,17098,4085,13,17098 13 4085 1531 3621 -8143 2465 78
174,Aldo,20662,274,151,69096,69164,170.98,40.85,0.13,100,17098,4085,13,17098 13 4085 1531 3621 -8143 2465 78
175,Gilgamesh,20663,274,133,69280,69332,-0.41,39.99,96.78,105,-41,3999,9678,-41 9678 3999 30 -736 11835 -1 17496
